subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-KP,1,3,FALSE,right,avoid,pos,meat30_crop.jpg,1,1,TRUE,0,1,2391.5889,999,DON'T EAT                                    EAT,2390.19,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1398.9000000003725
sub-KP,2,3,FALSE,right,avoid,pos,meat18_crop.jpg,1,1,TRUE,1,1,2392.9456,999,DON'T EAT                                    EAT,2392.208,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,737.6000000000931
sub-KP,3,3,FALSE,right,avoid,pos,meat33_crop.jpg,1,1,TRUE,2,1,2395.0813,999,DON'T EAT                                    EAT,2394.2266,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,854.6999999997206
sub-KP,4,3,FALSE,right,avoid,pos,meat29_crop.jpg,1,1,TRUE,3,1,2397.1436,999,DON'T EAT                                    EAT,2396.2478,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,895.7999999998137
sub-KP,5,3,FALSE,right,avoid,pos,meat21_crop.jpg,1,1,TRUE,4,1,2399.0981,999,DON'T EAT                                    EAT,2398.265,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,833.1000000000931
sub-KP,6,3,FALSE,right,avoid,pos,meat24_crop.jpg,1,1,TRUE,5,1,2401.0186,999,DON'T EAT                                    EAT,2400.2815,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,737.1000000000931
sub-KP,7,3,TRUE,right,approach,pos,cake13_crop.jpg,1,1,TRUE,6,--,NA,999,DON'T EAT                                    EAT,2402.2998,2386.1694,2374.8484,left,2,NA,right,no_response,eat,avoid,pos,avoid-pos,NA,1,NA
sub-KP,8,3,TRUE,right,approach,neg,insect20_crop.jpg,1,1,TRUE,7,1,2405.0334,999,DON'T EAT                                    EAT,2404.318,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,0,0,715.3999999999069
sub-KP,9,3,FALSE,right,avoid,pos,meat12_crop.jpg,1,1,TRUE,8,1,2407.0527,999,DON'T EAT                                    EAT,2406.3367,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,716.0000000004657
sub-KP,10,3,FALSE,right,avoid,pos,meat7_crop.jpg,1,1,TRUE,9,1,2409.0813,999,DON'T EAT                                    EAT,2408.355,2386.1694,2374.8484,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,726.2999999998137
sub-KP,11,2,FALSE,left,approach,pos,cake25_crop.jpg,1,2,TRUE,10,--,NA,999,DON'T EAT                                    EAT,2428.0212,2424.001,2374.8484,left,2,NA,right,no_response,eat,approach,pos,approach-pos,NA,1,NA
sub-KP,12,2,FALSE,left,approach,pos,cake37_crop.jpg,1,2,TRUE,11,--,NA,999,DON'T EAT                                    EAT,2430.0396,2424.001,2374.8484,left,2,NA,right,no_response,eat,approach,pos,approach-pos,NA,1,NA
sub-KP,13,2,TRUE,left,avoid,pos,meat39_crop.jpg,1,2,TRUE,12,1,2432.6482,999,DON'T EAT                                    EAT,2432.058,2424.001,2374.8484,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,590.2000000001863
sub-KP,14,2,FALSE,left,approach,pos,cake31_crop.jpg,1,2,TRUE,13,--,NA,999,DON'T EAT                                    EAT,2434.0764,2424.001,2374.8484,left,2,NA,right,no_response,eat,approach,pos,approach-pos,NA,1,NA
sub-KP,15,2,TRUE,left,avoid,neg,fungus16_crop.jpg,1,2,TRUE,14,--,NA,999,DON'T EAT                                    EAT,2436.0947,2424.001,2374.8484,left,2,NA,right,no_response,eat,approach,pos,approach-pos,NA,0,NA
