TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,3,True,left,approach,pos,cake23_crop.jpg,1,1,1.0,0.0,1,1886.2181,40.0,1.0,EAT                                    DON'T EAT,1884.9675,1880.9476,1867.5125
2,3,False,left,avoid,pos,meat9_crop.jpg,1,1,1.0,1.0,2,1888.577,40.0,1.0,EAT                                    DON'T EAT,1886.9858,1880.9476,1867.5125
3,3,False,left,avoid,pos,meat39_crop.jpg,1,1,1.0,2.0,2,1889.9612,40.0,1.0,EAT                                    DON'T EAT,1889.0042,1880.9476,1867.5125
4,3,False,left,avoid,pos,meat21_crop.jpg,1,1,1.0,3.0,2,1891.7937,40.0,1.0,EAT                                    DON'T EAT,1891.0255,1880.9476,1867.5125
5,3,False,left,avoid,pos,meat25_crop.jpg,1,1,1.0,4.0,2,1894.2838,40.0,1.0,EAT                                    DON'T EAT,1893.0431,1880.9476,1867.5125
6,3,False,left,avoid,pos,meat37_crop.jpg,1,1,1.0,5.0,2,1896.0721,40.0,1.0,EAT                                    DON'T EAT,1895.0592,1880.9476,1867.5125
7,3,True,left,approach,neg,insect18_crop.jpg,1,1,1.0,6.0,1,1897.8673,40.0,1.0,EAT                                    DON'T EAT,1897.0778,1880.9476,1867.5125
8,3,False,left,avoid,pos,meat35_crop.jpg,1,1,1.0,7.0,2,1899.9401,40.0,1.0,EAT                                    DON'T EAT,1899.0958,1880.9476,1867.5125
9,3,False,left,avoid,pos,meat30_crop.jpg,1,1,1.0,8.0,2,1902.0131,40.0,1.0,EAT                                    DON'T EAT,1901.1141,1880.9476,1867.5125
10,3,False,left,avoid,pos,meat29_crop.jpg,1,1,1.0,9.0,2,1903.8125,40.0,1.0,EAT                                    DON'T EAT,1903.1327,1880.9476,1867.5125
11,1,False,right,avoid,neg,fungus10_crop.jpg,1,2,1.0,10.0,2,1922.9655,40.0,2.0,EAT                                    DON'T EAT,1921.5646,1917.5613,1867.5125
12,1,False,right,avoid,neg,fungus20_crop.jpg,1,2,1.0,11.0,2,1925.1172,40.0,2.0,EAT                                    DON'T EAT,1923.583,1917.5613,1867.5125
13,1,True,right,approach,pos,cake36_crop.jpg,1,2,1.0,12.0,1,1927.0763,40.0,2.0,EAT                                    DON'T EAT,1925.6013,1917.5613,1867.5125
14,1,False,right,avoid,neg,fungus13_crop.jpg,1,2,1.0,13.0,2,1928.9539,40.0,2.0,EAT                                    DON'T EAT,1927.6196,1917.5613,1867.5125
15,1,False,right,avoid,neg,fungus3_crop.jpg,1,2,1.0,14.0,2,1930.8569,40.0,2.0,EAT                                    DON'T EAT,1929.6381,1917.5613,1867.5125
16,1,False,right,avoid,neg,fungus40_crop.jpg,1,2,1.0,15.0,2,1932.8424,40.0,2.0,EAT                                    DON'T EAT,1931.6564,1917.5613,1867.5125
17,1,False,right,avoid,neg,fungus7_crop.jpg,1,2,1.0,16.0,2,1935.2938,40.0,2.0,EAT                                    DON'T EAT,1933.6747,1917.5613,1867.5125
18,1,False,right,avoid,neg,fungus15_crop.jpg,1,2,1.0,17.0,2,1936.7311,40.0,2.0,EAT                                    DON'T EAT,1935.6931,1917.5613,1867.5125
19,1,False,right,avoid,neg,fungus31_crop.jpg,1,2,1.0,18.0,2,1938.4984,40.0,2.0,EAT                                    DON'T EAT,1937.7114,1917.5613,1867.5125
20,1,True,right,approach,neg,insect10_crop.jpg,1,2,1.0,19.0,1,1940.7181,40.0,2.0,EAT                                    DON'T EAT,1939.7297,1917.5613,1867.5125
21,2,False,right,avoid,neg,fungus5_crop.jpg,1,3,1.0,20.0,2,1957.8531,40.0,3.0,EAT                                    DON'T EAT,1956.8438,1952.8406,1867.5125
22,2,False,right,avoid,neg,fungus12_crop.jpg,1,3,1.0,21.0,2,1959.685,40.0,3.0,EAT                                    DON'T EAT,1958.8622,1952.8406,1867.5125
23,2,False,right,avoid,neg,fungus14_crop.jpg,1,3,1.0,22.0,2,1961.9117,40.0,3.0,EAT                                    DON'T EAT,1960.8805,1952.8406,1867.5125
24,2,False,right,avoid,neg,fungus1_crop.jpg,1,3,1.0,23.0,2,1963.5022,40.0,3.0,EAT                                    DON'T EAT,1962.8989,1952.8406,1867.5125
25,2,False,right,avoid,neg,fungus36_crop.jpg,1,3,1.0,24.0,2,1965.8492,40.0,3.0,EAT                                    DON'T EAT,1964.9172,1952.8406,1867.5125
26,2,True,right,approach,neg,insect27_crop.jpg,1,3,1.0,25.0,1,1968.1293,40.0,3.0,EAT                                    DON'T EAT,1966.9357,1952.8406,1867.5125
27,2,False,right,avoid,neg,fungus38_crop.jpg,1,3,1.0,26.0,2,1969.9719,40.0,3.0,EAT                                    DON'T EAT,1968.954,1952.8406,1867.5125
28,2,False,right,avoid,neg,fungus2_crop.jpg,1,3,1.0,27.0,2,1971.8435,40.0,3.0,EAT                                    DON'T EAT,1970.9723,1952.8406,1867.5125
29,2,True,right,approach,pos,cake5_crop.jpg,1,3,1.0,28.0,1,1974.0287,40.0,3.0,EAT                                    DON'T EAT,1972.9907,1952.8406,1867.5125
30,2,False,right,avoid,neg,fungus4_crop.jpg,1,3,1.0,29.0,2,1975.905,40.0,3.0,EAT                                    DON'T EAT,1975.009,1952.8406,1867.5125
31,0,False,left,approach,pos,cake16_crop.jpg,1,4,1.0,30.0,1,1994.9088,40.0,4.0,EAT                                    DON'T EAT,1993.8745,1989.8547,1867.5125
32,0,False,left,approach,pos,cake25_crop.jpg,1,4,1.0,31.0,1,1996.6215,40.0,4.0,EAT                                    DON'T EAT,1995.893,1989.8547,1867.5125
33,0,False,left,approach,pos,cake26_crop.jpg,1,4,1.0,32.0,1,1998.5146,40.0,4.0,EAT                                    DON'T EAT,1997.9113,1989.8547,1867.5125
34,0,False,left,approach,pos,cake35_crop.jpg,1,4,1.0,33.0,1,2000.5209,40.0,4.0,EAT                                    DON'T EAT,1999.9297,1989.8547,1867.5125
35,0,False,left,approach,pos,cake4_crop.jpg,1,4,1.0,34.0,1,2002.6814,40.0,4.0,EAT                                    DON'T EAT,2001.948,1989.8547,1867.5125
36,0,True,left,avoid,pos,meat27_crop.jpg,1,4,1.0,35.0,2,2004.9965,40.0,4.0,EAT                                    DON'T EAT,2003.9664,1989.8547,1867.5125
37,0,True,left,avoid,neg,fungus18_crop.jpg,1,4,1.0,36.0,2,2007.2142,40.0,4.0,EAT                                    DON'T EAT,2005.9847,1989.8547,1867.5125
38,0,False,left,approach,pos,cake33_crop.jpg,1,4,1.0,37.0,1,2009.1698,40.0,4.0,EAT                                    DON'T EAT,2008.003,1989.8547,1867.5125
39,0,False,left,approach,pos,cake40_crop.jpg,1,4,1.0,38.0,1,2010.7047,40.0,4.0,EAT                                    DON'T EAT,2010.0215,1989.8547,1867.5125
40,0,False,left,approach,pos,cake8_crop.jpg,1,4,1.0,39.0,1,2012.7839,40.0,4.0,EAT                                    DON'T EAT,2012.0398,1989.8547,1867.5125
41,3,False,right,approach,pos,cake28_crop.jpg,1,5,1.0,40.0,1,2029.4824,40.0,5.0,EAT                                    DON'T EAT,2028.42,2024.4001,1867.5125
42,3,False,right,approach,pos,cake14_crop.jpg,1,5,1.0,41.0,1,2031.1155,40.0,5.0,EAT                                    DON'T EAT,2030.4384,2024.4001,1867.5125
43,3,False,right,approach,pos,cake20_crop.jpg,1,5,1.0,42.0,1,2033.1442,40.0,5.0,EAT                                    DON'T EAT,2032.4568,2024.4001,1867.5125
