TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3494.037943100091, 3514.038106800057)
2,index,right,1.0,1.0,(3518.0742914001457, 3538.074466300197)
3,middle,left,1.0,2.0,(3542.1110967001878, 3562.1119996001944)
4,middle,right,1.0,3.0,(3566.147801600164, 3586.1478785001673)
5,ring,left,1.0,4.0,(3590.184574900195, 3610.1851247001905)
6,ring,right,1.0,5.0,(3614.2209731000476, 3634.2211533000227)
7,pinky,left,1.0,6.0,(3638.2407980000135, 3658.2413484000135)
8,pinky,right,1.0,7.0,(3662.277790900087, 3682.278565300163)
