subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-059,1,0,FALSE,left,approach,pos,cake29_crop.jpg,1,1,TRUE,0,2,2057.41,59,DON'T EAT                                    EAT,2056.4067,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1003.2999999998137
sub-059,2,0,TRUE,left,avoid,pos,meat35_crop.jpg,1,1,TRUE,1,1,2059.7793,59,DON'T EAT                                    EAT,2058.4253,2052.3867,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,1354.0000000002328
sub-059,3,0,FALSE,left,approach,pos,cake32_crop.jpg,1,1,TRUE,2,2,2061.5627,59,DON'T EAT                                    EAT,2060.4436,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1119.0999999998603
sub-059,4,0,FALSE,left,approach,pos,cake34_crop.jpg,1,1,TRUE,3,2,2064.0051,59,DON'T EAT                                    EAT,2062.4648,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1540.299999999581
sub-059,5,0,FALSE,left,approach,pos,cake8_crop.jpg,1,1,TRUE,4,2,2065.7,59,DON'T EAT                                    EAT,2064.4827,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1217.2999999998137
sub-059,6,0,TRUE,left,avoid,neg,fungus4_crop.jpg,1,1,TRUE,5,1,2067.6086,59,DON'T EAT                                    EAT,2066.4985,2052.3867,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,1110.0999999998603
sub-059,7,0,FALSE,left,approach,pos,cake2_crop.jpg,1,1,TRUE,6,2,2069.3657,59,DON'T EAT                                    EAT,2068.517,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,848.6999999999534
sub-059,8,0,FALSE,left,approach,pos,cake39_crop.jpg,1,1,TRUE,7,2,2071.5066,59,DON'T EAT                                    EAT,2070.5354,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,971.1999999999534
sub-059,9,0,FALSE,left,approach,pos,cake18_crop.jpg,1,1,TRUE,8,2,2073.7268,59,DON'T EAT                                    EAT,2072.5537,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1173.0999999998603
sub-059,10,0,FALSE,left,approach,pos,cake22_crop.jpg,1,1,TRUE,9,2,2075.52,59,DON'T EAT                                    EAT,2074.5723,2052.3867,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,947.7000000001863
sub-059,11,0,TRUE,right,avoid,neg,fungus18_crop.jpg,1,2,TRUE,10,1,2094.7234,59,DON'T EAT                                    EAT,2093.688,2089.668,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1035.3999999999069
sub-059,12,0,FALSE,right,approach,neg,insect27_crop.jpg,1,2,TRUE,11,2,2096.944,59,DON'T EAT                                    EAT,2095.7063,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1237.7000000001863
sub-059,13,0,FALSE,right,approach,neg,insect20_crop.jpg,1,2,TRUE,12,2,2099.0232,59,DON'T EAT                                    EAT,2097.7246,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1298.6000000000931
sub-059,14,0,FALSE,right,approach,neg,insect18_crop.jpg,1,2,TRUE,13,2,2100.5771,59,DON'T EAT                                    EAT,2099.743,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,834.1000000000931
sub-059,15,0,FALSE,right,approach,neg,insect9_crop.jpg,1,2,TRUE,14,2,2102.49,59,DON'T EAT                                    EAT,2101.7612,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,728.8000000002794
sub-059,16,0,FALSE,right,approach,neg,insect3_crop.jpg,1,2,TRUE,15,2,2105.1443,59,DON'T EAT                                    EAT,2103.7795,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1364.7999999998137
sub-059,17,0,TRUE,right,avoid,pos,meat18_crop.jpg,1,2,TRUE,16,1,2106.9062,59,DON'T EAT                                    EAT,2105.7979,2089.668,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1108.2999999998137
sub-059,18,0,FALSE,right,approach,neg,insect8_crop.jpg,1,2,TRUE,17,2,2109.55,59,DON'T EAT                                    EAT,2107.8162,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1733.7999999998137
sub-059,19,0,FALSE,right,approach,neg,insect2_crop.jpg,1,2,TRUE,18,2,2111.2075,59,DON'T EAT                                    EAT,2109.8347,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1372.8000000002794
sub-059,20,0,FALSE,right,approach,neg,insect21_crop.jpg,1,2,TRUE,19,2,2112.9824,59,DON'T EAT                                    EAT,2111.853,2089.668,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1129.3999999999069
sub-059,21,3,FALSE,right,approach,pos,cake24_crop.jpg,1,3,TRUE,20,2,2128.9485,59,DON'T EAT                                    EAT,2127.9329,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1015.6000000000931
sub-059,22,3,FALSE,right,approach,pos,cake9_crop.jpg,1,3,TRUE,21,2,2130.8584,59,DON'T EAT                                    EAT,2129.9514,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,907
sub-059,23,3,TRUE,right,avoid,neg,fungus29_crop.jpg,1,3,TRUE,22,--,NA,59,DON'T EAT                                    EAT,2131.9697,2123.9128,2040.109,left,--,NA,NA,no_response,no_response,approach,pos,approach-pos,NA,NA,NA
sub-059,24,3,FALSE,right,approach,pos,cake19_crop.jpg,1,3,TRUE,23,1,2134.174,59,DON'T EAT                                    EAT,2133.9875,2123.9128,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,0,0,186.5
sub-059,25,3,FALSE,right,approach,pos,cake16_crop.jpg,1,3,TRUE,24,2,2136.8208,59,DON'T EAT                                    EAT,2136.0063,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,814.5
sub-059,26,3,FALSE,right,approach,pos,cake17_crop.jpg,1,3,TRUE,25,2,2138.7126,59,DON'T EAT                                    EAT,2138.0247,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,687.8999999999069
sub-059,27,3,FALSE,right,approach,pos,cake30_crop.jpg,1,3,TRUE,26,2,2140.8877,59,DON'T EAT                                    EAT,2140.043,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,844.7000000001863
sub-059,28,3,FALSE,right,approach,pos,cake23_crop.jpg,1,3,TRUE,27,2,2142.7983,59,DON'T EAT                                    EAT,2142.0615,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,736.7999999998137
sub-059,29,3,TRUE,right,avoid,pos,meat12_crop.jpg,1,3,TRUE,28,1,2145.0432,59,DON'T EAT                                    EAT,2144.0798,2123.9128,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,963.4000000003725
sub-059,30,3,FALSE,right,approach,pos,cake38_crop.jpg,1,3,TRUE,29,2,2146.9673,59,DON'T EAT                                    EAT,2146.0981,2123.9128,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,869.1999999997206
sub-059,31,0,FALSE,right,avoid,pos,meat20_crop.jpg,1,4,TRUE,30,1,2164.555,59,DON'T EAT                                    EAT,2163.3623,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1192.7000000001863
sub-059,32,0,FALSE,right,avoid,pos,meat30_crop.jpg,1,4,TRUE,31,1,2166.3662,59,DON'T EAT                                    EAT,2165.3804,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,985.7999999998137
sub-059,33,0,FALSE,right,avoid,pos,meat24_crop.jpg,1,4,TRUE,32,1,2168.31,59,DON'T EAT                                    EAT,2167.3992,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,910.8000000002794
sub-059,34,0,TRUE,right,approach,pos,cake27_crop.jpg,1,4,TRUE,33,2,2170.8384,59,DON'T EAT                                    EAT,2169.4175,2159.3425,2040.109,left,2,right,right,eat,eat,avoid,pos,avoid-pos,1,1,1420.8999999999069
sub-059,35,0,FALSE,right,avoid,pos,meat38_crop.jpg,1,4,TRUE,34,1,2172.5254,59,DON'T EAT                                    EAT,2171.4358,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1089.5999999996275
sub-059,36,0,FALSE,right,avoid,pos,meat25_crop.jpg,1,4,TRUE,35,1,2175.3965,59,DON'T EAT                                    EAT,2173.454,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1942.5
sub-059,37,0,FALSE,right,avoid,pos,meat13_crop.jpg,1,4,TRUE,36,1,2176.953,59,DON'T EAT                                    EAT,2175.4722,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1480.7999999998137
sub-059,38,0,FALSE,right,avoid,pos,meat11_crop.jpg,1,4,TRUE,37,1,2178.5146,59,DON'T EAT                                    EAT,2177.4907,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1023.9000000003725
sub-059,39,0,TRUE,right,approach,neg,insect16_crop.jpg,1,4,TRUE,38,2,2180.3958,59,DON'T EAT                                    EAT,2179.5093,2159.3425,2040.109,left,2,right,right,eat,eat,avoid,pos,avoid-pos,1,1,886.4999999995343
sub-059,40,0,FALSE,right,avoid,pos,meat8_crop.jpg,1,4,TRUE,39,1,2182.4663,59,DON'T EAT                                    EAT,2181.5276,2159.3425,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,938.6999999997206
sub-059,41,1,FALSE,left,approach,pos,cake1_crop.jpg,1,5,TRUE,40,2,2200.8357,59,DON'T EAT                                    EAT,2200.043,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,792.7000000001863
sub-059,42,1,FALSE,left,approach,pos,cake31_crop.jpg,1,5,TRUE,41,2,2202.7695,59,DON'T EAT                                    EAT,2202.0613,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,708.2000000001863
sub-059,43,1,FALSE,left,approach,pos,cake11_crop.jpg,1,5,TRUE,42,2,2204.8335,59,DON'T EAT                                    EAT,2204.0796,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,753.8999999999069
sub-059,44,1,FALSE,left,approach,pos,cake21_crop.jpg,1,5,TRUE,43,2,2206.9438,59,DON'T EAT                                    EAT,2206.098,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,845.7999999998137
sub-059,45,1,FALSE,left,approach,pos,cake9_crop.jpg,1,5,TRUE,44,2,2208.7834,59,DON'T EAT                                    EAT,2208.1162,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,667.2000000001863
sub-059,46,1,FALSE,left,approach,pos,cake10_crop.jpg,1,5,TRUE,45,2,2211.0432,59,DON'T EAT                                    EAT,2210.1345,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,908.7000000001863
sub-059,47,1,TRUE,left,avoid,neg,fungus37_crop.jpg,1,5,TRUE,46,1,2213.2,59,DON'T EAT                                    EAT,2212.1528,2196.023,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,1047.2000000001863
sub-059,48,1,FALSE,left,approach,pos,cake37_crop.jpg,1,5,TRUE,47,2,2215.1868,59,DON'T EAT                                    EAT,2214.1714,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,1015.3999999994412
sub-059,49,1,TRUE,left,avoid,pos,meat14_crop.jpg,1,5,TRUE,48,1,2217.4053,59,DON'T EAT                                    EAT,2216.1897,2196.023,2040.109,left,1,left,left,not_eat,not_eat,approach,pos,approach-pos,1,1,1215.6000000000931
sub-059,50,1,FALSE,left,approach,pos,cake35_crop.jpg,1,5,TRUE,49,2,2219.0925,59,DON'T EAT                                    EAT,2218.2075,2196.023,2040.109,left,2,right,right,eat,eat,approach,pos,approach-pos,1,1,885
sub-059,51,2,FALSE,left,approach,neg,insect35_crop.jpg,1,6,TRUE,50,2,2238.7515,59,DON'T EAT                                    EAT,2237.9575,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,794
sub-059,52,2,FALSE,left,approach,neg,insect16_crop.jpg,1,6,TRUE,51,2,2240.5674,59,DON'T EAT                                    EAT,2239.976,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,591.3999999999069
sub-059,53,2,FALSE,left,approach,neg,insect17_crop.jpg,1,6,TRUE,52,2,2242.89,59,DON'T EAT                                    EAT,2241.9944,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,895.6000000000931
sub-059,54,2,FALSE,left,approach,neg,insect6_crop.jpg,1,6,TRUE,53,2,2244.5813,59,DON'T EAT                                    EAT,2244.013,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,568.2999999998137
sub-059,55,2,FALSE,left,approach,neg,insect18_crop.jpg,1,6,TRUE,54,2,2246.7607,59,DON'T EAT                                    EAT,2246.031,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,729.6999999997206
sub-059,56,2,TRUE,left,avoid,pos,meat8_crop.jpg,1,6,TRUE,55,1,2248.8433,59,DON'T EAT                                    EAT,2248.0493,2233.9377,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,793.9999999995343
sub-059,57,2,TRUE,left,avoid,neg,fungus25_crop.jpg,1,6,TRUE,56,1,2251.2732,59,DON'T EAT                                    EAT,2250.0679,2233.9377,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1205.3000000002794
sub-059,58,2,FALSE,left,approach,neg,insect7_crop.jpg,1,6,TRUE,57,2,2253.139,59,DON'T EAT                                    EAT,2252.0862,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1052.7999999998137
sub-059,59,2,FALSE,left,approach,neg,insect23_crop.jpg,1,6,TRUE,58,2,2255.1475,59,DON'T EAT                                    EAT,2254.104,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1043.5
sub-059,60,2,FALSE,left,approach,neg,insect34_crop.jpg,1,6,TRUE,59,2,2256.8438,59,DON'T EAT                                    EAT,2256.1226,2233.9377,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,721.2000000001863
sub-059,61,0,FALSE,left,approach,neg,insect8_crop.jpg,1,7,TRUE,60,2,2273.9292,59,DON'T EAT                                    EAT,2273.2537,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,675.5
sub-059,62,0,TRUE,left,avoid,neg,fungus3_crop.jpg,1,7,TRUE,61,1,2276.378,59,DON'T EAT                                    EAT,2275.2722,2269.2336,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1105.8000000002794
sub-059,63,0,FALSE,left,approach,neg,insect12_crop.jpg,1,7,TRUE,62,2,2278.0417,59,DON'T EAT                                    EAT,2277.29,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,751.7000000001863
sub-059,64,0,FALSE,left,approach,neg,insect14_crop.jpg,1,7,TRUE,63,2,2280.2747,59,DON'T EAT                                    EAT,2279.3088,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,965.8999999999069
sub-059,65,0,FALSE,left,approach,neg,insect30_crop.jpg,1,7,TRUE,64,2,2281.9836,59,DON'T EAT                                    EAT,2281.3271,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,656.5
sub-059,66,0,TRUE,left,avoid,pos,meat11_crop.jpg,1,7,TRUE,65,1,2284.1814,59,DON'T EAT                                    EAT,2283.3455,2269.2336,2040.109,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,835.8999999999069
sub-059,67,0,FALSE,left,approach,neg,insect28_crop.jpg,1,7,TRUE,66,2,2286.0867,59,DON'T EAT                                    EAT,2285.3638,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,722.8999999994412
sub-059,68,0,FALSE,left,approach,neg,insect13_crop.jpg,1,7,TRUE,67,2,2288.184,59,DON'T EAT                                    EAT,2287.382,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,802
sub-059,69,0,FALSE,left,approach,neg,insect9_crop.jpg,1,7,TRUE,68,2,2290.0645,59,DON'T EAT                                    EAT,2289.4001,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,664.4000000003725
sub-059,70,0,FALSE,left,approach,neg,insect37_crop.jpg,1,7,TRUE,69,2,2292.698,59,DON'T EAT                                    EAT,2291.4185,2269.2336,2040.109,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1279.5
sub-059,71,3,FALSE,left,avoid,pos,meat3_crop.jpg,1,8,TRUE,70,1,2311.9172,59,DON'T EAT                                    EAT,2310.768,2306.748,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1149.1999999997206
sub-059,72,3,FALSE,left,avoid,pos,meat28_crop.jpg,1,8,TRUE,71,1,2314.231,59,DON'T EAT                                    EAT,2312.7866,2306.748,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1444.3999999999069
sub-059,73,3,FALSE,left,avoid,pos,meat4_crop.jpg,1,8,TRUE,72,1,2315.9087,59,DON'T EAT                                    EAT,2314.805,2306.748,2040.109,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1103.7000000001863
