TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3732.253747700015, 3752.253904900048)
2,index,right,1.0,1.0,(3756.2901580999605, 3776.2908660999965)
3,middle,left,1.0,2.0,(3780.327102900017, 3800.327128499979)
4,middle,right,1.0,3.0,(3804.363725800067, 3824.363739100052)
5,ring,left,1.0,4.0,(3828.383325899951, 3848.3835624000058)
6,ring,right,1.0,5.0,(3852.420321600046, 3872.420422700001)
7,pinky,left,1.0,6.0,(3876.457002900075, 3896.45729749999)
8,pinky,right,1.0,7.0,(3900.4934712001123, 3920.493496600073)
