TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(1509.6859141001478, 1529.6859695999883)
2,index,right,1.0,1.0,(1533.7055828999728, 1553.7060575000942)
3,middle,left,1.0,2.0,(1557.7424826000351, 1577.7432891000062)
4,middle,right,1.0,3.0,(1581.7792128000874, 1601.780114500085)
5,ring,left,1.0,4.0,(1605.7988420000765, 1625.7992988999467)
6,ring,right,1.0,5.0,(1629.8355491000693, 1649.8360689999536)
7,pinky,left,1.0,6.0,(1653.8723304001614, 1673.8731734000612)
8,pinky,right,1.0,7.0,(1677.9090340000112, 1697.9092131999787)
