TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,0,True,left,approach,pos,cake19_crop.jpg,1,1,1.0,0.0,2,1674.0222,35.0,1.0,DON'T EAT                                    EAT,1672.4265,1668.4061,1657.0818
2,0,False,left,avoid,neg,fungus28_crop.jpg,1,1,1.0,1.0,1,1675.5023,35.0,1.0,DON'T EAT                                    EAT,1674.4445,1668.4061,1657.0818
3,0,False,left,avoid,neg,fungus3_crop.jpg,1,1,1.0,2.0,1,1677.5319,35.0,1.0,DON'T EAT                                    EAT,1676.4626,1668.4061,1657.0818
4,0,False,left,avoid,neg,fungus36_crop.jpg,1,1,1.0,3.0,1,1679.3531,35.0,1.0,DON'T EAT                                    EAT,1678.4844,1668.4061,1657.0818
5,0,False,left,avoid,neg,fungus11_crop.jpg,1,1,1.0,4.0,--,--,35.0,1.0,DON'T EAT                                    EAT,1680.5022,1668.4061,1657.0818
6,0,False,left,avoid,neg,fungus22_crop.jpg,1,1,1.0,5.0,1,1682.793,35.0,1.0,DON'T EAT                                    EAT,1682.518,1668.4061,1657.0818
7,0,False,left,avoid,neg,fungus25_crop.jpg,1,1,1.0,6.0,1,1685.174,35.0,1.0,DON'T EAT                                    EAT,1684.5363,1668.4061,1657.0818
8,0,False,left,avoid,neg,fungus19_crop.jpg,1,1,1.0,7.0,1,1687.276,35.0,1.0,DON'T EAT                                    EAT,1686.5546,1668.4061,1657.0818
9,0,True,left,approach,neg,insect21_crop.jpg,1,1,1.0,8.0,2,1689.3761,35.0,1.0,DON'T EAT                                    EAT,1688.5726,1668.4061,1657.0818
10,0,False,left,avoid,neg,fungus1_crop.jpg,1,1,1.0,9.0,1,1691.1957,35.0,1.0,DON'T EAT                                    EAT,1690.5913,1668.4061,1657.0818
11,1,False,left,avoid,pos,meat19_crop.jpg,1,2,1.0,10.0,1,1710.2793,35.0,2.0,DON'T EAT                                    EAT,1708.9899,1704.9698,1657.0818
12,1,False,left,avoid,pos,meat16_crop.jpg,1,2,1.0,11.0,1,1711.8972,35.0,2.0,DON'T EAT                                    EAT,1711.008,1704.9698,1657.0818
13,1,False,left,avoid,pos,meat7_crop.jpg,1,2,1.0,12.0,1,1713.6506,35.0,2.0,DON'T EAT                                    EAT,1713.0266,1704.9698,1657.0818
14,1,True,left,approach,pos,cake17_crop.jpg,1,2,1.0,13.0,2,1715.8993,35.0,2.0,DON'T EAT                                    EAT,1715.0449,1704.9698,1657.0818
15,1,False,left,avoid,pos,meat2_crop.jpg,1,2,1.0,14.0,1,1717.76,35.0,2.0,DON'T EAT                                    EAT,1717.0631,1704.9698,1657.0818
16,1,True,left,approach,neg,insect40_crop.jpg,1,2,1.0,15.0,2,1719.8539,35.0,2.0,DON'T EAT                                    EAT,1719.0818,1704.9698,1657.0818
17,1,False,left,avoid,pos,meat28_crop.jpg,1,2,1.0,16.0,1,1721.9451,35.0,2.0,DON'T EAT                                    EAT,1721.0997,1704.9698,1657.0818
18,1,False,left,avoid,pos,meat15_crop.jpg,1,2,1.0,17.0,1,1723.8894,35.0,2.0,DON'T EAT                                    EAT,1723.1183,1704.9698,1657.0818
19,1,False,left,avoid,pos,meat33_crop.jpg,1,2,1.0,18.0,1,1725.9341,35.0,2.0,DON'T EAT                                    EAT,1725.1366,1704.9698,1657.0818
20,1,False,left,avoid,pos,meat39_crop.jpg,1,2,1.0,19.0,1,1727.8152,35.0,2.0,DON'T EAT                                    EAT,1727.1549,1704.9698,1657.0818
21,1,False,left,approach,neg,insect39_crop.jpg,1,3,1.0,20.0,2,1746.4133,35.0,3.0,DON'T EAT                                    EAT,1745.3033,1741.2831,1657.0818
22,1,False,left,approach,neg,insect36_crop.jpg,1,3,1.0,21.0,2,1747.9393,35.0,3.0,DON'T EAT                                    EAT,1747.3218,1741.2831,1657.0818
23,1,False,left,approach,neg,insect9_crop.jpg,1,3,1.0,22.0,2,1749.8894,35.0,3.0,DON'T EAT                                    EAT,1749.3401,1741.2831,1657.0818
24,1,True,left,avoid,pos,meat11_crop.jpg,1,3,1.0,23.0,1,1752.1097,35.0,3.0,DON'T EAT                                    EAT,1751.3586,1741.2831,1657.0818
25,1,False,left,approach,neg,insect23_crop.jpg,1,3,1.0,24.0,2,1754.1151,35.0,3.0,DON'T EAT                                    EAT,1753.3767,1741.2831,1657.0818
26,1,False,left,approach,neg,insect4_crop.jpg,1,3,1.0,25.0,2,1755.9852,35.0,3.0,DON'T EAT                                    EAT,1755.395,1741.2831,1657.0818
27,1,False,left,approach,neg,insect7_crop.jpg,1,3,1.0,26.0,2,1757.9028,35.0,3.0,DON'T EAT                                    EAT,1757.4132,1741.2831,1657.0818
28,1,False,left,approach,neg,insect22_crop.jpg,1,3,1.0,27.0,2,1760.1,35.0,3.0,DON'T EAT                                    EAT,1759.4319,1741.2831,1657.0818
29,1,False,left,approach,neg,insect5_crop.jpg,1,3,1.0,28.0,2,1762.0117,35.0,3.0,DON'T EAT                                    EAT,1761.4502,1741.2831,1657.0818
30,1,True,left,avoid,neg,fungus13_crop.jpg,1,3,1.0,29.0,1,1764.3798,35.0,3.0,DON'T EAT                                    EAT,1763.4685,1741.2831,1657.0818
31,1,False,right,avoid,neg,fungus30_crop.jpg,1,4,1.0,30.0,1,1783.3954,35.0,4.0,DON'T EAT                                    EAT,1782.284,1778.264,1657.0818
32,1,False,right,avoid,neg,fungus25_crop.jpg,1,4,1.0,31.0,1,1784.9587,35.0,4.0,DON'T EAT                                    EAT,1784.3025,1778.264,1657.0818
33,1,False,right,avoid,neg,fungus28_crop.jpg,1,4,1.0,32.0,1,1786.8788,35.0,4.0,DON'T EAT                                    EAT,1786.3202,1778.264,1657.0818
34,1,True,right,approach,pos,cake18_crop.jpg,1,4,1.0,33.0,2,1789.28,35.0,4.0,DON'T EAT                                    EAT,1788.3389,1778.264,1657.0818
35,1,False,right,avoid,neg,fungus33_crop.jpg,1,4,1.0,34.0,1,1791.4343,35.0,4.0,DON'T EAT                                    EAT,1790.3575,1778.264,1657.0818
36,1,False,right,avoid,neg,fungus2_crop.jpg,1,4,1.0,35.0,1,1793.0442,35.0,4.0,DON'T EAT                                    EAT,1792.3759,1778.264,1657.0818
37,1,False,right,avoid,neg,fungus10_crop.jpg,1,4,1.0,36.0,1,1795.0328,35.0,4.0,DON'T EAT                                    EAT,1794.3943,1778.264,1657.0818
38,1,True,right,approach,neg,insect16_crop.jpg,1,4,1.0,37.0,2,1797.2047,35.0,4.0,DON'T EAT                                    EAT,1796.4125,1778.264,1657.0818
39,1,False,right,avoid,neg,fungus40_crop.jpg,1,4,1.0,38.0,1,1799.2246,35.0,4.0,DON'T EAT                                    EAT,1798.4309,1778.264,1657.0818
40,1,False,right,avoid,neg,fungus23_crop.jpg,1,4,1.0,39.0,1,1801.2018,35.0,4.0,DON'T EAT                                    EAT,1800.4489,1778.264,1657.0818
41,1,True,left,approach,pos,cake39_crop.jpg,1,5,1.0,40.0,2,1818.8656,35.0,5.0,DON'T EAT                                    EAT,1817.8466,1813.827,1657.0818
