TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3062.2853368001524, 3082.286249600118)
2,index,right,1.0,1.0,(3086.305266200099, 3106.305518500041)
3,middle,left,1.0,2.0,(3110.341728300089, 3130.3425509999506)
4,middle,right,1.0,3.0,(3134.3785524000414, 3154.378814100055)
5,ring,left,1.0,4.0,(3158.415212100139, 3178.4152581000235)
6,ring,right,1.0,5.0,(3182.4350395000074, 3202.4354644000996)
7,pinky,left,1.0,6.0,(3206.4548286001664, 3226.4552877000533)
8,pinky,right,1.0,7.0,(3230.491918400163, 3250.492034400115)
