TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(2906.9787766999943, 2926.978789200002)
2,index,right,1.0,1.0,(2930.998080099991, 2950.9983511000028)
3,middle,left,1.0,2.0,(2955.018302299999, 2975.018717999992)
4,middle,right,1.0,3.0,(2979.0382687999954, 2999.038847100004)
5,ring,left,1.0,4.0,(3003.075125000003, 3023.075511300005)
6,ring,right,1.0,5.0,(3027.0950095000007, 3047.095894900005)
7,pinky,left,1.0,6.0,(3051.131213600005, 3071.131413299998)
8,pinky,right,1.0,7.0,(3075.1515965, 3095.1524092000036)
