TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(2956.7315175999993, 2976.7322795)
2,index,right,1.0,1.0,(2980.7681204, 3000.7682172999994)
3,middle,left,1.0,2.0,(3004.7877647999994, 3024.787976899999)
4,middle,right,1.0,3.0,(3028.8077048999985, 3048.8084621999988)
5,ring,left,1.0,4.0,(3052.8446268999996, 3072.844935199999)
6,ring,right,1.0,5.0,(3076.8642793, 3096.8647991)
7,pinky,left,1.0,6.0,(3100.8845571, 3120.884835699999)
8,pinky,right,1.0,7.0,(3124.9209734999986, 3144.921311099999)
