TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,0,False,left,avoid,pos,meat17_crop.jpg,1,1,1.0,0.0,2,1357.3558,96.0,1.0,EAT                                    DON'T EAT,1355.7003,1351.68,1338.4055
2,0,False,left,avoid,pos,meat11_crop.jpg,1,1,1.0,1.0,2,1358.8153,96.0,1.0,EAT                                    DON'T EAT,1357.7186,1351.68,1338.4055
3,0,False,left,avoid,pos,meat34_crop.jpg,1,1,1.0,2.0,--,--,96.0,1.0,EAT                                    DON'T EAT,1359.7368,1351.68,1338.4055
4,0,True,left,approach,pos,cake19_crop.jpg,1,1,1.0,3.0,1,1362.6748,96.0,1.0,EAT                                    DON'T EAT,1361.7587,1351.68,1338.4055
5,0,True,left,approach,neg,insect35_crop.jpg,1,1,1.0,4.0,1,1364.6626,96.0,1.0,EAT                                    DON'T EAT,1363.7756,1351.68,1338.4055
6,0,False,left,avoid,pos,meat31_crop.jpg,1,1,1.0,5.0,2,1366.5391,96.0,1.0,EAT                                    DON'T EAT,1365.7915,1351.68,1338.4055
7,0,False,left,avoid,pos,meat10_crop.jpg,1,1,1.0,6.0,2,1368.7395,96.0,1.0,EAT                                    DON'T EAT,1367.8103,1351.68,1338.4055
8,0,False,left,avoid,pos,meat40_crop.jpg,1,1,1.0,7.0,2,1370.5356,96.0,1.0,EAT                                    DON'T EAT,1369.8289,1351.68,1338.4055
9,0,False,left,avoid,pos,meat38_crop.jpg,1,1,1.0,8.0,2,1372.6929,96.0,1.0,EAT                                    DON'T EAT,1371.847,1351.68,1338.4055
10,0,False,left,avoid,pos,meat36_crop.jpg,1,1,1.0,9.0,2,1374.6469,96.0,1.0,EAT                                    DON'T EAT,1373.8654,1351.68,1338.4055
11,0,False,right,approach,neg,insect38_crop.jpg,1,2,1.0,10.0,1,1391.1869,96.0,2.0,EAT                                    DON'T EAT,1390.3955,1386.3757,1338.4055
12,0,False,right,approach,neg,insect40_crop.jpg,1,2,1.0,11.0,1,1393.2897,96.0,2.0,EAT                                    DON'T EAT,1392.4141,1386.3757,1338.4055
13,0,False,right,approach,neg,insect14_crop.jpg,1,2,1.0,12.0,1,1395.2036,96.0,2.0,EAT                                    DON'T EAT,1394.4324,1386.3757,1338.4055
14,0,True,right,avoid,neg,fungus29_crop.jpg,1,2,1.0,13.0,--,--,96.0,2.0,EAT                                    DON'T EAT,1396.4507,1386.3757,1338.4055
15,0,False,right,approach,neg,insect32_crop.jpg,1,2,1.0,14.0,2,1398.6285,96.0,2.0,EAT                                    DON'T EAT,1398.4692,1386.3757,1338.4055
16,0,False,right,approach,neg,insect39_crop.jpg,1,2,1.0,15.0,1,1401.4492,96.0,2.0,EAT                                    DON'T EAT,1400.4875,1386.3757,1338.4055
17,0,False,right,approach,neg,insect16_crop.jpg,1,2,1.0,16.0,1,1404.0465,96.0,2.0,EAT                                    DON'T EAT,1402.5057,1386.3757,1338.4055
18,0,False,right,approach,neg,insect10_crop.jpg,1,2,1.0,17.0,1,1405.425,96.0,2.0,EAT                                    DON'T EAT,1404.524,1386.3757,1338.4055
19,0,False,right,approach,neg,insect31_crop.jpg,1,2,1.0,18.0,1,1407.5457,96.0,2.0,EAT                                    DON'T EAT,1406.5425,1386.3757,1338.4055
20,0,True,right,avoid,pos,meat14_crop.jpg,1,2,1.0,19.0,2,1409.5817,96.0,2.0,EAT                                    DON'T EAT,1408.5609,1386.3757,1338.4055
21,2,False,right,avoid,pos,meat36_crop.jpg,1,3,1.0,20.0,2,1427.945,96.0,3.0,EAT                                    DON'T EAT,1427.1428,1423.1229,1338.4055
22,2,False,right,avoid,pos,meat37_crop.jpg,1,3,1.0,21.0,2,1429.912,96.0,3.0,EAT                                    DON'T EAT,1429.161,1423.1229,1338.4055
23,2,False,right,avoid,pos,meat35_crop.jpg,1,3,1.0,22.0,2,1431.9309,96.0,3.0,EAT                                    DON'T EAT,1431.1798,1423.1229,1338.4055
24,2,False,right,avoid,pos,meat17_crop.jpg,1,3,1.0,23.0,2,1433.9465,96.0,3.0,EAT                                    DON'T EAT,1433.1982,1423.1229,1338.4055
25,2,True,right,approach,neg,insect12_crop.jpg,1,3,1.0,24.0,1,1435.9552,96.0,3.0,EAT                                    DON'T EAT,1435.2163,1423.1229,1338.4055
26,2,False,right,avoid,pos,meat21_crop.jpg,1,3,1.0,25.0,2,1437.9542,96.0,3.0,EAT                                    DON'T EAT,1437.2345,1423.1229,1338.4055
27,2,False,right,avoid,pos,meat22_crop.jpg,1,3,1.0,26.0,2,1439.9604,96.0,3.0,EAT                                    DON'T EAT,1439.253,1423.1229,1338.4055
28,2,False,right,avoid,pos,meat26_crop.jpg,1,3,1.0,27.0,2,1441.9479,96.0,3.0,EAT                                    DON'T EAT,1441.2711,1423.1229,1338.4055
29,2,True,right,approach,pos,cake17_crop.jpg,1,3,1.0,28.0,1,1444.0714,96.0,3.0,EAT                                    DON'T EAT,1443.2894,1423.1229,1338.4055
30,2,False,right,avoid,pos,meat34_crop.jpg,1,3,1.0,29.0,2,1447.0472,96.0,3.0,EAT                                    DON'T EAT,1445.3083,1423.1229,1338.4055
31,1,False,left,approach,neg,insect1_crop.jpg,1,4,1.0,30.0,1,1462.2908,96.0,4.0,EAT                                    DON'T EAT,1461.5049,1457.4847,1338.4055
32,1,False,left,approach,neg,insect39_crop.jpg,1,4,1.0,31.0,1,1464.1686,96.0,4.0,EAT                                    DON'T EAT,1463.5232,1457.4847,1338.4055
33,1,False,left,approach,neg,insect23_crop.jpg,1,4,1.0,32.0,1,1466.2054,96.0,4.0,EAT                                    DON'T EAT,1465.5415,1457.4847,1338.4055
34,1,True,left,avoid,pos,meat24_crop.jpg,1,4,1.0,33.0,2,1468.4371,96.0,4.0,EAT                                    DON'T EAT,1467.5597,1457.4847,1338.4055
35,1,False,left,approach,neg,insect11_crop.jpg,1,4,1.0,34.0,1,1470.4015,96.0,4.0,EAT                                    DON'T EAT,1469.5782,1457.4847,1338.4055
36,1,True,left,avoid,neg,fungus24_crop.jpg,1,4,1.0,35.0,2,1472.564,96.0,4.0,EAT                                    DON'T EAT,1471.5968,1457.4847,1338.4055
