subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,time_of_response,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-057,1,3,FALSE,right,avoid,neg,fungus25_crop.jpg,1,1,TRUE,0,57,DON'T EAT                                    EAT,1749.7521,1745.7317,1733.7006,--,NA,left,--,NA,NA,no_response,no_response,avoid,neg,avoid-neg,NA,NA,NA
sub-057,2,3,FALSE,right,avoid,neg,fungus28_crop.jpg,1,1,TRUE,1,57,DON'T EAT                                    EAT,1751.7701,1745.7317,1733.7006,1,1752.8817,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1111.6000000000931
sub-057,3,3,FALSE,right,avoid,neg,fungus11_crop.jpg,1,1,TRUE,2,57,DON'T EAT                                    EAT,1753.7887,1745.7317,1733.7006,1,1754.8888,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1100.1000000000931
sub-057,4,3,FALSE,right,avoid,neg,fungus9_crop.jpg,1,1,TRUE,3,57,DON'T EAT                                    EAT,1755.81,1745.7317,1733.7006,1,1756.5651,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,755.1000000000931
sub-057,5,3,FALSE,right,avoid,neg,fungus16_crop.jpg,1,1,TRUE,4,57,DON'T EAT                                    EAT,1757.8273,1745.7317,1733.7006,1,1759.0107,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1183.4000000001397
sub-057,6,3,FALSE,right,avoid,neg,fungus15_crop.jpg,1,1,TRUE,5,57,DON'T EAT                                    EAT,1759.8434,1745.7317,1733.7006,1,1760.6174,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,774.0000000002328
sub-057,7,3,FALSE,right,avoid,neg,fungus8_crop.jpg,1,1,TRUE,6,57,DON'T EAT                                    EAT,1761.862,1745.7317,1733.7006,1,1762.7021,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,840.0999999998603
sub-057,8,3,TRUE,right,approach,neg,insect31_crop.jpg,1,1,TRUE,7,57,DON'T EAT                                    EAT,1763.8804,1745.7317,1733.7006,2,1764.6135,left,2,right,right,eat,eat,avoid,neg,avoid-neg,1,1,733.1000000000931
sub-057,9,3,FALSE,right,avoid,neg,fungus33_crop.jpg,1,1,TRUE,8,57,DON'T EAT                                    EAT,1765.8988,1745.7317,1733.7006,1,1766.6409,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,742.1000000000931
sub-057,10,3,TRUE,right,approach,pos,cake4_crop.jpg,1,1,TRUE,9,57,DON'T EAT                                    EAT,1767.9171,1745.7317,1733.7006,2,1768.6528,left,2,right,right,eat,eat,avoid,neg,avoid-neg,1,1,735.7000000001863
sub-057,11,1,FALSE,left,avoid,neg,fungus4_crop.jpg,1,2,TRUE,10,57,DON'T EAT                                    EAT,1785.9487,1781.9286,1733.7006,1,1786.8402,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,891.5000000002328
sub-057,12,1,TRUE,left,approach,pos,cake15_crop.jpg,1,2,TRUE,11,57,DON'T EAT                                    EAT,1787.967,1781.9286,1733.7006,2,1788.721,left,2,right,right,eat,eat,avoid,neg,avoid-neg,1,1,754
sub-057,13,1,FALSE,left,avoid,neg,fungus22_crop.jpg,1,2,TRUE,12,57,DON'T EAT                                    EAT,1789.9855,1781.9286,1733.7006,1,1790.6974,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,711.8999999999069
sub-057,14,1,FALSE,left,avoid,neg,fungus2_crop.jpg,1,2,TRUE,13,57,DON'T EAT                                    EAT,1792.0034,1781.9286,1733.7006,1,1792.7896,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,786.1999999999534
sub-057,15,1,FALSE,left,avoid,neg,fungus29_crop.jpg,1,2,TRUE,14,57,DON'T EAT                                    EAT,1794.0221,1781.9286,1733.7006,1,1794.8082,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,786.1000000000931
sub-057,16,1,FALSE,left,avoid,neg,fungus6_crop.jpg,1,2,TRUE,15,57,DON'T EAT                                    EAT,1796.0405,1781.9286,1733.7006,1,1796.681,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,640.5
sub-057,17,1,TRUE,left,approach,neg,insect31_crop.jpg,1,2,TRUE,16,57,DON'T EAT                                    EAT,1798.0587,1781.9286,1733.7006,2,1798.7599,left,2,right,right,eat,eat,avoid,neg,avoid-neg,1,1,701.1999999999534
sub-057,18,1,FALSE,left,avoid,neg,fungus24_crop.jpg,1,2,TRUE,17,57,DON'T EAT                                    EAT,1800.0771,1781.9286,1733.7006,1,1800.7059,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,628.8000000000466
sub-057,19,1,FALSE,left,avoid,neg,fungus35_crop.jpg,1,2,TRUE,18,57,DON'T EAT                                    EAT,1802.0955,1781.9286,1733.7006,1,1802.7875,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,692
sub-057,20,1,FALSE,left,avoid,neg,fungus33_crop.jpg,1,2,TRUE,19,57,DON'T EAT                                    EAT,1804.1133,1781.9286,1733.7006,1,1804.8574,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,744.1000000000931
sub-057,21,2,TRUE,left,avoid,neg,fungus18_crop.jpg,1,3,TRUE,20,57,DON'T EAT                                    EAT,1823.4298,1819.4098,1733.7006,1,1824.238,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,808.2000000001863
sub-057,22,2,FALSE,left,approach,neg,insect39_crop.jpg,1,3,TRUE,21,57,DON'T EAT                                    EAT,1825.4476,1819.4098,1733.7006,2,1826.2332,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,785.6000000000931
sub-057,23,2,FALSE,left,approach,neg,insect3_crop.jpg,1,3,TRUE,22,57,DON'T EAT                                    EAT,1827.4661,1819.4098,1733.7006,2,1828.1748,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,708.6999999999534
sub-057,24,2,FALSE,left,approach,neg,insect25_crop.jpg,1,3,TRUE,23,57,DON'T EAT                                    EAT,1829.485,1819.4098,1733.7006,2,1830.1981,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,713.1000000000931
sub-057,25,2,FALSE,left,approach,neg,insect14_crop.jpg,1,3,TRUE,24,57,DON'T EAT                                    EAT,1831.5027,1819.4098,1733.7006,2,1832.067,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,564.3000000000466
sub-057,26,2,TRUE,left,avoid,pos,meat39_crop.jpg,1,3,TRUE,25,57,DON'T EAT                                    EAT,1833.5216,1819.4098,1733.7006,1,1834.7878,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1266.1999999999534
