TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(1669.2276733000763, 1689.2281071000034)
2,index,right,1.0,1.0,(1693.2475893000374, 1713.2481195)
3,middle,left,1.0,2.0,(1717.2845857000211, 1737.2848818000639)
4,middle,right,1.0,3.0,(1741.3210658000316, 1761.321958100074)
5,ring,left,1.0,4.0,(1765.3578845000593, 1785.3587245000526)
6,ring,right,1.0,5.0,(1789.3943461000454, 1809.395256399992)
7,pinky,left,1.0,6.0,(1813.4309292000253, 1833.4310490000062)
8,pinky,right,1.0,7.0,(1837.4677637000568, 1857.468448300031)
