TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,2,False,right,approach,neg,insect19_crop.jpg,1,1,1.0,0.0,2,72.59918,111.0,1.0,DON'T EAT                                    EAT,71.118164,67.097916,55.54481
2,2,False,right,approach,neg,insect26_crop.jpg,1,1,1.0,1.0,2,74.566925,111.0,1.0,DON'T EAT                                    EAT,73.136375,67.097916,55.54481
3,2,False,right,approach,neg,insect27_crop.jpg,1,1,1.0,2.0,2,76.37228,111.0,1.0,DON'T EAT                                    EAT,75.15473,67.097916,55.54481
4,2,False,right,approach,neg,insect13_crop.jpg,1,1,1.0,3.0,2,78.12326,111.0,1.0,DON'T EAT                                    EAT,77.17298,67.097916,55.54481
5,2,False,right,approach,neg,insect4_crop.jpg,1,1,1.0,4.0,2,80.10166,111.0,1.0,DON'T EAT                                    EAT,79.19131,67.097916,55.54481
6,2,True,right,avoid,pos,meat25_crop.jpg,1,1,1.0,5.0,2,82.73169,111.0,1.0,DON'T EAT                                    EAT,81.20964,67.097916,55.54481
7,2,False,right,approach,neg,insect5_crop.jpg,1,1,1.0,6.0,2,84.113144,111.0,1.0,DON'T EAT                                    EAT,83.23348,67.097916,55.54481
8,2,False,right,approach,neg,insect6_crop.jpg,1,1,1.0,7.0,2,86.09689,111.0,1.0,DON'T EAT                                    EAT,85.24948,67.097916,55.54481
9,2,False,right,approach,neg,insect10_crop.jpg,1,1,1.0,8.0,2,88.2918,111.0,1.0,DON'T EAT                                    EAT,87.2647,67.097916,55.54481
10,2,True,right,avoid,neg,fungus7_crop.jpg,1,1,1.0,9.0,1,90.39644,111.0,1.0,DON'T EAT                                    EAT,89.28314,67.097916,55.54481
11,1,True,right,avoid,pos,meat1_crop.jpg,1,2,1.0,10.0,1,108.40516,111.0,2.0,DON'T EAT                                    EAT,106.7977,102.777626,55.54481
12,1,False,right,approach,neg,insect15_crop.jpg,1,2,1.0,11.0,2,109.69251,111.0,2.0,DON'T EAT                                    EAT,108.81592,102.777626,55.54481
13,1,False,right,approach,neg,insect40_crop.jpg,1,2,1.0,12.0,2,111.6602,111.0,2.0,DON'T EAT                                    EAT,110.83424,102.777626,55.54481
14,1,False,right,approach,neg,insect22_crop.jpg,1,2,1.0,13.0,2,113.64029,111.0,2.0,DON'T EAT                                    EAT,112.85259,102.777626,55.54481
15,1,False,right,approach,neg,insect39_crop.jpg,1,2,1.0,14.0,2,115.75906,111.0,2.0,DON'T EAT                                    EAT,114.87091,102.777626,55.54481
16,1,True,right,avoid,neg,fungus37_crop.jpg,1,2,1.0,15.0,1,117.95087,111.0,2.0,DON'T EAT                                    EAT,116.889275,102.777626,55.54481
17,1,False,right,approach,neg,insect12_crop.jpg,1,2,1.0,16.0,2,119.76331,111.0,2.0,DON'T EAT                                    EAT,118.90773,102.777626,55.54481
18,1,False,right,approach,neg,insect34_crop.jpg,1,2,1.0,17.0,2,122.073555,111.0,2.0,DON'T EAT                                    EAT,120.92545,102.777626,55.54481
19,1,False,right,approach,neg,insect29_crop.jpg,1,2,1.0,18.0,2,124.07853,111.0,2.0,DON'T EAT                                    EAT,122.94429,102.777626,55.54481
20,1,False,right,approach,neg,insect35_crop.jpg,1,2,1.0,19.0,2,126.11629,111.0,2.0,DON'T EAT                                    EAT,124.96273,102.777626,55.54481
21,1,False,right,avoid,neg,fungus14_crop.jpg,1,3,1.0,20.0,1,144.83022,111.0,3.0,DON'T EAT                                    EAT,143.64485,139.62483,55.54481
22,1,False,right,avoid,neg,fungus40_crop.jpg,1,3,1.0,21.0,1,147.10631,111.0,3.0,DON'T EAT                                    EAT,145.66327,139.62483,55.54481
23,1,True,right,approach,neg,insect2_crop.jpg,1,3,1.0,22.0,2,148.69972,111.0,3.0,DON'T EAT                                    EAT,147.68147,139.62483,55.54481
24,1,False,right,avoid,neg,fungus35_crop.jpg,1,3,1.0,23.0,1,150.84325,111.0,3.0,DON'T EAT                                    EAT,149.70026,139.62483,55.54481
25,1,False,right,avoid,neg,fungus18_crop.jpg,1,3,1.0,24.0,1,152.79901,111.0,3.0,DON'T EAT                                    EAT,151.71822,139.62483,55.54481
26,1,False,right,avoid,neg,fungus32_crop.jpg,1,3,1.0,25.0,1,155.03015,111.0,3.0,DON'T EAT                                    EAT,153.73653,139.62483,55.54481
27,1,False,right,avoid,neg,fungus26_crop.jpg,1,3,1.0,26.0,1,157.04431,111.0,3.0,DON'T EAT                                    EAT,155.75485,139.62483,55.54481
28,1,True,right,approach,pos,cake32_crop.jpg,1,3,1.0,27.0,2,159.10771,111.0,3.0,DON'T EAT                                    EAT,157.77322,139.62483,55.54481
29,1,False,right,avoid,neg,fungus9_crop.jpg,1,3,1.0,28.0,1,161.09436,111.0,3.0,DON'T EAT                                    EAT,159.79152,139.62483,55.54481
30,1,False,right,avoid,neg,fungus12_crop.jpg,1,3,1.0,29.0,1,163.48508,111.0,3.0,DON'T EAT                                    EAT,161.8097,139.62483,55.54481
31,0,False,left,avoid,neg,fungus3_crop.jpg,1,4,1.0,30.0,1,179.6351,111.0,4.0,DON'T EAT                                    EAT,178.2903,174.27025,55.54481
32,0,False,left,avoid,neg,fungus7_crop.jpg,1,4,1.0,31.0,1,181.32799,111.0,4.0,DON'T EAT                                    EAT,180.30872,174.27025,55.54481
33,0,True,left,approach,pos,cake13_crop.jpg,1,4,1.0,32.0,2,183.52342,111.0,4.0,DON'T EAT                                    EAT,182.32703,174.27025,55.54481
34,0,False,left,avoid,neg,fungus10_crop.jpg,1,4,1.0,33.0,1,185.27988,111.0,4.0,DON'T EAT                                    EAT,184.34541,174.27025,55.54481
35,0,False,left,avoid,neg,fungus6_crop.jpg,1,4,1.0,34.0,1,187.41042,111.0,4.0,DON'T EAT                                    EAT,186.3637,174.27025,55.54481
36,0,False,left,avoid,neg,fungus35_crop.jpg,1,4,1.0,35.0,1,189.53418,111.0,4.0,DON'T EAT                                    EAT,188.38194,174.27025,55.54481
37,0,True,left,approach,neg,insect35_crop.jpg,1,4,1.0,36.0,2,191.5441,111.0,4.0,DON'T EAT                                    EAT,190.40027,174.27025,55.54481
38,0,False,left,avoid,neg,fungus19_crop.jpg,1,4,1.0,37.0,1,193.42218,111.0,4.0,DON'T EAT                                    EAT,192.41867,174.27025,55.54481
39,0,False,left,avoid,neg,fungus32_crop.jpg,1,4,1.0,38.0,1,195.62627,111.0,4.0,DON'T EAT                                    EAT,194.437,174.27025,55.54481
40,0,False,left,avoid,neg,fungus8_crop.jpg,1,4,1.0,39.0,1,197.7563,111.0,4.0,DON'T EAT                                    EAT,196.4554,174.27025,55.54481
41,1,False,left,avoid,pos,meat22_crop.jpg,1,5,1.0,40.0,1,214.29977,111.0,5.0,DON'T EAT                                    EAT,213.06914,209.0491,55.54481
42,1,True,left,approach,pos,cake5_crop.jpg,1,5,1.0,41.0,2,216.19026,111.0,5.0,DON'T EAT                                    EAT,215.08755,209.0491,55.54481
43,1,False,left,avoid,pos,meat36_crop.jpg,1,5,1.0,42.0,1,218.60905,111.0,5.0,DON'T EAT                                    EAT,217.10596,209.0491,55.54481
44,1,False,left,avoid,pos,meat4_crop.jpg,1,5,1.0,43.0,2,220.57553,111.0,5.0,DON'T EAT                                    EAT,219.12415,209.0491,55.54481
45,1,False,left,avoid,pos,meat28_crop.jpg,1,5,1.0,44.0,1,222.41315,111.0,5.0,DON'T EAT                                    EAT,221.1426,209.0491,55.54481
46,1,False,left,avoid,pos,meat12_crop.jpg,1,5,1.0,45.0,1,224.31625,111.0,5.0,DON'T EAT                                    EAT,223.16054,209.0491,55.54481
47,1,False,left,avoid,pos,meat1_crop.jpg,1,5,1.0,46.0,1,226.50002,111.0,5.0,DON'T EAT                                    EAT,225.17917,209.0491,55.54481
48,1,False,left,avoid,pos,meat25_crop.jpg,1,5,1.0,47.0,1,228.62793,111.0,5.0,DON'T EAT                                    EAT,227.19762,209.0491,55.54481
49,1,False,left,avoid,pos,meat32_crop.jpg,1,5,1.0,48.0,1,230.30525,111.0,5.0,DON'T EAT                                    EAT,229.21591,209.0491,55.54481
50,1,True,left,approach,neg,insect36_crop.jpg,1,5,1.0,49.0,2,232.88985,111.0,5.0,DON'T EAT                                    EAT,231.23427,209.0491,55.54481
51,1,True,left,approach,pos,cake24_crop.jpg,1,6,1.0,50.0,2,252.18393,111.0,6.0,DON'T EAT                                    EAT,251.11755,247.0975,55.54481
52,1,False,left,avoid,neg,fungus5_crop.jpg,1,6,1.0,51.0,1,254.65929,111.0,6.0,DON'T EAT                                    EAT,253.1358,247.0975,55.54481
53,1,False,left,avoid,neg,fungus36_crop.jpg,1,6,1.0,52.0,1,256.72055,111.0,6.0,DON'T EAT                                    EAT,255.154,247.0975,55.54481
54,1,False,left,avoid,neg,fungus4_crop.jpg,1,6,1.0,53.0,1,258.40295,111.0,6.0,DON'T EAT                                    EAT,257.1724,247.0975,55.54481
55,1,False,left,avoid,neg,fungus21_crop.jpg,1,6,1.0,54.0,--,--,111.0,6.0,DON'T EAT                                    EAT,259.19046,247.0975,55.54481
56,1,False,left,avoid,neg,fungus34_crop.jpg,1,6,1.0,55.0,1,262.60507,111.0,6.0,DON'T EAT                                    EAT,261.20914,247.0975,55.54481
57,1,False,left,avoid,neg,fungus14_crop.jpg,1,6,1.0,56.0,1,264.2469,111.0,6.0,DON'T EAT                                    EAT,263.22763,247.0975,55.54481
58,1,True,left,approach,neg,insect1_crop.jpg,1,6,1.0,57.0,2,266.381,111.0,6.0,DON'T EAT                                    EAT,265.2459,247.0975,55.54481
59,1,False,left,avoid,neg,fungus1_crop.jpg,1,6,1.0,58.0,1,268.23898,111.0,6.0,DON'T EAT                                    EAT,267.26407,247.0975,55.54481
60,1,False,left,avoid,neg,fungus11_crop.jpg,1,6,1.0,59.0,1,270.46872,111.0,6.0,DON'T EAT                                    EAT,269.28253,247.0975,55.54481
61,3,True,right,avoid,pos,meat37_crop.jpg,1,7,1.0,60.0,1,288.8541,111.0,7.0,DON'T EAT                                    EAT,287.61426,283.59402,55.54481
62,3,False,right,approach,neg,insect33_crop.jpg,1,7,1.0,61.0,2,290.88455,111.0,7.0,DON'T EAT                                    EAT,289.6327,283.59402,55.54481
63,3,False,right,approach,neg,insect25_crop.jpg,1,7,1.0,62.0,2,292.6266,111.0,7.0,DON'T EAT                                    EAT,291.65106,283.59402,55.54481
64,3,False,right,approach,neg,insect30_crop.jpg,1,7,1.0,63.0,2,294.86557,111.0,7.0,DON'T EAT                                    EAT,293.66928,283.59402,55.54481
65,3,False,right,approach,neg,insect31_crop.jpg,1,7,1.0,64.0,2,297.13235,111.0,7.0,DON'T EAT                                    EAT,295.68747,283.59402,55.54481
66,3,False,right,approach,neg,insect17_crop.jpg,1,7,1.0,65.0,2,298.80685,111.0,7.0,DON'T EAT                                    EAT,297.7061,283.59402,55.54481
67,3,False,right,approach,neg,insect3_crop.jpg,1,7,1.0,66.0,2,301.00027,111.0,7.0,DON'T EAT                                    EAT,299.72443,283.59402,55.54481
68,3,True,right,avoid,neg,fungus2_crop.jpg,1,7,1.0,67.0,1,302.57797,111.0,7.0,DON'T EAT                                    EAT,301.7426,283.59402,55.54481
69,3,False,right,approach,neg,insect38_crop.jpg,1,7,1.0,68.0,2,304.53564,111.0,7.0,DON'T EAT                                    EAT,303.7608,283.59402,55.54481
70,3,False,right,approach,neg,insect24_crop.jpg,1,7,1.0,69.0,2,306.65994,111.0,7.0,DON'T EAT                                    EAT,305.7794,283.59402,55.54481
71,2,False,left,approach,pos,cake22_crop.jpg,1,8,1.0,70.0,2,325.6074,111.0,8.0,DON'T EAT                                    EAT,324.36148,320.3415,55.54481
72,2,False,left,approach,pos,cake26_crop.jpg,1,8,1.0,71.0,2,327.63208,111.0,8.0,DON'T EAT                                    EAT,326.37994,320.3415,55.54481
73,2,True,left,avoid,pos,meat21_crop.jpg,1,8,1.0,72.0,1,329.62534,111.0,8.0,DON'T EAT                                    EAT,328.3981,320.3415,55.54481
74,2,False,left,approach,pos,cake35_crop.jpg,1,8,1.0,73.0,2,331.44305,111.0,8.0,DON'T EAT                                    EAT,330.4166,320.3415,55.54481
75,2,False,left,approach,pos,cake21_crop.jpg,1,8,1.0,74.0,2,333.59393,111.0,8.0,DON'T EAT                                    EAT,332.43497,320.3415,55.54481
76,2,False,left,approach,pos,cake10_crop.jpg,1,8,1.0,75.0,2,335.62024,111.0,8.0,DON'T EAT                                    EAT,334.45312,320.3415,55.54481
77,2,False,left,approach,pos,cake30_crop.jpg,1,8,1.0,76.0,2,337.47916,111.0,8.0,DON'T EAT                                    EAT,336.47153,320.3415,55.54481
78,2,True,left,avoid,neg,fungus24_crop.jpg,1,8,1.0,77.0,1,339.60385,111.0,8.0,DON'T EAT                                    EAT,338.49,320.3415,55.54481
79,2,False,left,approach,pos,cake25_crop.jpg,1,8,1.0,78.0,2,341.38705,111.0,8.0,DON'T EAT                                    EAT,340.50812,320.3415,55.54481
80,2,False,left,approach,pos,cake1_crop.jpg,1,8,1.0,79.0,2,343.52615,111.0,8.0,DON'T EAT                                    EAT,342.5268,320.3415,55.54481
81,1,False,right,approach,pos,cake21_crop.jpg,2,9,1.0,80.0,2,434.94232,111.0,9.0,DON'T EAT                                    EAT,433.61856,429.5987,418.35168
82,1,True,right,avoid,pos,meat28_crop.jpg,2,9,1.0,81.0,1,436.69565,111.0,9.0,DON'T EAT                                    EAT,435.6373,429.5987,418.35168
83,1,False,right,approach,pos,cake15_crop.jpg,2,9,1.0,82.0,2,438.60043,111.0,9.0,DON'T EAT                                    EAT,437.6556,429.5987,418.35168
84,1,False,right,approach,pos,cake27_crop.jpg,2,9,1.0,83.0,2,440.55365,111.0,9.0,DON'T EAT                                    EAT,439.67398,429.5987,418.35168
85,1,False,right,approach,pos,cake13_crop.jpg,2,9,1.0,84.0,2,442.54022,111.0,9.0,DON'T EAT                                    EAT,441.6923,429.5987,418.35168
86,1,False,right,approach,pos,cake38_crop.jpg,2,9,1.0,85.0,2,444.63303,111.0,9.0,DON'T EAT                                    EAT,443.71033,429.5987,418.35168
87,1,False,right,approach,pos,cake18_crop.jpg,2,9,1.0,86.0,2,446.61917,111.0,9.0,DON'T EAT                                    EAT,445.7289,429.5987,418.35168
88,1,True,right,avoid,neg,fungus27_crop.jpg,2,9,1.0,87.0,1,448.74704,111.0,9.0,DON'T EAT                                    EAT,447.74747,429.5987,418.35168
89,1,False,right,approach,pos,cake6_crop.jpg,2,9,1.0,88.0,2,450.80066,111.0,9.0,DON'T EAT                                    EAT,449.76566,429.5987,418.35168
90,1,False,right,approach,pos,cake8_crop.jpg,2,9,1.0,89.0,2,452.77005,111.0,9.0,DON'T EAT                                    EAT,451.7841,429.5987,418.35168
91,2,False,left,avoid,pos,meat30_crop.jpg,2,10,1.0,90.0,1,471.20258,111.0,10.0,DON'T EAT                                    EAT,469.99908,465.9791,418.35168
92,2,False,left,avoid,pos,meat34_crop.jpg,2,10,1.0,91.0,1,473.852,111.0,10.0,DON'T EAT                                    EAT,472.01758,465.9791,418.35168
