TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(1985.9770887000486, 2005.9772739000618)
2,index,right,1.0,1.0,(2010.0137672999408, 2030.0140809000004)
3,middle,left,1.0,2.0,(2034.0504506998695, 2054.0508181999903)
4,middle,right,1.0,3.0,(2058.0699223000556, 2078.070329600014)
5,ring,left,1.0,4.0,(2082.107005999889, 2102.1073076999746)
6,ring,right,1.0,5.0,(2106.126916799927, 2126.127011399949)
7,pinky,left,1.0,6.0,(2130.1466001998633, 2150.14685619995)
8,pinky,right,1.0,7.0,(2154.166586600011, 2174.1671813998837)
