subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,time_of_response,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-020,11,1,FALSE,right,approach,pos,cake25_crop.jpg,1,2,TRUE,10,20,EAT                                    DON'T EAT,2196.4363,2192.4329,2144.0488,1,2197.8545,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1418.2000000001863
sub-020,12,1,FALSE,right,approach,pos,cake34_crop.jpg,1,2,TRUE,11,20,EAT                                    DON'T EAT,2198.455,2192.4329,2144.0488,1,2199.97,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1515
sub-020,13,1,FALSE,right,approach,pos,cake30_crop.jpg,1,2,TRUE,12,20,EAT                                    DON'T EAT,2200.4734,2192.4329,2144.0488,1,2201.4038,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,930.3999999999069
sub-020,14,1,FALSE,right,approach,pos,cake36_crop.jpg,1,2,TRUE,13,20,EAT                                    DON'T EAT,2202.4917,2192.4329,2144.0488,1,2203.1155,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,623.7999999998137
sub-020,15,1,FALSE,right,approach,pos,cake17_crop.jpg,1,2,TRUE,14,20,EAT                                    DON'T EAT,2204.51,2192.4329,2144.0488,1,2205.008,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,498
sub-020,16,1,TRUE,right,avoid,neg,fungus35_crop.jpg,1,2,TRUE,15,20,EAT                                    DON'T EAT,2206.5283,2192.4329,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,17,1,FALSE,right,approach,pos,cake7_crop.jpg,1,2,TRUE,16,20,EAT                                    DON'T EAT,2208.5469,2192.4329,2144.0488,1,2209.365,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,818.1000000000931
sub-020,18,1,TRUE,right,avoid,pos,meat16_crop.jpg,1,2,TRUE,17,20,EAT                                    DON'T EAT,2210.565,2192.4329,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,19,1,FALSE,right,approach,pos,cake13_crop.jpg,1,2,TRUE,18,20,EAT                                    DON'T EAT,2212.5835,2192.4329,2144.0488,1,2213.6238,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1040.2999999998137
sub-020,20,1,FALSE,right,approach,pos,cake3_crop.jpg,1,2,TRUE,19,20,EAT                                    DON'T EAT,2214.6018,2192.4329,2144.0488,1,2215.269,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,667.2000000001863
sub-020,21,1,TRUE,left,approach,pos,cake36_crop.jpg,1,3,TRUE,20,20,EAT                                    DON'T EAT,2231.7158,2227.696,2144.0488,1,2232.371,right,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,655.2000000001863
sub-020,22,1,TRUE,left,approach,neg,insect13_crop.jpg,1,3,TRUE,21,20,EAT                                    DON'T EAT,2233.7344,2227.696,2144.0488,1,2234.6873,right,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,952.9000000003725
sub-020,23,1,FALSE,left,avoid,pos,meat15_crop.jpg,1,3,TRUE,22,20,EAT                                    DON'T EAT,2235.7527,2227.696,2144.0488,1,2237.092,right,1,left,left,eat,eat,avoid,pos,avoid-pos,0,0,1339.2999999998137
sub-020,24,1,FALSE,left,avoid,pos,meat27_crop.jpg,1,3,TRUE,23,20,EAT                                    DON'T EAT,2237.7712,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,25,1,FALSE,left,avoid,pos,meat31_crop.jpg,1,3,TRUE,24,20,EAT                                    DON'T EAT,2239.7893,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,26,1,FALSE,left,avoid,pos,meat32_crop.jpg,1,3,TRUE,25,20,EAT                                    DON'T EAT,2241.8071,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,27,1,FALSE,left,avoid,pos,meat13_crop.jpg,1,3,TRUE,26,20,EAT                                    DON'T EAT,2243.8262,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,28,1,FALSE,left,avoid,pos,meat28_crop.jpg,1,3,TRUE,27,20,EAT                                    DON'T EAT,2245.8445,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,29,1,FALSE,left,avoid,pos,meat14_crop.jpg,1,3,TRUE,28,20,EAT                                    DON'T EAT,2247.8625,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,30,1,FALSE,left,avoid,pos,meat23_crop.jpg,1,3,TRUE,29,20,EAT                                    DON'T EAT,2249.881,2227.696,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,31,3,FALSE,right,approach,pos,cake4_crop.jpg,1,4,TRUE,30,20,EAT                                    DON'T EAT,2269.2305,2265.2102,2144.0488,1,2270.1433,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,912.8000000002794
sub-020,32,3,FALSE,right,approach,pos,cake21_crop.jpg,1,4,TRUE,31,20,EAT                                    DON'T EAT,2271.2488,2265.2102,2144.0488,1,2271.865,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,616.2000000001863
sub-020,33,3,FALSE,right,approach,pos,cake26_crop.jpg,1,4,TRUE,32,20,EAT                                    DON'T EAT,2273.267,2265.2102,2144.0488,1,2273.8584,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,591.3999999999069
sub-020,34,3,FALSE,right,approach,pos,cake37_crop.jpg,1,4,TRUE,33,20,EAT                                    DON'T EAT,2275.2856,2265.2102,2144.0488,1,2275.7502,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,464.59999999962747
sub-020,35,3,TRUE,right,avoid,pos,meat6_crop.jpg,1,4,TRUE,34,20,EAT                                    DON'T EAT,2277.304,2265.2102,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,36,3,TRUE,right,avoid,neg,fungus34_crop.jpg,1,4,TRUE,35,20,EAT                                    DON'T EAT,2279.3223,2265.2102,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,37,3,FALSE,right,approach,pos,cake5_crop.jpg,1,4,TRUE,36,20,EAT                                    DON'T EAT,2281.3408,2265.2102,2144.0488,1,2282.1743,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,833.5000000004657
sub-020,38,3,FALSE,right,approach,pos,cake12_crop.jpg,1,4,TRUE,37,20,EAT                                    DON'T EAT,2283.359,2265.2102,2144.0488,1,2283.9521,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,593.1000000000931
sub-020,39,3,FALSE,right,approach,pos,cake15_crop.jpg,1,4,TRUE,38,20,EAT                                    DON'T EAT,2285.3772,2265.2102,2144.0488,1,2285.9568,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,579.6000000000931
sub-020,40,3,FALSE,right,approach,pos,cake16_crop.jpg,1,4,TRUE,39,20,EAT                                    DON'T EAT,2287.395,2265.2102,2144.0488,1,2287.9055,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,510.5
sub-020,41,3,FALSE,right,avoid,neg,fungus11_crop.jpg,1,5,TRUE,40,20,EAT                                    DON'T EAT,2307.4294,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,42,3,FALSE,right,avoid,neg,fungus17_crop.jpg,1,5,TRUE,41,20,EAT                                    DON'T EAT,2309.4473,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,43,3,FALSE,right,avoid,neg,fungus12_crop.jpg,1,5,TRUE,42,20,EAT                                    DON'T EAT,2311.4656,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,44,3,FALSE,right,avoid,neg,fungus36_crop.jpg,1,5,TRUE,43,20,EAT                                    DON'T EAT,2313.484,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,45,3,FALSE,right,avoid,neg,fungus9_crop.jpg,1,5,TRUE,44,20,EAT                                    DON'T EAT,2315.5022,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
