TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(5382.014471099999, 5402.0145909)
2,index,right,1.0,1.0,(5406.051132799999, 5426.051272000001)
3,middle,left,1.0,2.0,(5430.0878261, 5450.088606200001)
4,middle,right,1.0,3.0,(5454.1243536, 5474.124575600001)
5,ring,left,1.0,4.0,(5478.1609833, 5498.1617797)
6,ring,right,1.0,5.0,(5502.197573900001, 5522.1981319999995)
7,pinky,left,1.0,6.0,(5526.2341973, 5546.234452799999)
8,pinky,right,1.0,7.0,(5550.270569100001, 5570.2709961)
