Subject,ROI,Region,Side,Contrast,Mean_Value,Asymmetry_Score
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,pos > baseline,-0.470517730302109,0.342785103928642
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,pos > baseline,-0.230290952971925,0.342785103928642
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,pos < baseline,0.0756764133503732,2.71103922430954
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,pos < baseline,-0.0348919275089694,2.71103922430954
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,pos < baseline,0.470517730302109,0.342785103928642
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,pos < baseline,0.230290952971925,0.342785103928642
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,neg > baseline,0.0790202228746011,-0.530339143029815
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,neg > baseline,0.257478855989949,-0.530339143029815
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,neg > baseline,-0.225668837958672,2.02194939218766
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,neg > baseline,0.0763156829772742,2.02194939218766
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,neg < baseline,2.28816764170329,0.0748291480209484
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,neg < baseline,1.96956512618159,0.0748291480209484
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,neg < baseline,1.34011921963754,0.0191423242472811
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,neg < baseline,1.28977689546557,0.0191423242472811
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,pos > neg,-0.125890973276008,-0.158549454772049
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,pos > neg,-0.1733327279622,-0.158549454772049
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,pos > neg,-0.218300440983089,-0.0753405568782217
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,pos > neg,-0.253874352897946,-0.0753405568782217
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,pos < neg,0.125890973276008,-0.158549454772049
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,pos < neg,0.1733327279622,-0.158549454772049
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,pos < neg,0.218300440983089,-0.0753405568782217
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,pos < neg,0.253874352897946,-0.0753405568782217
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach-pos > baseline,0.147977184624455,0.00537851743374641
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach-pos > baseline,0.146393904589129,0.00537851743374641
