subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-098,1,1,FALSE,left,approach,neg,insect9_crop.jpg,1,1,TRUE,0,1,1466.604,98,EAT                                    DON'T EAT,1465.6553,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,948.7000000001863
sub-098,2,1,TRUE,left,avoid,neg,fungus32_crop.jpg,1,1,TRUE,1,2,1468.9209,98,EAT                                    DON'T EAT,1467.6738,1461.6355,1451.3812,right,2,right,right,not_eat,not_eat,approach,neg,approach-neg,1,1,1247.1000000000931
sub-098,3,1,FALSE,left,approach,neg,insect31_crop.jpg,1,1,TRUE,2,1,1470.4495,98,EAT                                    DON'T EAT,1469.6919,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,757.5999999998603
sub-098,4,1,FALSE,left,approach,neg,insect12_crop.jpg,1,1,TRUE,3,1,1472.2916,98,EAT                                    DON'T EAT,1471.7134,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,578.1999999999534
sub-098,5,1,FALSE,left,approach,neg,insect15_crop.jpg,1,1,TRUE,4,1,1474.2592,98,EAT                                    DON'T EAT,1473.7307,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,528.4999999997672
sub-098,6,1,FALSE,left,approach,neg,insect8_crop.jpg,1,1,TRUE,5,1,1476.5476,98,EAT                                    DON'T EAT,1475.7471,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,800.5
sub-098,7,1,FALSE,left,approach,neg,insect1_crop.jpg,1,1,TRUE,6,1,1478.4513,98,EAT                                    DON'T EAT,1477.7656,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,685.7000000001863
sub-098,8,1,FALSE,left,approach,neg,insect11_crop.jpg,1,1,TRUE,7,1,1480.2905,98,EAT                                    DON'T EAT,1479.7833,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,507.19999999995343
sub-098,9,1,FALSE,left,approach,neg,insect6_crop.jpg,1,1,TRUE,8,1,1482.4155,98,EAT                                    DON'T EAT,1481.8022,1461.6355,1451.3812,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,613.2999999998137
sub-098,10,1,TRUE,left,avoid,pos,meat28_crop.jpg,1,1,TRUE,9,2,1484.719,98,EAT                                    DON'T EAT,1483.8206,1461.6355,1451.3812,right,2,right,right,not_eat,not_eat,approach,neg,approach-neg,1,1,898.3999999999069
sub-098,11,0,FALSE,left,avoid,pos,meat5_crop.jpg,1,2,TRUE,10,2,1501.2762,98,EAT                                    DON'T EAT,1500.3175,1496.2975,1451.3812,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,958.6999999999534
sub-098,12,0,FALSE,left,avoid,pos,meat8_crop.jpg,1,2,TRUE,11,2,1503.0725,98,EAT                                    DON'T EAT,1502.3358,1496.2975,1451.3812,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,736.6999999999534
