TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,1,False,right,avoid,pos,meat17_crop.jpg,1,1,1.0,0.0,1,2193.1384,3.0,1.0,DON'T EAT                                    EAT,2191.8206,2187.8003,2175.0642
2,1,False,right,avoid,pos,meat37_crop.jpg,1,1,1.0,1.0,1,2194.9468,3.0,1.0,DON'T EAT                                    EAT,2193.839,2187.8003,2175.0642
3,1,True,right,approach,pos,cake28_crop.jpg,1,1,1.0,2.0,--,--,3.0,1.0,DON'T EAT                                    EAT,2195.857,2187.8003,2175.0642
4,1,False,right,avoid,pos,meat9_crop.jpg,1,1,1.0,3.0,1,2199.2969,3.0,1.0,DON'T EAT                                    EAT,2197.8787,2187.8003,2175.0642
5,1,False,right,avoid,pos,meat4_crop.jpg,1,1,1.0,4.0,1,2201.2761,3.0,1.0,DON'T EAT                                    EAT,2199.8955,2187.8003,2175.0642
6,1,True,right,approach,neg,insect29_crop.jpg,1,1,1.0,5.0,--,--,3.0,1.0,DON'T EAT                                    EAT,2201.912,2187.8003,2175.0642
7,1,False,right,avoid,pos,meat31_crop.jpg,1,1,1.0,6.0,1,2204.7314,3.0,1.0,DON'T EAT                                    EAT,2203.9304,2187.8003,2175.0642
8,1,False,right,avoid,pos,meat29_crop.jpg,1,1,1.0,7.0,1,2206.8967,3.0,1.0,DON'T EAT                                    EAT,2205.9487,2187.8003,2175.0642
9,1,False,right,avoid,pos,meat1_crop.jpg,1,1,1.0,8.0,1,2209.0613,3.0,1.0,DON'T EAT                                    EAT,2207.967,2187.8003,2175.0642
10,1,False,right,avoid,pos,meat23_crop.jpg,1,1,1.0,9.0,1,2210.8013,3.0,1.0,DON'T EAT                                    EAT,2209.9856,2187.8003,2175.0642
11,0,False,left,avoid,neg,fungus16_crop.jpg,1,2,1.0,10.0,1,2228.58,3.0,2.0,DON'T EAT                                    EAT,2227.5166,2223.4966,2175.0642
12,0,False,left,avoid,neg,fungus25_crop.jpg,1,2,1.0,11.0,1,2230.402,3.0,2.0,DON'T EAT                                    EAT,2229.5352,2223.4966,2175.0642
13,0,False,left,avoid,neg,fungus10_crop.jpg,1,2,1.0,12.0,1,2232.2725,3.0,2.0,DON'T EAT                                    EAT,2231.5535,2223.4966,2175.0642
14,0,True,left,approach,neg,insect33_crop.jpg,1,2,1.0,13.0,--,--,3.0,2.0,DON'T EAT                                    EAT,2233.5718,2223.4966,2175.0642
15,0,False,left,avoid,neg,fungus22_crop.jpg,1,2,1.0,14.0,1,2236.3376,3.0,2.0,DON'T EAT                                    EAT,2235.59,2223.4966,2175.0642
16,0,False,left,avoid,neg,fungus26_crop.jpg,1,2,1.0,15.0,1,2238.4521,3.0,2.0,DON'T EAT                                    EAT,2237.6086,2223.4966,2175.0642
17,0,False,left,avoid,neg,fungus12_crop.jpg,1,2,1.0,16.0,1,2240.506,3.0,2.0,DON'T EAT                                    EAT,2239.627,2223.4966,2175.0642
18,0,False,left,avoid,neg,fungus32_crop.jpg,1,2,1.0,17.0,1,2242.5315,3.0,2.0,DON'T EAT                                    EAT,2241.6453,2223.4966,2175.0642
19,0,False,left,avoid,neg,fungus14_crop.jpg,1,2,1.0,18.0,1,2244.4556,3.0,2.0,DON'T EAT                                    EAT,2243.6636,2223.4966,2175.0642
20,0,True,left,approach,pos,cake36_crop.jpg,1,2,1.0,19.0,--,--,3.0,2.0,DON'T EAT                                    EAT,2245.6816,2223.4966,2175.0642
21,1,False,right,avoid,neg,fungus32_crop.jpg,1,3,1.0,20.0,1,2263.9695,3.0,3.0,DON'T EAT                                    EAT,2262.9128,2258.8928,2175.0642
22,1,False,right,avoid,neg,fungus6_crop.jpg,1,3,1.0,21.0,1,2265.5012,3.0,3.0,DON'T EAT                                    EAT,2264.931,2258.8928,2175.0642
23,1,False,right,avoid,neg,fungus23_crop.jpg,1,3,1.0,22.0,1,2267.7922,3.0,3.0,DON'T EAT                                    EAT,2266.9495,2258.8928,2175.0642
