TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3808.396009200005, 3828.396070700008)
2,index,right,1.0,1.0,(3832.433130800011, 3852.4333320000005)
3,middle,left,1.0,2.0,(3856.4527797000046, 3876.4531349000026)
4,middle,right,1.0,3.0,(3880.489726700005, 3900.490588600005)
5,ring,left,1.0,4.0,(3904.5263233000005, 3924.5263856000092)
6,ring,right,1.0,5.0,(3928.5630058000097, 3948.5638510999997)
7,pinky,left,1.0,6.0,(3952.5996094, 3972.6005120000045)
8,pinky,right,1.0,7.0,(3976.636292299998, 3996.6365494000056)
