TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,3,True,right,avoid,neg,fungus9_crop.jpg,1,1,1.0,0.0,2,1334.3531,108.0,1.0,EAT                                    DON'T EAT,1332.3625,1328.3423,1317.297
2,3,False,right,approach,pos,cake26_crop.jpg,1,1,1.0,1.0,1,1335.7784,108.0,1.0,EAT                                    DON'T EAT,1334.3805,1328.3423,1317.297
3,3,False,right,approach,pos,cake31_crop.jpg,1,1,1.0,2.0,1,1337.1768,108.0,1.0,EAT                                    DON'T EAT,1336.3987,1328.3423,1317.297
4,3,False,right,approach,pos,cake4_crop.jpg,1,1,1.0,3.0,1,1339.2307,108.0,1.0,EAT                                    DON'T EAT,1338.4203,1328.3423,1317.297
5,3,False,right,approach,pos,cake9_crop.jpg,1,1,1.0,4.0,1,1341.2172,108.0,1.0,EAT                                    DON'T EAT,1340.438,1328.3423,1317.297
6,3,False,right,approach,pos,cake36_crop.jpg,1,1,1.0,5.0,1,1343.2549,108.0,1.0,EAT                                    DON'T EAT,1342.454,1328.3423,1317.297
7,3,False,right,approach,pos,cake20_crop.jpg,1,1,1.0,6.0,1,1345.2638,108.0,1.0,EAT                                    DON'T EAT,1344.4724,1328.3423,1317.297
8,3,True,right,avoid,pos,meat10_crop.jpg,1,1,1.0,7.0,2,1347.5464,108.0,1.0,EAT                                    DON'T EAT,1346.4906,1328.3423,1317.297
9,3,False,right,approach,pos,cake13_crop.jpg,1,1,1.0,8.0,1,1349.4357,108.0,1.0,EAT                                    DON'T EAT,1348.509,1328.3423,1317.297
10,3,False,right,approach,pos,cake12_crop.jpg,1,1,1.0,9.0,1,1351.8242,108.0,1.0,EAT                                    DON'T EAT,1350.5275,1328.3423,1317.297
11,0,False,left,approach,pos,cake19_crop.jpg,1,2,1.0,10.0,1,1370.8711,108.0,2.0,EAT                                    DON'T EAT,1369.5431,1365.5231,1317.297
12,0,False,left,approach,pos,cake22_crop.jpg,1,2,1.0,11.0,1,1372.1534,108.0,2.0,EAT                                    DON'T EAT,1371.5614,1365.5231,1317.297
13,0,True,left,avoid,pos,meat18_crop.jpg,1,2,1.0,12.0,2,1374.6975,108.0,2.0,EAT                                    DON'T EAT,1373.5796,1365.5231,1317.297
14,0,True,left,avoid,neg,fungus16_crop.jpg,1,2,1.0,13.0,2,1376.7168,108.0,2.0,EAT                                    DON'T EAT,1375.5979,1365.5231,1317.297
15,0,False,left,approach,pos,cake23_crop.jpg,1,2,1.0,14.0,1,1378.4281,108.0,2.0,EAT                                    DON'T EAT,1377.6166,1365.5231,1317.297
16,0,False,left,approach,pos,cake29_crop.jpg,1,2,1.0,15.0,1,1380.3688,108.0,2.0,EAT                                    DON'T EAT,1379.6348,1365.5231,1317.297
17,0,False,left,approach,pos,cake20_crop.jpg,1,2,1.0,16.0,1,1382.2821,108.0,2.0,EAT                                    DON'T EAT,1381.653,1365.5231,1317.297
18,0,False,left,approach,pos,cake32_crop.jpg,1,2,1.0,17.0,1,1384.4943,108.0,2.0,EAT                                    DON'T EAT,1383.6713,1365.5231,1317.297
19,0,False,left,approach,pos,cake18_crop.jpg,1,2,1.0,18.0,1,1386.5225,108.0,2.0,EAT                                    DON'T EAT,1385.6898,1365.5231,1317.297
20,0,False,left,approach,pos,cake10_crop.jpg,1,2,1.0,19.0,1,1388.4346,108.0,2.0,EAT                                    DON'T EAT,1387.7079,1365.5231,1317.297
21,0,False,right,approach,pos,cake18_crop.jpg,1,3,1.0,20.0,1,1405.686,108.0,3.0,EAT                                    DON'T EAT,1404.8225,1400.8024,1317.297
22,0,False,right,approach,pos,cake30_crop.jpg,1,3,1.0,21.0,1,1407.4121,108.0,3.0,EAT                                    DON'T EAT,1406.8407,1400.8024,1317.297
23,0,True,right,avoid,neg,fungus5_crop.jpg,1,3,1.0,22.0,2,1409.849,108.0,3.0,EAT                                    DON'T EAT,1408.8591,1400.8024,1317.297
24,0,False,right,approach,pos,cake24_crop.jpg,1,3,1.0,23.0,1,1411.6887,108.0,3.0,EAT                                    DON'T EAT,1410.8777,1400.8024,1317.297
