TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,3,False,right,avoid,pos,meat30_crop.jpg,1,1,1.0,0.0,1,2391.5889,999.0,1.0,DON'T EAT                                    EAT,2390.19,2386.1694,2374.8484
2,3,False,right,avoid,pos,meat18_crop.jpg,1,1,1.0,1.0,1,2392.9456,999.0,1.0,DON'T EAT                                    EAT,2392.208,2386.1694,2374.8484
3,3,False,right,avoid,pos,meat33_crop.jpg,1,1,1.0,2.0,1,2395.0813,999.0,1.0,DON'T EAT                                    EAT,2394.2266,2386.1694,2374.8484
4,3,False,right,avoid,pos,meat29_crop.jpg,1,1,1.0,3.0,1,2397.1436,999.0,1.0,DON'T EAT                                    EAT,2396.2478,2386.1694,2374.8484
5,3,False,right,avoid,pos,meat21_crop.jpg,1,1,1.0,4.0,1,2399.0981,999.0,1.0,DON'T EAT                                    EAT,2398.265,2386.1694,2374.8484
6,3,False,right,avoid,pos,meat24_crop.jpg,1,1,1.0,5.0,1,2401.0186,999.0,1.0,DON'T EAT                                    EAT,2400.2815,2386.1694,2374.8484
7,3,True,right,approach,pos,cake13_crop.jpg,1,1,1.0,6.0,--,--,999.0,1.0,DON'T EAT                                    EAT,2402.2998,2386.1694,2374.8484
8,3,True,right,approach,neg,insect20_crop.jpg,1,1,1.0,7.0,1,2405.0334,999.0,1.0,DON'T EAT                                    EAT,2404.318,2386.1694,2374.8484
9,3,False,right,avoid,pos,meat12_crop.jpg,1,1,1.0,8.0,1,2407.0527,999.0,1.0,DON'T EAT                                    EAT,2406.3367,2386.1694,2374.8484
10,3,False,right,avoid,pos,meat7_crop.jpg,1,1,1.0,9.0,1,2409.0813,999.0,1.0,DON'T EAT                                    EAT,2408.355,2386.1694,2374.8484
11,2,False,left,approach,pos,cake25_crop.jpg,1,2,1.0,10.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2428.0212,2424.001,2374.8484
12,2,False,left,approach,pos,cake37_crop.jpg,1,2,1.0,11.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2430.0396,2424.001,2374.8484
13,2,True,left,avoid,pos,meat39_crop.jpg,1,2,1.0,12.0,1,2432.6482,999.0,2.0,DON'T EAT                                    EAT,2432.058,2424.001,2374.8484
14,2,False,left,approach,pos,cake31_crop.jpg,1,2,1.0,13.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2434.0764,2424.001,2374.8484
15,2,True,left,avoid,neg,fungus16_crop.jpg,1,2,1.0,14.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2436.0947,2424.001,2374.8484
16,2,False,left,approach,pos,cake34_crop.jpg,1,2,1.0,15.0,1,2439.0923,999.0,2.0,DON'T EAT                                    EAT,2438.113,2424.001,2374.8484
17,2,False,left,approach,pos,cake20_crop.jpg,1,2,1.0,16.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2440.1313,2424.001,2374.8484
18,2,False,left,approach,pos,cake24_crop.jpg,1,2,1.0,17.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2442.1497,2424.001,2374.8484
19,2,False,left,approach,pos,cake11_crop.jpg,1,2,1.0,18.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2444.168,2424.001,2374.8484
20,2,False,left,approach,pos,cake36_crop.jpg,1,2,1.0,19.0,--,--,999.0,2.0,DON'T EAT                                    EAT,2446.1865,2424.001,2374.8484
21,0,False,right,approach,neg,insect24_crop.jpg,1,3,1.0,20.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2464.8853,2460.8655,2374.8484
22,0,True,right,avoid,pos,meat20_crop.jpg,1,3,1.0,21.0,1,2468.019,999.0,3.0,DON'T EAT                                    EAT,2466.9036,2460.8655,2374.8484
23,0,False,right,approach,neg,insect40_crop.jpg,1,3,1.0,22.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2468.922,2460.8655,2374.8484
24,0,False,right,approach,neg,insect12_crop.jpg,1,3,1.0,23.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2470.9404,2460.8655,2374.8484
25,0,False,right,approach,neg,insect6_crop.jpg,1,3,1.0,24.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2472.9587,2460.8655,2374.8484
26,0,False,right,approach,neg,insect1_crop.jpg,1,3,1.0,25.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2474.9766,2460.8655,2374.8484
27,0,True,right,avoid,neg,fungus2_crop.jpg,1,3,1.0,26.0,1,2477.8792,999.0,3.0,DON'T EAT                                    EAT,2476.9954,2460.8655,2374.8484
28,0,False,right,approach,neg,insect7_crop.jpg,1,3,1.0,27.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2479.0137,2460.8655,2374.8484
29,0,False,right,approach,neg,insect36_crop.jpg,1,3,1.0,28.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2481.0322,2460.8655,2374.8484
30,0,False,right,approach,neg,insect18_crop.jpg,1,3,1.0,29.0,--,--,999.0,3.0,DON'T EAT                                    EAT,2483.05,2460.8655,2374.8484
31,3,True,right,avoid,pos,meat31_crop.jpg,1,4,1.0,30.0,1,2501.6357,999.0,4.0,DON'T EAT                                    EAT,2500.3645,2496.3608,2374.8484
32,3,False,right,approach,neg,insect25_crop.jpg,1,4,1.0,31.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2502.383,2496.3608,2374.8484
33,3,False,right,approach,neg,insect34_crop.jpg,1,4,1.0,32.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2504.4014,2496.3608,2374.8484
34,3,False,right,approach,neg,insect14_crop.jpg,1,4,1.0,33.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2506.4197,2496.3608,2374.8484
35,3,False,right,approach,neg,insect9_crop.jpg,1,4,1.0,34.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2508.438,2496.3608,2374.8484
36,3,False,right,approach,neg,insect32_crop.jpg,1,4,1.0,35.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2510.4565,2496.3608,2374.8484
37,3,False,right,approach,neg,insect2_crop.jpg,1,4,1.0,36.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2512.4746,2496.3608,2374.8484
38,3,True,right,avoid,neg,fungus28_crop.jpg,1,4,1.0,37.0,1,2516.2603,999.0,4.0,DON'T EAT                                    EAT,2514.4932,2496.3608,2374.8484
39,3,False,right,approach,neg,insect33_crop.jpg,1,4,1.0,38.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2516.5115,2496.3608,2374.8484
40,3,False,right,approach,neg,insect21_crop.jpg,1,4,1.0,39.0,--,--,999.0,4.0,DON'T EAT                                    EAT,2518.53,2496.3608,2374.8484
41,3,False,right,avoid,neg,fungus20_crop.jpg,1,5,1.0,40.0,1,2537.3418,999.0,5.0,DON'T EAT                                    EAT,2535.961,2531.941,2374.8484
42,3,False,right,avoid,neg,fungus38_crop.jpg,1,5,1.0,41.0,1,2538.8208,999.0,5.0,DON'T EAT                                    EAT,2537.9795,2531.941,2374.8484
43,3,False,right,avoid,neg,fungus21_crop.jpg,1,5,1.0,42.0,1,2540.6182,999.0,5.0,DON'T EAT                                    EAT,2539.9976,2531.941,2374.8484
44,3,False,right,avoid,neg,fungus35_crop.jpg,1,5,1.0,43.0,1,2542.553,999.0,5.0,DON'T EAT                                    EAT,2542.016,2531.941,2374.8484
45,3,True,right,approach,pos,cake5_crop.jpg,1,5,1.0,44.0,--,--,999.0,5.0,DON'T EAT                                    EAT,2544.0344,2531.941,2374.8484
46,3,False,right,avoid,neg,fungus7_crop.jpg,1,5,1.0,45.0,1,2546.6855,999.0,5.0,DON'T EAT                                    EAT,2546.0527,2531.941,2374.8484
47,3,False,right,avoid,neg,fungus30_crop.jpg,1,5,1.0,46.0,1,2548.9062,999.0,5.0,DON'T EAT                                    EAT,2548.0713,2531.941,2374.8484
48,3,False,right,avoid,neg,fungus19_crop.jpg,1,5,1.0,47.0,1,2550.8474,999.0,5.0,DON'T EAT                                    EAT,2550.089,2531.941,2374.8484
49,3,False,right,avoid,neg,fungus9_crop.jpg,1,5,1.0,48.0,1,2552.561,999.0,5.0,DON'T EAT                                    EAT,2552.1077,2531.941,2374.8484
50,3,True,right,approach,neg,insect10_crop.jpg,1,5,1.0,49.0,--,--,999.0,5.0,DON'T EAT                                    EAT,2554.1262,2531.941,2374.8484
51,2,False,left,avoid,neg,fungus18_crop.jpg,1,6,1.0,50.0,1,2571.7017,999.0,6.0,DON'T EAT                                    EAT,2570.6062,2566.5867,2374.8484
52,2,False,left,avoid,neg,fungus31_crop.jpg,1,6,1.0,51.0,1,2573.2456,999.0,6.0,DON'T EAT                                    EAT,2572.625,2566.5867,2374.8484
53,2,True,left,approach,neg,insect30_crop.jpg,1,6,1.0,52.0,1,2575.1309,999.0,6.0,DON'T EAT                                    EAT,2574.6433,2566.5867,2374.8484
54,2,False,left,avoid,neg,fungus6_crop.jpg,1,6,1.0,53.0,1,2577.358,999.0,6.0,DON'T EAT                                    EAT,2576.6616,2566.5867,2374.8484
55,2,False,left,avoid,neg,fungus15_crop.jpg,1,6,1.0,54.0,1,2579.3643,999.0,6.0,DON'T EAT                                    EAT,2578.68,2566.5867,2374.8484
56,2,False,left,avoid,neg,fungus9_crop.jpg,1,6,1.0,55.0,1,2581.1824,999.0,6.0,DON'T EAT                                    EAT,2580.6982,2566.5867,2374.8484
57,2,False,left,avoid,neg,fungus2_crop.jpg,1,6,1.0,56.0,1,2583.3174,999.0,6.0,DON'T EAT                                    EAT,2582.7166,2566.5867,2374.8484
58,2,True,left,approach,pos,cake16_crop.jpg,1,6,1.0,57.0,--,--,999.0,6.0,DON'T EAT                                    EAT,2584.7349,2566.5867,2374.8484
