TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(4013.6393305999227, 4033.6399314000737)
2,index,right,1.0,1.0,(4037.6764807999134, 4057.677124500042)
3,middle,left,1.0,2.0,(4061.69602630008, 4081.6965775000863)
4,middle,right,1.0,3.0,(4085.7328435999807, 4105.732899599941)
5,ring,left,1.0,4.0,(4109.7525021000765, 4129.753061499912)
6,ring,right,1.0,5.0,(4133.789466300048, 4153.78997329995)
7,pinky,left,1.0,6.0,(4157.826222199947, 4177.8270241001155)
8,pinky,right,1.0,7.0,(4181.862514599925, 4201.862999000121)
