subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-053,1,3,FALSE,left,avoid,pos,meat28_crop.jpg,1,1,TRUE,0,1,1666.0093,53,DON'T EAT                                    EAT,1664.4725,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1536.8000000000466
sub-053,2,3,FALSE,left,avoid,pos,meat20_crop.jpg,1,1,TRUE,1,1,1667.3081,53,DON'T EAT                                    EAT,1666.4911,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,817
sub-053,3,3,FALSE,left,avoid,pos,meat27_crop.jpg,1,1,TRUE,2,1,1669.2695,53,DON'T EAT                                    EAT,1668.5094,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,760.1000000000931
sub-053,4,3,FALSE,left,avoid,pos,meat14_crop.jpg,1,1,TRUE,3,1,1671.7975,53,DON'T EAT                                    EAT,1670.5308,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1266.6999999999534
sub-053,5,3,TRUE,left,approach,neg,insect26_crop.jpg,1,1,TRUE,4,2,1673.5851,53,DON'T EAT                                    EAT,1672.5486,1660.4529,1649.0217,left,2,right,right,eat,eat,avoid,pos,avoid-pos,1,1,1036.5
sub-053,6,3,FALSE,left,avoid,pos,meat4_crop.jpg,1,1,TRUE,5,1,1675.5901,53,DON'T EAT                                    EAT,1674.5643,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1025.7999999998137
sub-053,7,3,FALSE,left,avoid,pos,meat19_crop.jpg,1,1,TRUE,6,1,1677.6501,53,DON'T EAT                                    EAT,1676.5825,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1067.6000000000931
sub-053,8,3,FALSE,left,avoid,pos,meat15_crop.jpg,1,1,TRUE,7,1,1679.219,53,DON'T EAT                                    EAT,1678.6013,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,617.6999999999534
sub-053,9,3,TRUE,left,approach,pos,cake7_crop.jpg,1,1,TRUE,8,2,1681.7245,53,DON'T EAT                                    EAT,1680.6194,1660.4529,1649.0217,left,2,right,right,eat,eat,avoid,pos,avoid-pos,1,1,1105.0999999998603
sub-053,10,3,FALSE,left,avoid,pos,meat17_crop.jpg,1,1,TRUE,9,1,1683.3346,53,DON'T EAT                                    EAT,1682.6377,1660.4529,1649.0217,left,1,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,696.8999999999069
