TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,3,False,left,avoid,pos,meat28_crop.jpg,1,1,1.0,0.0,1,1666.0093,53.0,1.0,DON'T EAT                                    EAT,1664.4725,1660.4529,1649.0217
2,3,False,left,avoid,pos,meat20_crop.jpg,1,1,1.0,1.0,1,1667.3081,53.0,1.0,DON'T EAT                                    EAT,1666.4911,1660.4529,1649.0217
3,3,False,left,avoid,pos,meat27_crop.jpg,1,1,1.0,2.0,1,1669.2695,53.0,1.0,DON'T EAT                                    EAT,1668.5094,1660.4529,1649.0217
4,3,False,left,avoid,pos,meat14_crop.jpg,1,1,1.0,3.0,1,1671.7975,53.0,1.0,DON'T EAT                                    EAT,1670.5308,1660.4529,1649.0217
5,3,True,left,approach,neg,insect26_crop.jpg,1,1,1.0,4.0,2,1673.5851,53.0,1.0,DON'T EAT                                    EAT,1672.5486,1660.4529,1649.0217
6,3,False,left,avoid,pos,meat4_crop.jpg,1,1,1.0,5.0,1,1675.5901,53.0,1.0,DON'T EAT                                    EAT,1674.5643,1660.4529,1649.0217
7,3,False,left,avoid,pos,meat19_crop.jpg,1,1,1.0,6.0,1,1677.6501,53.0,1.0,DON'T EAT                                    EAT,1676.5825,1660.4529,1649.0217
8,3,False,left,avoid,pos,meat15_crop.jpg,1,1,1.0,7.0,1,1679.219,53.0,1.0,DON'T EAT                                    EAT,1678.6013,1660.4529,1649.0217
9,3,True,left,approach,pos,cake7_crop.jpg,1,1,1.0,8.0,2,1681.7245,53.0,1.0,DON'T EAT                                    EAT,1680.6194,1660.4529,1649.0217
10,3,False,left,avoid,pos,meat17_crop.jpg,1,1,1.0,9.0,1,1683.3346,53.0,1.0,DON'T EAT                                    EAT,1682.6377,1660.4529,1649.0217
11,1,False,left,approach,neg,insect34_crop.jpg,1,2,1.0,10.0,1,1702.5714,53.0,2.0,DON'T EAT                                    EAT,1701.3535,1697.3331,1649.0217
12,1,False,left,approach,neg,insect5_crop.jpg,1,2,1.0,11.0,1,1703.955,53.0,2.0,DON'T EAT                                    EAT,1703.372,1697.3331,1649.0217
13,1,False,left,approach,neg,insect15_crop.jpg,1,2,1.0,12.0,1,1706.037,53.0,2.0,DON'T EAT                                    EAT,1705.3901,1697.3331,1649.0217
14,1,False,left,approach,neg,insect33_crop.jpg,1,2,1.0,13.0,1,1707.9902,53.0,2.0,DON'T EAT                                    EAT,1707.4084,1697.3331,1649.0217
15,1,False,left,approach,neg,insect23_crop.jpg,1,2,1.0,14.0,1,1709.9347,53.0,2.0,DON'T EAT                                    EAT,1709.4269,1697.3331,1649.0217
16,1,False,left,approach,neg,insect32_crop.jpg,1,2,1.0,15.0,1,1711.9407,53.0,2.0,DON'T EAT                                    EAT,1711.445,1697.3331,1649.0217
