TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3762.720821700059, 3782.7212820999557)
2,index,right,1.0,1.0,(3786.757122699986, 3806.757513800054)
3,middle,left,1.0,2.0,(3810.777626700001, 3830.7784814999904)
4,middle,right,1.0,3.0,(3834.814331199974, 3854.8151968000457)
5,ring,left,1.0,4.0,(3858.8339025999885, 3878.834353100043)
6,ring,right,1.0,5.0,(3882.8542472999543, 3902.8544155999552)
7,pinky,left,1.0,6.0,(3906.8738265000284, 3926.8741983000655)
8,pinky,right,1.0,7.0,(3930.893872600049, 3950.89436679997)
