TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,RT
1,1,False,right,avoid,neg,fungus21_crop.jpg,1,1,1.0,0.0,20.0,1.0,EAT                                    DON'T EAT,2161.9575,2157.938,2144.0488,--,--
2,1,False,right,avoid,neg,fungus26_crop.jpg,1,1,1.0,1.0,20.0,1.0,EAT                                    DON'T EAT,2163.976,2157.938,2144.0488,--,--
3,1,True,right,approach,neg,insect5_crop.jpg,1,1,1.0,2.0,20.0,1.0,EAT                                    DON'T EAT,2165.9949,2157.938,2144.0488,1,2166.7185
4,1,True,right,approach,pos,cake40_crop.jpg,1,1,1.0,3.0,20.0,1.0,EAT                                    DON'T EAT,2168.0166,2157.938,2144.0488,1,2169.0093
5,1,False,right,avoid,neg,fungus39_crop.jpg,1,1,1.0,4.0,20.0,1.0,EAT                                    DON'T EAT,2170.0332,2157.938,2144.0488,--,--
6,1,False,right,avoid,neg,fungus28_crop.jpg,1,1,1.0,5.0,20.0,1.0,EAT                                    DON'T EAT,2172.0493,2157.938,2144.0488,--,--
7,1,False,right,avoid,neg,fungus20_crop.jpg,1,1,1.0,6.0,20.0,1.0,EAT                                    DON'T EAT,2174.068,2157.938,2144.0488,--,--
8,1,False,right,avoid,neg,fungus18_crop.jpg,1,1,1.0,7.0,20.0,1.0,EAT                                    DON'T EAT,2176.0862,2157.938,2144.0488,--,--
9,1,False,right,avoid,neg,fungus8_crop.jpg,1,1,1.0,8.0,20.0,1.0,EAT                                    DON'T EAT,2178.1045,2157.938,2144.0488,--,--
10,1,False,right,avoid,neg,fungus6_crop.jpg,1,1,1.0,9.0,20.0,1.0,EAT                                    DON'T EAT,2180.1233,2157.938,2144.0488,--,--
11,1,False,right,approach,pos,cake25_crop.jpg,1,2,1.0,10.0,20.0,2.0,EAT                                    DON'T EAT,2196.4363,2192.4329,2144.0488,1,2197.8545
12,1,False,right,approach,pos,cake34_crop.jpg,1,2,1.0,11.0,20.0,2.0,EAT                                    DON'T EAT,2198.455,2192.4329,2144.0488,1,2199.97
13,1,False,right,approach,pos,cake30_crop.jpg,1,2,1.0,12.0,20.0,2.0,EAT                                    DON'T EAT,2200.4734,2192.4329,2144.0488,1,2201.4038
14,1,False,right,approach,pos,cake36_crop.jpg,1,2,1.0,13.0,20.0,2.0,EAT                                    DON'T EAT,2202.4917,2192.4329,2144.0488,1,2203.1155
15,1,False,right,approach,pos,cake17_crop.jpg,1,2,1.0,14.0,20.0,2.0,EAT                                    DON'T EAT,2204.51,2192.4329,2144.0488,1,2205.008
16,1,True,right,avoid,neg,fungus35_crop.jpg,1,2,1.0,15.0,20.0,2.0,EAT                                    DON'T EAT,2206.5283,2192.4329,2144.0488,--,--
17,1,False,right,approach,pos,cake7_crop.jpg,1,2,1.0,16.0,20.0,2.0,EAT                                    DON'T EAT,2208.5469,2192.4329,2144.0488,1,2209.365
18,1,True,right,avoid,pos,meat16_crop.jpg,1,2,1.0,17.0,20.0,2.0,EAT                                    DON'T EAT,2210.565,2192.4329,2144.0488,--,--
19,1,False,right,approach,pos,cake13_crop.jpg,1,2,1.0,18.0,20.0,2.0,EAT                                    DON'T EAT,2212.5835,2192.4329,2144.0488,1,2213.6238
20,1,False,right,approach,pos,cake3_crop.jpg,1,2,1.0,19.0,20.0,2.0,EAT                                    DON'T EAT,2214.6018,2192.4329,2144.0488,1,2215.269
21,1,True,left,approach,pos,cake36_crop.jpg,1,3,1.0,20.0,20.0,3.0,EAT                                    DON'T EAT,2231.7158,2227.696,2144.0488,1,2232.371
22,1,True,left,approach,neg,insect13_crop.jpg,1,3,1.0,21.0,20.0,3.0,EAT                                    DON'T EAT,2233.7344,2227.696,2144.0488,1,2234.6873
23,1,False,left,avoid,pos,meat15_crop.jpg,1,3,1.0,22.0,20.0,3.0,EAT                                    DON'T EAT,2235.7527,2227.696,2144.0488,1,2237.092
24,1,False,left,avoid,pos,meat27_crop.jpg,1,3,1.0,23.0,20.0,3.0,EAT                                    DON'T EAT,2237.7712,2227.696,2144.0488,--,--
25,1,False,left,avoid,pos,meat31_crop.jpg,1,3,1.0,24.0,20.0,3.0,EAT                                    DON'T EAT,2239.7893,2227.696,2144.0488,--,--
26,1,False,left,avoid,pos,meat32_crop.jpg,1,3,1.0,25.0,20.0,3.0,EAT                                    DON'T EAT,2241.8071,2227.696,2144.0488,--,--
27,1,False,left,avoid,pos,meat13_crop.jpg,1,3,1.0,26.0,20.0,3.0,EAT                                    DON'T EAT,2243.8262,2227.696,2144.0488,--,--
28,1,False,left,avoid,pos,meat28_crop.jpg,1,3,1.0,27.0,20.0,3.0,EAT                                    DON'T EAT,2245.8445,2227.696,2144.0488,--,--
29,1,False,left,avoid,pos,meat14_crop.jpg,1,3,1.0,28.0,20.0,3.0,EAT                                    DON'T EAT,2247.8625,2227.696,2144.0488,--,--
