TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,1,False,left,approach,neg,insect9_crop.jpg,1,1,1.0,0.0,1,1466.604,98.0,1.0,EAT                                    DON'T EAT,1465.6553,1461.6355,1451.3812
2,1,True,left,avoid,neg,fungus32_crop.jpg,1,1,1.0,1.0,2,1468.9209,98.0,1.0,EAT                                    DON'T EAT,1467.6738,1461.6355,1451.3812
3,1,False,left,approach,neg,insect31_crop.jpg,1,1,1.0,2.0,1,1470.4495,98.0,1.0,EAT                                    DON'T EAT,1469.6919,1461.6355,1451.3812
4,1,False,left,approach,neg,insect12_crop.jpg,1,1,1.0,3.0,1,1472.2916,98.0,1.0,EAT                                    DON'T EAT,1471.7134,1461.6355,1451.3812
5,1,False,left,approach,neg,insect15_crop.jpg,1,1,1.0,4.0,1,1474.2592,98.0,1.0,EAT                                    DON'T EAT,1473.7307,1461.6355,1451.3812
6,1,False,left,approach,neg,insect8_crop.jpg,1,1,1.0,5.0,1,1476.5476,98.0,1.0,EAT                                    DON'T EAT,1475.7471,1461.6355,1451.3812
7,1,False,left,approach,neg,insect1_crop.jpg,1,1,1.0,6.0,1,1478.4513,98.0,1.0,EAT                                    DON'T EAT,1477.7656,1461.6355,1451.3812
8,1,False,left,approach,neg,insect11_crop.jpg,1,1,1.0,7.0,1,1480.2905,98.0,1.0,EAT                                    DON'T EAT,1479.7833,1461.6355,1451.3812
9,1,False,left,approach,neg,insect6_crop.jpg,1,1,1.0,8.0,1,1482.4155,98.0,1.0,EAT                                    DON'T EAT,1481.8022,1461.6355,1451.3812
10,1,True,left,avoid,pos,meat28_crop.jpg,1,1,1.0,9.0,2,1484.719,98.0,1.0,EAT                                    DON'T EAT,1483.8206,1461.6355,1451.3812
11,0,False,left,avoid,pos,meat5_crop.jpg,1,2,1.0,10.0,2,1501.2762,98.0,2.0,EAT                                    DON'T EAT,1500.3175,1496.2975,1451.3812
12,0,False,left,avoid,pos,meat8_crop.jpg,1,2,1.0,11.0,2,1503.0725,98.0,2.0,EAT                                    DON'T EAT,1502.3358,1496.2975,1451.3812
13,0,False,left,avoid,pos,meat32_crop.jpg,1,2,1.0,12.0,2,1504.9242,98.0,2.0,EAT                                    DON'T EAT,1504.3542,1496.2975,1451.3812
14,0,True,left,approach,neg,insect38_crop.jpg,1,2,1.0,13.0,1,1507.1858,98.0,2.0,EAT                                    DON'T EAT,1506.3727,1496.2975,1451.3812
15,0,False,left,avoid,pos,meat20_crop.jpg,1,2,1.0,14.0,2,1509.0883,98.0,2.0,EAT                                    DON'T EAT,1508.391,1496.2975,1451.3812
16,0,False,left,avoid,pos,meat37_crop.jpg,1,2,1.0,15.0,2,1511.0835,98.0,2.0,EAT                                    DON'T EAT,1510.4093,1496.2975,1451.3812
17,0,True,left,approach,pos,cake31_crop.jpg,1,2,1.0,16.0,1,1513.3567,98.0,2.0,EAT                                    DON'T EAT,1512.4272,1496.2975,1451.3812
18,0,False,left,avoid,pos,meat12_crop.jpg,1,2,1.0,17.0,2,1515.2565,98.0,2.0,EAT                                    DON'T EAT,1514.4458,1496.2975,1451.3812
19,0,False,left,avoid,pos,meat33_crop.jpg,1,2,1.0,18.0,2,1517.3638,98.0,2.0,EAT                                    DON'T EAT,1516.4644,1496.2975,1451.3812
20,0,False,left,avoid,pos,meat31_crop.jpg,1,2,1.0,19.0,2,1519.1774,98.0,2.0,EAT                                    DON'T EAT,1518.4827,1496.2975,1451.3812
21,0,False,left,approach,neg,insect29_crop.jpg,1,3,1.0,20.0,1,1536.687,98.0,3.0,EAT                                    DON'T EAT,1535.7472,1531.7269,1451.3812
22,0,False,left,approach,neg,insect32_crop.jpg,1,3,1.0,21.0,1,1538.366,98.0,3.0,EAT                                    DON'T EAT,1537.7649,1531.7269,1451.3812
23,0,True,left,avoid,pos,meat9_crop.jpg,1,3,1.0,22.0,2,1540.8636,98.0,3.0,EAT                                    DON'T EAT,1539.7837,1531.7269,1451.3812
24,0,False,left,approach,neg,insect20_crop.jpg,1,3,1.0,23.0,1,1542.4774,98.0,3.0,EAT                                    DON'T EAT,1541.8021,1531.7269,1451.3812
25,0,False,left,approach,neg,insect35_crop.jpg,1,3,1.0,24.0,1,1544.6616,98.0,3.0,EAT                                    DON'T EAT,1543.8203,1531.7269,1451.3812
