subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-111,1,2,FALSE,right,approach,neg,insect19_crop.jpg,1,1,TRUE,0,2,72.59918,111,DON'T EAT                                    EAT,71.118164,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1481.0160000000178
sub-111,2,2,FALSE,right,approach,neg,insect26_crop.jpg,1,1,TRUE,1,2,74.566925,111,DON'T EAT                                    EAT,73.136375,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1430.550000000003
sub-111,3,2,FALSE,right,approach,neg,insect27_crop.jpg,1,1,TRUE,2,2,76.37228,111,DON'T EAT                                    EAT,75.15473,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1217.550000000003
sub-111,4,2,FALSE,right,approach,neg,insect13_crop.jpg,1,1,TRUE,3,2,78.12326,111,DON'T EAT                                    EAT,77.17298,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,950.2799999999988
sub-111,5,2,FALSE,right,approach,neg,insect4_crop.jpg,1,1,TRUE,4,2,80.10166,111,DON'T EAT                                    EAT,79.19131,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,910.3499999999913
sub-111,6,2,TRUE,right,avoid,pos,meat25_crop.jpg,1,1,TRUE,5,2,82.73169,111,DON'T EAT                                    EAT,81.20964,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,0,0,1522.050000000003
sub-111,7,2,FALSE,right,approach,neg,insect5_crop.jpg,1,1,TRUE,6,2,84.113144,111,DON'T EAT                                    EAT,83.23348,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,879.6640000000043
sub-111,8,2,FALSE,right,approach,neg,insect6_crop.jpg,1,1,TRUE,7,2,86.09689,111,DON'T EAT                                    EAT,85.24948,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,847.4099999999889
sub-111,9,2,FALSE,right,approach,neg,insect10_crop.jpg,1,1,TRUE,8,2,88.2918,111,DON'T EAT                                    EAT,87.2647,67.097916,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1027.0999999999767
sub-111,10,2,TRUE,right,avoid,neg,fungus7_crop.jpg,1,1,TRUE,9,1,90.39644,111,DON'T EAT                                    EAT,89.28314,67.097916,55.54481,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1113.300000000003
sub-111,11,1,TRUE,right,avoid,pos,meat1_crop.jpg,1,2,TRUE,10,1,108.40516,111,DON'T EAT                                    EAT,106.7977,102.777626,55.54481,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1607.4599999999773
sub-111,12,1,FALSE,right,approach,neg,insect15_crop.jpg,1,2,TRUE,11,2,109.69251,111,DON'T EAT                                    EAT,108.81592,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,876.589999999982
sub-111,13,1,FALSE,right,approach,neg,insect40_crop.jpg,1,2,TRUE,12,2,111.6602,111,DON'T EAT                                    EAT,110.83424,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,825.9600000000064
sub-111,14,1,FALSE,right,approach,neg,insect22_crop.jpg,1,2,TRUE,13,2,113.64029,111,DON'T EAT                                    EAT,112.85259,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,787.6999999999825
sub-111,15,1,FALSE,right,approach,neg,insect39_crop.jpg,1,2,TRUE,14,2,115.75906,111,DON'T EAT                                    EAT,114.87091,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,888.1500000000233
sub-111,16,1,TRUE,right,avoid,neg,fungus37_crop.jpg,1,2,TRUE,15,1,117.95087,111,DON'T EAT                                    EAT,116.889275,102.777626,55.54481,left,1,left,left,not_eat,not_eat,approach,neg,approach-neg,1,1,1061.5950000000012
sub-111,17,1,FALSE,right,approach,neg,insect12_crop.jpg,1,2,TRUE,16,2,119.76331,111,DON'T EAT                                    EAT,118.90773,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,855.5800000000017
sub-111,18,1,FALSE,right,approach,neg,insect34_crop.jpg,1,2,TRUE,17,2,122.073555,111,DON'T EAT                                    EAT,120.92545,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1148.104999999996
sub-111,19,1,FALSE,right,approach,neg,insect29_crop.jpg,1,2,TRUE,18,2,124.07853,111,DON'T EAT                                    EAT,122.94429,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1134.2400000000052
sub-111,20,1,FALSE,right,approach,neg,insect35_crop.jpg,1,2,TRUE,19,2,126.11629,111,DON'T EAT                                    EAT,124.96273,102.777626,55.54481,left,2,right,right,eat,eat,approach,neg,approach-neg,1,1,1153.5600000000122
sub-111,21,1,FALSE,right,avoid,neg,fungus14_crop.jpg,1,3,TRUE,20,1,144.83022,111,DON'T EAT                                    EAT,143.64485,139.62483,55.54481,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1185.3700000000244
sub-111,22,1,FALSE,right,avoid,neg,fungus40_crop.jpg,1,3,TRUE,21,1,147.10631,111,DON'T EAT                                    EAT,145.66327,139.62483,55.54481,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1443.039999999979
sub-111,23,1,TRUE,right,approach,neg,insect2_crop.jpg,1,3,TRUE,22,2,148.69972,111,DON'T EAT                                    EAT,147.68147,139.62483,55.54481,left,2,right,right,eat,eat,avoid,neg,avoid-neg,1,1,1018.25
sub-111,24,1,FALSE,right,avoid,neg,fungus35_crop.jpg,1,3,TRUE,23,1,150.84325,111,DON'T EAT                                    EAT,149.70026,139.62483,55.54481,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1142.9900000000198
sub-111,25,1,FALSE,right,avoid,neg,fungus18_crop.jpg,1,3,TRUE,24,1,152.79901,111,DON'T EAT                                    EAT,151.71822,139.62483,55.54481,left,1,left,left,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1080.7900000000081
