subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-040,1,3,TRUE,left,approach,pos,cake23_crop.jpg,1,1,TRUE,0,1,1886.2181,40,EAT                                    DON'T EAT,1884.9675,1880.9476,1867.5125,right,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,1250.6000000000931
sub-040,2,3,FALSE,left,avoid,pos,meat9_crop.jpg,1,1,TRUE,1,2,1888.577,40,EAT                                    DON'T EAT,1886.9858,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1591.2000000001863
sub-040,3,3,FALSE,left,avoid,pos,meat39_crop.jpg,1,1,TRUE,2,2,1889.9612,40,EAT                                    DON'T EAT,1889.0042,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,956.9999999997672
sub-040,4,3,FALSE,left,avoid,pos,meat21_crop.jpg,1,1,TRUE,3,2,1891.7937,40,EAT                                    DON'T EAT,1891.0255,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,768.1999999999534
sub-040,5,3,FALSE,left,avoid,pos,meat25_crop.jpg,1,1,TRUE,4,2,1894.2838,40,EAT                                    DON'T EAT,1893.0431,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1240.6999999997206
sub-040,6,3,FALSE,left,avoid,pos,meat37_crop.jpg,1,1,TRUE,5,2,1896.0721,40,EAT                                    DON'T EAT,1895.0592,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1012.9000000001397
sub-040,7,3,TRUE,left,approach,neg,insect18_crop.jpg,1,1,TRUE,6,1,1897.8673,40,EAT                                    DON'T EAT,1897.0778,1880.9476,1867.5125,right,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,789.4999999997672
sub-040,8,3,FALSE,left,avoid,pos,meat35_crop.jpg,1,1,TRUE,7,2,1899.9401,40,EAT                                    DON'T EAT,1899.0958,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,844.3000000000466
sub-040,9,3,FALSE,left,avoid,pos,meat30_crop.jpg,1,1,TRUE,8,2,1902.0131,40,EAT                                    DON'T EAT,1901.1141,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,898.9999999997672
sub-040,10,3,FALSE,left,avoid,pos,meat29_crop.jpg,1,1,TRUE,9,2,1903.8125,40,EAT                                    DON'T EAT,1903.1327000000001,1880.9476,1867.5125,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,679.7999999998137
sub-040,11,1,FALSE,right,avoid,neg,fungus10_crop.jpg,1,2,TRUE,10,2,1922.9655,40,EAT                                    DON'T EAT,1921.5646,1917.5613,1867.5125,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1400.9000000001397
sub-040,12,1,FALSE,right,avoid,neg,fungus20_crop.jpg,1,2,TRUE,11,2,1925.1172,40,EAT                                    DON'T EAT,1923.583,1917.5613,1867.5125,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1534.1999999999534
sub-040,13,1,TRUE,right,approach,pos,cake36_crop.jpg,1,2,TRUE,12,1,1927.0763,40,EAT                                    DON'T EAT,1925.6013,1917.5613,1867.5125,right,1,left,left,eat,eat,avoid,neg,avoid-neg,1,1,1475
