TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(2962.7020808000234, 2982.702776899998)
2,index,right,1.0,1.0,(2986.722423600004, 3006.7224370000185)
3,middle,left,1.0,2.0,(3010.7420721000235, 3030.7421292000217)
4,middle,right,1.0,3.0,(3034.7790792000014, 3054.779304800002)
5,ring,left,1.0,4.0,(3058.7986313000147, 3078.7991577000066)
6,ring,right,1.0,5.0,(3082.8185661000025, 3102.8190490000125)
7,pinky,left,1.0,6.0,(3106.83833530001, 3126.8389621000097)
8,pinky,right,1.0,7.0,(3130.8586603000003, 3150.8593253)
