subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-SD,1,0,FALSE,right,avoid,pos,meat27_crop.jpg,1,1,TRUE,0,3,2893.032,777,DON'T EAT                                    EAT,2891.113,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1919
sub-SD,2,0,FALSE,right,avoid,pos,meat22_crop.jpg,1,1,TRUE,1,3,2894.799,777,DON'T EAT                                    EAT,2893.1313,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1667.7000000001863
sub-SD,3,0,FALSE,right,avoid,pos,meat14_crop.jpg,1,1,TRUE,2,3,2896.3674,777,DON'T EAT                                    EAT,2895.15,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1217.3999999999069
sub-SD,4,0,FALSE,right,avoid,pos,meat35_crop.jpg,1,1,TRUE,3,3,2898.0374,777,DON'T EAT                                    EAT,2897.1711,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,866.3000000002794
sub-SD,5,0,FALSE,right,avoid,pos,meat23_crop.jpg,1,1,TRUE,4,3,2900.033,777,DON'T EAT                                    EAT,2899.1885,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,844.5
sub-SD,6,0,FALSE,right,avoid,pos,meat34_crop.jpg,1,1,TRUE,5,3,2902.8176,777,DON'T EAT                                    EAT,2901.2048,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1612.7999999998137
sub-SD,7,0,FALSE,right,avoid,pos,meat36_crop.jpg,1,1,TRUE,6,3,2904.4082,777,DON'T EAT                                    EAT,2903.2231,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1185.0999999996275
sub-SD,8,0,FALSE,right,avoid,pos,meat6_crop.jpg,1,1,TRUE,7,3,2906.4153,777,DON'T EAT                                    EAT,2905.2415,2887.093,2875.9248,left,3,left,left,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1173.8000000002794
sub-SD,9,0,TRUE,right,approach,pos,cake35_crop.jpg,1,1,TRUE,8,1,2908.346,777,DON'T EAT                                    EAT,2907.2598,2887.093,2875.9248,left,1,right,right,eat,eat,avoid,pos,avoid-pos,1,1,1086.2000000001863
sub-SD,10,0,TRUE,right,approach,neg,insect28_crop.jpg,1,1,TRUE,9,1,2910.6816,777,DON'T EAT                                    EAT,2909.278,2887.093,2875.9248,left,1,right,right,eat,eat,avoid,pos,avoid-pos,1,1,1403.6000000000931
