TrialNumber,run_number,val,n_block,mot,stim_name,num_block,catch,hand,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
20,1.0,pos,0,avoid,meat1_crop.jpg,2.0,False,right,1.0,19.0,1,2323.9,1.0,2.0,DON'T EAT                                    EAT,2322.1,2299.94,2249.4
21,1.0,pos,3,avoid,meat26_crop.jpg,3.0,False,left,1.0,20.0,3,2342.0,1.0,3.0,DON'T EAT                                    EAT,2340.2,2336.19,2249.4
22,1.0,pos,3,avoid,meat1_crop.jpg,3.0,False,left,1.0,21.0,3,2344.01,1.0,3.0,DON'T EAT                                    EAT,2342.22,2336.19,2249.4
23,1.0,pos,3,avoid,meat20_crop.jpg,3.0,False,left,1.0,22.0,3,2346.03,1.0,3.0,DON'T EAT                                    EAT,2344.24,2336.19,2249.4
24,1.0,pos,3,avoid,meat14_crop.jpg,3.0,False,left,1.0,23.0,3,2348.05,1.0,3.0,DON'T EAT                                    EAT,2346.25,2336.19,2249.4
25,1.0,pos,3,avoid,meat27_crop.jpg,3.0,False,left,1.0,24.0,3,2350.06,1.0,3.0,DON'T EAT                                    EAT,2348.27,2336.19,2249.4
26,1.0,pos,3,avoid,meat31_crop.jpg,3.0,False,left,1.0,25.0,3,2352.08,1.0,3.0,DON'T EAT                                    EAT,2350.29,2336.19,2249.4
27,1.0,pos,3,approach,cake38_crop.jpg,3.0,True,left,1.0,26.0,1,2354.1,1.0,3.0,DON'T EAT                                    EAT,2352.3,2336.19,2249.4
28,1.0,neg,3,approach,insect34_crop.jpg,3.0,True,left,1.0,27.0,1,2356.11,1.0,3.0,DON'T EAT                                    EAT,2354.32,2336.19,2249.4
29,1.0,pos,3,avoid,meat13_crop.jpg,3.0,False,left,1.0,28.0,3,2358.13,1.0,3.0,DON'T EAT                                    EAT,2356.34,2336.19,2249.4
30,1.0,pos,3,avoid,meat39_crop.jpg,3.0,False,left,1.0,29.0,3,2360.14,1.0,3.0,DON'T EAT                                    EAT,2358.35,2336.19,2249.4
31,1.0,pos,2,avoid,meat38_crop.jpg,4.0,True,right,1.0,30.0,3,2377.43,1.0,4.0,DON'T EAT                                    EAT,2375.63,2371.62,2249.4
32,1.0,neg,2,approach,insect27_crop.jpg,4.0,False,right,1.0,31.0,1,2379.44,1.0,4.0,DON'T EAT                                    EAT,2377.65,2371.62,2249.4
33,1.0,neg,2,approach,insect33_crop.jpg,4.0,False,right,1.0,32.0,1,2381.46,1.0,4.0,DON'T EAT                                    EAT,2379.67,2371.62,2249.4
34,1.0,neg,2,approach,insect4_crop.jpg,4.0,False,right,1.0,33.0,1,2383.48,1.0,4.0,DON'T EAT                                    EAT,2381.68,2371.62,2249.4
35,1.0,neg,2,approach,insect29_crop.jpg,4.0,False,right,1.0,34.0,1,2385.49,1.0,4.0,DON'T EAT                                    EAT,2383.7,2371.62,2249.4
36,1.0,neg,2,approach,insect2_crop.jpg,4.0,False,right,1.0,35.0,1,2387.51,1.0,4.0,DON'T EAT                                    EAT,2385.72,2371.62,2249.4
37,1.0,neg,2,approach,insect32_crop.jpg,4.0,False,right,1.0,36.0,1,2389.53,1.0,4.0,DON'T EAT                                    EAT,2387.73,2371.62,2249.4
38,1.0,neg,2,avoid,fungus7_crop.jpg,4.0,True,right,1.0,37.0,3,2391.54,1.0,4.0,DON'T EAT                                    EAT,2389.75,2371.62,2249.4
39,1.0,neg,2,approach,insect13_crop.jpg,4.0,False,right,1.0,38.0,1,2393.56,1.0,4.0,DON'T EAT                                    EAT,2391.77,2371.62,2249.4
40,1.0,neg,2,approach,insect20_crop.jpg,4.0,False,right,1.0,39.0,1,2395.58,1.0,4.0,DON'T EAT                                    EAT,2393.78,2371.62,2249.4
41,1.0,neg,0,approach,insect11_crop.jpg,5.0,False,right,1.0,40.0,1,2411.93,1.0,5.0,DON'T EAT                                    EAT,2410.13,2406.12,2249.4
42,1.0,neg,0,approach,insect34_crop.jpg,5.0,False,right,1.0,41.0,1,2413.94,1.0,5.0,DON'T EAT                                    EAT,2412.15,2406.12,2249.4
43,1.0,neg,0,approach,insect17_crop.jpg,5.0,False,right,1.0,42.0,1,2415.96,1.0,5.0,DON'T EAT                                    EAT,2414.17,2406.12,2249.4
44,1.0,pos,0,avoid,meat36_crop.jpg,5.0,True,right,1.0,43.0,1,2417.98,1.0,5.0,DON'T EAT                                    EAT,2416.18,2406.12,2249.4
45,1.0,neg,0,avoid,fungus10_crop.jpg,5.0,True,right,1.0,44.0,3,2419.99,1.0,5.0,DON'T EAT                                    EAT,2418.2,2406.12,2249.4
46,1.0,neg,0,approach,insect23_crop.jpg,5.0,False,right,1.0,45.0,1,2422.01,1.0,5.0,DON'T EAT                                    EAT,2420.21,2406.12,2249.4
47,1.0,neg,0,approach,insect40_crop.jpg,5.0,False,right,1.0,46.0,1,2424.03,1.0,5.0,DON'T EAT                                    EAT,2422.23,2406.12,2249.4
48,1.0,neg,0,approach,insect28_crop.jpg,5.0,False,right,1.0,47.0,1,2426.04,1.0,5.0,DON'T EAT                                    EAT,2424.25,2406.12,2249.4
49,1.0,neg,0,approach,insect31_crop.jpg,5.0,False,right,1.0,48.0,1,2428.06,1.0,5.0,DON'T EAT                                    EAT,2426.26,2406.12,2249.4
50,1.0,neg,0,approach,insect25_crop.jpg,5.0,False,right,1.0,49.0,1,2430.08,1.0,5.0,DON'T EAT                                    EAT,2428.28,2406.12,2249.4
51,1.0,neg,1,avoid,fungus34_crop.jpg,6.0,False,right,1.0,50.0,3,2448.41,1.0,6.0,DON'T EAT                                    EAT,2446.61,2442.6,2249.4
52,1.0,neg,1,avoid,fungus9_crop.jpg,6.0,False,right,1.0,51.0,3,2450.43,1.0,6.0,DON'T EAT                                    EAT,2448.63,2442.6,2249.4
53,1.0,neg,1,avoid,fungus19_crop.jpg,6.0,False,right,1.0,52.0,3,2452.44,1.0,6.0,DON'T EAT                                    EAT,2450.65,2442.6,2249.4
54,1.0,neg,1,avoid,fungus35_crop.jpg,6.0,False,right,1.0,53.0,3,2454.46,1.0,6.0,DON'T EAT                                    EAT,2452.66,2442.6,2249.4
55,1.0,neg,1,avoid,fungus23_crop.jpg,6.0,False,right,1.0,54.0,3,2456.48,1.0,6.0,DON'T EAT                                    EAT,2454.68,2442.6,2249.4
56,1.0,neg,1,approach,insect16_crop.jpg,6.0,True,right,1.0,55.0,1,2458.49,1.0,6.0,DON'T EAT                                    EAT,2456.7,2442.6,2249.4
57,1.0,neg,1,avoid,fungus6_crop.jpg,6.0,False,right,1.0,56.0,3,2460.51,1.0,6.0,DON'T EAT                                    EAT,2458.71,2442.6,2249.4
58,1.0,pos,1,approach,cake26_crop.jpg,6.0,True,right,1.0,57.0,1,2462.53,1.0,6.0,DON'T EAT                                    EAT,2460.73,2442.6,2249.4
59,1.0,neg,1,avoid,fungus22_crop.jpg,6.0,False,right,1.0,58.0,3,2464.54,1.0,6.0,DON'T EAT                                    EAT,2462.75,2442.6,2249.4
60,1.0,neg,1,avoid,fungus2_crop.jpg,6.0,False,right,1.0,59.0,3,2466.56,1.0,6.0,DON'T EAT                                    EAT,2464.76,2442.6,2249.4
61,1.0,neg,3,avoid,fungus24_crop.jpg,7.0,False,left,1.0,60.0,3,2483.81,1.0,7.0,DON'T EAT                                    EAT,2482.01,2477.99,2249.4
62,1.0,neg,3,avoid,fungus37_crop.jpg,7.0,False,left,1.0,61.0,3,2485.82,1.0,7.0,DON'T EAT                                    EAT,2484.03,2477.99,2249.4
63,1.0,pos,3,approach,cake19_crop.jpg,7.0,True,left,1.0,62.0,1,2487.84,1.0,7.0,DON'T EAT                                    EAT,2486.04,2477.99,2249.4
64,1.0,neg,3,avoid,fungus18_crop.jpg,7.0,False,left,1.0,63.0,3,2489.86,1.0,7.0,DON'T EAT                                    EAT,2488.06,2477.99,2249.4
65,1.0,neg,3,avoid,fungus10_crop.jpg,7.0,False,left,1.0,64.0,3,2491.87,1.0,7.0,DON'T EAT                                    EAT,2490.08,2477.99,2249.4
66,1.0,neg,3,avoid,fungus1_crop.jpg,7.0,False,left,1.0,65.0,3,2493.89,1.0,7.0,DON'T EAT                                    EAT,2492.09,2477.99,2249.4
67,1.0,neg,3,approach,insect29_crop.jpg,7.0,True,left,1.0,66.0,1,2495.91,1.0,7.0,DON'T EAT                                    EAT,2494.11,2477.99,2249.4
68,1.0,neg,3,avoid,fungus5_crop.jpg,7.0,False,left,1.0,67.0,3,2497.92,1.0,7.0,DON'T EAT                                    EAT,2496.13,2477.99,2249.4
69,1.0,neg,3,avoid,fungus19_crop.jpg,7.0,False,left,1.0,68.0,3,2499.94,1.0,7.0,DON'T EAT                                    EAT,2498.14,2477.99,2249.4
70,1.0,neg,3,avoid,fungus13_crop.jpg,7.0,False,left,1.0,69.0,3,2501.96,1.0,7.0,DON'T EAT                                    EAT,2500.16,2477.99,2249.4
71,1.0,neg,2,avoid,fungus28_crop.jpg,8.0,False,left,1.0,70.0,3,2519.22,1.0,8.0,DON'T EAT                                    EAT,2517.43,2513.41,2249.4
72,1.0,neg,2,avoid,fungus22_crop.jpg,8.0,False,left,1.0,71.0,3,2521.24,1.0,8.0,DON'T EAT                                    EAT,2519.44,2513.41,2249.4
73,1.0,neg,2,avoid,fungus12_crop.jpg,8.0,False,left,1.0,72.0,3,2523.26,1.0,8.0,DON'T EAT                                    EAT,2521.46,2513.41,2249.4
74,1.0,neg,2,avoid,fungus40_crop.jpg,8.0,False,left,1.0,73.0,3,2525.27,1.0,8.0,DON'T EAT                                    EAT,2523.47,2513.41,2249.4
75,1.0,neg,2,avoid,fungus21_crop.jpg,8.0,False,left,1.0,74.0,3,2527.29,1.0,8.0,DON'T EAT                                    EAT,2525.49,2513.41,2249.4
76,1.0,neg,2,avoid,fungus20_crop.jpg,8.0,False,left,1.0,75.0,3,2529.31,1.0,8.0,DON'T EAT                                    EAT,2527.51,2513.41,2249.4
77,1.0,neg,2,approach,insect15_crop.jpg,8.0,True,left,1.0,76.0,1,2531.32,1.0,8.0,DON'T EAT                                    EAT,2529.52,2513.41,2249.4
78,1.0,pos,2,approach,cake21_crop.jpg,8.0,True,left,1.0,77.0,3,2533.34,1.0,8.0,DON'T EAT                                    EAT,2531.54,2513.41,2249.4
79,1.0,neg,2,avoid,fungus30_crop.jpg,8.0,False,left,1.0,78.0,3,2535.36,1.0,8.0,DON'T EAT                                    EAT,2533.56,2513.41,2249.4
80,1.0,neg,2,avoid,fungus17_crop.jpg,8.0,False,left,1.0,79.0,3,2537.37,1.0,8.0,DON'T EAT                                    EAT,2535.57,2513.41,2249.4
81,2.0,neg,2,avoid,fungus30_crop.jpg,9.0,False,right,1.0,80.0,3,2629.46,1.0,9.0,DON'T EAT                                    EAT,2627.67,2623.65,2612.87
82,2.0,neg,2,avoid,fungus5_crop.jpg,9.0,False,right,1.0,81.0,3,2631.48,1.0,9.0,DON'T EAT                                    EAT,2629.68,2623.65,2612.87
83,2.0,neg,2,avoid,fungus40_crop.jpg,9.0,False,right,1.0,82.0,3,2633.49,1.0,9.0,DON'T EAT                                    EAT,2631.7,2623.65,2612.87
84,2.0,pos,2,approach,cake21_crop.jpg,9.0,True,right,1.0,83.0,1,2635.51,1.0,9.0,DON'T EAT                                    EAT,2633.72,2623.65,2612.87
85,2.0,neg,2,avoid,fungus4_crop.jpg,9.0,False,right,1.0,84.0,3,2637.53,1.0,9.0,DON'T EAT                                    EAT,2635.73,2623.65,2612.87
86,2.0,neg,2,avoid,fungus11_crop.jpg,9.0,False,right,1.0,85.0,3,2639.54,1.0,9.0,DON'T EAT                                    EAT,2637.75,2623.65,2612.87
87,2.0,neg,2,approach,insect3_crop.jpg,9.0,True,right,1.0,86.0,3,2641.56,1.0,9.0,DON'T EAT                                    EAT,2639.77,2623.65,2612.87
88,2.0,neg,2,avoid,fungus17_crop.jpg,9.0,False,right,1.0,87.0,3,2643.58,1.0,9.0,DON'T EAT                                    EAT,2641.78,2623.65,2612.87
89,2.0,neg,2,avoid,fungus29_crop.jpg,9.0,False,right,1.0,88.0,3,2645.59,1.0,9.0,DON'T EAT                                    EAT,2643.8,2623.65,2612.87
90,2.0,neg,2,avoid,fungus14_crop.jpg,9.0,False,right,1.0,89.0,3,2647.61,1.0,9.0,DON'T EAT                                    EAT,2645.82,2623.65,2612.87
91,2.0,neg,2,approach,insect30_crop.jpg,10.0,False,left,1.0,90.0,1,2665.36,1.0,10.0,DON'T EAT                                    EAT,2663.57,2659.55,2612.87
92,2.0,neg,2,approach,insect8_crop.jpg,10.0,False,left,1.0,91.0,1,2667.38,1.0,10.0,DON'T EAT                                    EAT,2665.58,2659.55,2612.87
93,2.0,neg,2,approach,insect18_crop.jpg,10.0,False,left,1.0,92.0,1,2669.39,1.0,10.0,DON'T EAT                                    EAT,2667.6,2659.55,2612.87
94,2.0,neg,2,approach,insect23_crop.jpg,10.0,False,left,1.0,93.0,1,2671.41,1.0,10.0,DON'T EAT                                    EAT,2669.62,2659.55,2612.87
95,2.0,neg,2,avoid,fungus31_crop.jpg,10.0,True,left,1.0,94.0,1,2673.43,1.0,10.0,DON'T EAT                                    EAT,2671.63,2659.55,2612.87
96,2.0,neg,2,approach,insect13_crop.jpg,10.0,False,left,1.0,95.0,1,2675.44,1.0,10.0,DON'T EAT                                    EAT,2673.65,2659.55,2612.87
97,2.0,pos,2,avoid,meat24_crop.jpg,10.0,True,left,1.0,96.0,3,2677.46,1.0,10.0,DON'T EAT                                    EAT,2675.67,2659.55,2612.87
98,2.0,neg,2,approach,insect39_crop.jpg,10.0,False,left,1.0,97.0,1,2679.48,1.0,10.0,DON'T EAT                                    EAT,2677.68,2659.55,2612.87
99,2.0,neg,2,approach,insect36_crop.jpg,10.0,False,left,1.0,98.0,1,2681.49,1.0,10.0,DON'T EAT                                    EAT,2679.7,2659.55,2612.87
100,2.0,neg,2,approach,insect9_crop.jpg,10.0,False,left,1.0,99.0,1,2683.51,1.0,10.0,DON'T EAT                                    EAT,2681.72,2659.55,2612.87
101,2.0,neg,1,avoid,fungus26_crop.jpg,11.0,False,left,1.0,100.0,3,2702.61,1.0,11.0,DON'T EAT                                    EAT,2700.81,2696.8,2612.87
102,2.0,neg,1,approach,insect32_crop.jpg,11.0,True,left,1.0,101.0,1,2704.63,1.0,11.0,DON'T EAT                                    EAT,2702.83,2696.8,2612.87
103,2.0,neg,1,avoid,fungus32_crop.jpg,11.0,False,left,1.0,102.0,3,2706.64,1.0,11.0,DON'T EAT                                    EAT,2704.85,2696.8,2612.87
104,2.0,neg,1,avoid,fungus35_crop.jpg,11.0,False,left,1.0,103.0,3,2708.66,1.0,11.0,DON'T EAT                                    EAT,2706.86,2696.8,2612.87
105,2.0,pos,1,approach,cake18_crop.jpg,11.0,True,left,1.0,104.0,1,2710.68,1.0,11.0,DON'T EAT                                    EAT,2708.88,2696.8,2612.87
106,2.0,neg,1,avoid,fungus25_crop.jpg,11.0,False,left,1.0,105.0,1,2712.69,1.0,11.0,DON'T EAT                                    EAT,2710.9,2696.8,2612.87
107,2.0,neg,1,avoid,fungus15_crop.jpg,11.0,False,left,1.0,106.0,3,2714.71,1.0,11.0,DON'T EAT                                    EAT,2712.91,2696.8,2612.87
108,2.0,neg,1,avoid,fungus23_crop.jpg,11.0,False,left,1.0,107.0,3,2716.73,1.0,11.0,DON'T EAT                                    EAT,2714.93,2696.8,2612.87
109,2.0,neg,1,avoid,fungus7_crop.jpg,11.0,False,left,1.0,108.0,3,2718.74,1.0,11.0,DON'T EAT                                    EAT,2716.95,2696.8,2612.87
110,2.0,neg,1,avoid,fungus27_crop.jpg,11.0,False,left,1.0,109.0,3,2720.76,1.0,11.0,DON'T EAT                                    EAT,2718.96,2696.8,2612.87
111,2.0,neg,0,avoid,fungus26_crop.jpg,12.0,False,right,1.0,110.0,3,2737.96,1.0,12.0,DON'T EAT                                    EAT,2736.16,2732.15,2612.87
112,2.0,neg,0,approach,insect19_crop.jpg,12.0,True,right,1.0,111.0,1,2739.97,1.0,12.0,DON'T EAT                                    EAT,2738.18,2732.15,2612.87
113,2.0,neg,0,avoid,fungus8_crop.jpg,12.0,False,right,1.0,112.0,3,2741.99,1.0,12.0,DON'T EAT                                    EAT,2740.19,2732.15,2612.87
114,2.0,neg,0,avoid,fungus20_crop.jpg,12.0,False,right,1.0,113.0,3,2744.01,1.0,12.0,DON'T EAT                                    EAT,2742.21,2732.15,2612.87
115,2.0,pos,0,approach,cake24_crop.jpg,12.0,True,right,1.0,114.0,1,2746.02,1.0,12.0,DON'T EAT                                    EAT,2744.23,2732.15,2612.87
116,2.0,neg,0,avoid,fungus24_crop.jpg,12.0,False,right,1.0,115.0,3,2748.04,1.0,12.0,DON'T EAT                                    EAT,2746.24,2732.15,2612.87
117,2.0,neg,0,avoid,fungus13_crop.jpg,12.0,False,right,1.0,116.0,3,2750.06,1.0,12.0,DON'T EAT                                    EAT,2748.26,2732.15,2612.87
118,2.0,neg,0,avoid,fungus36_crop.jpg,12.0,False,right,1.0,117.0,3,2752.07,1.0,12.0,DON'T EAT                                    EAT,2750.28,2732.15,2612.87
119,2.0,neg,0,avoid,fungus31_crop.jpg,12.0,False,right,1.0,118.0,3,2754.09,1.0,12.0,DON'T EAT                                    EAT,2752.29,2732.15,2612.87
120,2.0,neg,0,avoid,fungus28_crop.jpg,12.0,False,right,1.0,119.0,3,2756.11,1.0,12.0,DON'T EAT                                    EAT,2754.31,2732.15,2612.87
121,2.0,pos,3,avoid,meat18_crop.jpg,13.0,False,right,1.0,120.0,3,2774.32,1.0,13.0,DON'T EAT                                    EAT,2772.53,2768.51,2612.87
122,2.0,pos,3,avoid,meat29_crop.jpg,13.0,False,right,1.0,121.0,3,2776.34,1.0,13.0,DON'T EAT                                    EAT,2774.54,2768.51,2612.87
123,2.0,pos,3,avoid,meat5_crop.jpg,13.0,False,right,1.0,122.0,3,2778.36,1.0,13.0,DON'T EAT                                    EAT,2776.56,2768.51,2612.87
124,2.0,pos,3,approach,cake30_crop.jpg,13.0,True,right,1.0,123.0,1,2780.37,1.0,13.0,DON'T EAT                                    EAT,2778.58,2768.51,2612.87
125,2.0,pos,3,avoid,meat4_crop.jpg,13.0,False,right,1.0,124.0,1,2782.39,1.0,13.0,DON'T EAT                                    EAT,2780.59,2768.51,2612.87
126,2.0,neg,3,approach,insect39_crop.jpg,13.0,True,right,1.0,125.0,1,2784.41,1.0,13.0,DON'T EAT                                    EAT,2782.61,2768.51,2612.87
127,2.0,pos,3,avoid,meat12_crop.jpg,13.0,False,right,1.0,126.0,3,2786.42,1.0,13.0,DON'T EAT                                    EAT,2784.63,2768.51,2612.87
128,2.0,pos,3,avoid,meat7_crop.jpg,13.0,False,right,1.0,127.0,3,2788.44,1.0,13.0,DON'T EAT                                    EAT,2786.64,2768.51,2612.87
129,2.0,pos,3,avoid,meat40_crop.jpg,13.0,False,right,1.0,128.0,3,2790.46,1.0,13.0,DON'T EAT                                    EAT,2788.66,2768.51,2612.87
130,2.0,pos,3,avoid,meat10_crop.jpg,13.0,False,right,1.0,129.0,3,2792.47,1.0,13.0,DON'T EAT                                    EAT,2790.67,2768.51,2612.87
131,2.0,pos,2,avoid,meat33_crop.jpg,14.0,False,left,1.0,130.0,3,2812.37,1.0,14.0,DON'T EAT                                    EAT,2810.57,2806.56,2612.87
132,2.0,neg,2,approach,insect27_crop.jpg,14.0,True,left,1.0,131.0,1,2814.39,1.0,14.0,DON'T EAT                                    EAT,2812.59,2806.56,2612.87
133,2.0,pos,2,avoid,meat18_crop.jpg,14.0,False,left,1.0,132.0,3,2816.41,1.0,14.0,DON'T EAT                                    EAT,2814.61,2806.56,2612.87
134,2.0,pos,2,avoid,meat4_crop.jpg,14.0,False,left,1.0,133.0,1,2818.42,1.0,14.0,DON'T EAT                                    EAT,2816.62,2806.56,2612.87
135,2.0,pos,2,avoid,meat11_crop.jpg,14.0,False,left,1.0,134.0,3,2820.44,1.0,14.0,DON'T EAT                                    EAT,2818.64,2806.56,2612.87
136,2.0,pos,2,avoid,meat21_crop.jpg,14.0,False,left,1.0,135.0,3,2822.46,1.0,14.0,DON'T EAT                                    EAT,2820.66,2806.56,2612.87
137,2.0,pos,2,approach,cake34_crop.jpg,14.0,True,left,1.0,136.0,1,2824.47,1.0,14.0,DON'T EAT                                    EAT,2822.67,2806.56,2612.87
138,2.0,pos,2,avoid,meat34_crop.jpg,14.0,False,left,1.0,137.0,1,2826.49,1.0,14.0,DON'T EAT                                    EAT,2824.69,2806.56,2612.87
139,2.0,pos,2,avoid,meat3_crop.jpg,14.0,False,left,1.0,138.0,3,2828.51,1.0,14.0,DON'T EAT                                    EAT,2826.71,2806.56,2612.87
140,2.0,pos,2,avoid,meat2_crop.jpg,14.0,False,left,1.0,139.0,3,2830.52,1.0,14.0,DON'T EAT                                    EAT,2828.72,2806.56,2612.87
141,2.0,pos,1,approach,cake35_crop.jpg,15.0,False,left,1.0,140.0,1,2848.47,1.0,15.0,DON'T EAT                                    EAT,2846.67,2842.66,2612.87
142,2.0,neg,1,avoid,fungus4_crop.jpg,15.0,True,left,1.0,141.0,3,2850.49,1.0,15.0,DON'T EAT                                    EAT,2848.69,2842.66,2612.87
143,2.0,pos,1,approach,cake10_crop.jpg,15.0,False,left,1.0,142.0,1,2852.49,1.0,15.0,DON'T EAT                                    EAT,2850.7,2842.66,2612.87
144,2.0,pos,1,approach,cake29_crop.jpg,15.0,False,left,1.0,143.0,1,2854.51,1.0,15.0,DON'T EAT                                    EAT,2852.72,2842.66,2612.87
145,2.0,pos,1,approach,cake1_crop.jpg,15.0,False,left,1.0,144.0,1,2856.53,1.0,15.0,DON'T EAT                                    EAT,2854.74,2842.66,2612.87
146,2.0,pos,1,approach,cake17_crop.jpg,15.0,False,left,1.0,145.0,1,2858.54,1.0,15.0,DON'T EAT                                    EAT,2856.75,2842.66,2612.87
147,2.0,pos,1,approach,cake23_crop.jpg,15.0,False,left,1.0,146.0,1,2860.56,1.0,15.0,DON'T EAT                                    EAT,2858.77,2842.66,2612.87
