TrialNumber,run_number,val,n_block,mot,stim_name,num_block,catch,hand,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
160,2.0,pos,1,avoid,meat8_crop.jpg,16.0,False,left,1.0,159.0,3,2901.93,1.0,16.0,DON'T EAT                                    EAT,2900.13,2877.97,2612.87
161,3.0,pos,2,approach,cake11_crop.jpg,17.0,True,right,1.0,160.0,1,3007.76,1.0,17.0,DON'T EAT                                    EAT,3005.96,3001.95,2991.79
162,3.0,pos,2,avoid,meat15_crop.jpg,17.0,False,right,1.0,161.0,3,3009.77,1.0,17.0,DON'T EAT                                    EAT,3007.98,3001.95,2991.79
163,3.0,pos,2,avoid,meat33_crop.jpg,17.0,False,right,1.0,162.0,3,3011.79,1.0,17.0,DON'T EAT                                    EAT,3009.99,3001.95,2991.79
164,3.0,pos,2,avoid,meat21_crop.jpg,17.0,False,right,1.0,163.0,3,3013.81,1.0,17.0,DON'T EAT                                    EAT,3012.01,3001.95,2991.79
165,3.0,pos,2,avoid,meat30_crop.jpg,17.0,False,right,1.0,164.0,3,3015.82,1.0,17.0,DON'T EAT                                    EAT,3014.03,3001.95,2991.79
166,3.0,pos,2,avoid,meat24_crop.jpg,17.0,False,right,1.0,165.0,3,3017.84,1.0,17.0,DON'T EAT                                    EAT,3016.04,3001.95,2991.79
167,3.0,pos,2,avoid,meat9_crop.jpg,17.0,False,right,1.0,166.0,3,3019.86,1.0,17.0,DON'T EAT                                    EAT,3018.06,3001.95,2991.79
168,3.0,neg,2,approach,insect35_crop.jpg,17.0,True,right,1.0,167.0,1,3021.87,1.0,17.0,DON'T EAT                                    EAT,3020.08,3001.95,2991.79
169,3.0,pos,2,avoid,meat31_crop.jpg,17.0,False,right,1.0,168.0,3,3023.89,1.0,17.0,DON'T EAT                                    EAT,3022.09,3001.95,2991.79
170,3.0,pos,2,avoid,meat32_crop.jpg,17.0,False,right,1.0,169.0,3,3025.91,1.0,17.0,DON'T EAT                                    EAT,3024.11,3001.95,2991.79
171,3.0,pos,3,approach,cake13_crop.jpg,18.0,False,right,1.0,170.0,1,3043.07,1.0,18.0,DON'T EAT                                    EAT,3041.28,3037.26,2991.79
172,3.0,pos,3,avoid,meat28_crop.jpg,18.0,True,right,1.0,171.0,3,3045.09,1.0,18.0,DON'T EAT                                    EAT,3043.29,3037.26,2991.79
173,3.0,pos,3,approach,cake23_crop.jpg,18.0,False,right,1.0,172.0,1,3047.11,1.0,18.0,DON'T EAT                                    EAT,3045.31,3037.26,2991.79
174,3.0,pos,3,approach,cake12_crop.jpg,18.0,False,right,1.0,173.0,1,3049.12,1.0,18.0,DON'T EAT                                    EAT,3047.33,3037.26,2991.79
175,3.0,pos,3,approach,cake3_crop.jpg,18.0,False,right,1.0,174.0,1,3051.14,1.0,18.0,DON'T EAT                                    EAT,3049.34,3037.26,2991.79
176,3.0,pos,3,approach,cake16_crop.jpg,18.0,False,right,1.0,175.0,1,3053.16,1.0,18.0,DON'T EAT                                    EAT,3051.36,3037.26,2991.79
177,3.0,pos,3,approach,cake6_crop.jpg,18.0,False,right,1.0,176.0,1,3055.17,1.0,18.0,DON'T EAT                                    EAT,3053.38,3037.26,2991.79
178,3.0,neg,3,avoid,fungus18_crop.jpg,18.0,True,right,1.0,177.0,3,3057.19,1.0,18.0,DON'T EAT                                    EAT,3055.39,3037.26,2991.79
179,3.0,pos,3,approach,cake17_crop.jpg,18.0,False,right,1.0,178.0,1,3059.21,1.0,18.0,DON'T EAT                                    EAT,3057.41,3037.26,2991.79
180,3.0,pos,3,approach,cake37_crop.jpg,18.0,False,right,1.0,179.0,1,3061.22,1.0,18.0,DON'T EAT                                    EAT,3059.42,3037.26,2991.79
181,3.0,pos,0,avoid,meat19_crop.jpg,19.0,False,left,1.0,180.0,3,3078.12,1.0,19.0,DON'T EAT                                    EAT,3076.32,3072.31,2991.79
182,3.0,pos,0,avoid,meat32_crop.jpg,19.0,False,left,1.0,181.0,3,3080.14,1.0,19.0,DON'T EAT                                    EAT,3078.34,3072.31,2991.79
183,3.0,pos,0,approach,cake30_crop.jpg,19.0,True,left,1.0,182.0,1,3082.16,1.0,19.0,DON'T EAT                                    EAT,3080.36,3072.31,2991.79
184,3.0,pos,0,avoid,meat38_crop.jpg,19.0,False,left,1.0,183.0,3,3084.17,1.0,19.0,DON'T EAT                                    EAT,3082.37,3072.31,2991.79
185,3.0,pos,0,avoid,meat40_crop.jpg,19.0,False,left,1.0,184.0,3,3086.19,1.0,19.0,DON'T EAT                                    EAT,3084.39,3072.31,2991.79
186,3.0,neg,0,approach,insect19_crop.jpg,19.0,True,left,1.0,185.0,1,3088.21,1.0,19.0,DON'T EAT                                    EAT,3086.41,3072.31,2991.79
187,3.0,pos,0,avoid,meat5_crop.jpg,19.0,False,left,1.0,186.0,3,3090.22,1.0,19.0,DON'T EAT                                    EAT,3088.42,3072.31,2991.79
188,3.0,pos,0,avoid,meat7_crop.jpg,19.0,False,left,1.0,187.0,3,3092.24,1.0,19.0,DON'T EAT                                    EAT,3090.44,3072.31,2991.79
189,3.0,pos,0,avoid,meat29_crop.jpg,19.0,False,left,1.0,188.0,3,3094.26,1.0,19.0,DON'T EAT                                    EAT,3092.46,3072.31,2991.79
190,3.0,pos,0,avoid,meat28_crop.jpg,19.0,False,left,1.0,189.0,3,3096.27,1.0,19.0,DON'T EAT                                    EAT,3094.47,3072.31,2991.79
191,3.0,pos,3,approach,cake37_crop.jpg,20.0,False,left,1.0,190.0,1,3114.47,1.0,20.0,DON'T EAT                                    EAT,3112.67,3108.66,2991.79
192,3.0,pos,3,approach,cake39_crop.jpg,20.0,False,left,1.0,191.0,1,3116.49,1.0,20.0,DON'T EAT                                    EAT,3114.69,3108.66,2991.79
193,3.0,neg,3,avoid,fungus39_crop.jpg,20.0,True,left,1.0,192.0,3,3118.5,1.0,20.0,DON'T EAT                                    EAT,3116.7,3108.66,2991.79
194,3.0,pos,3,approach,cake7_crop.jpg,20.0,False,left,1.0,193.0,1,3120.52,1.0,20.0,DON'T EAT                                    EAT,3118.72,3108.66,2991.79
195,3.0,pos,3,approach,cake15_crop.jpg,20.0,False,left,1.0,194.0,1,3122.53,1.0,20.0,DON'T EAT                                    EAT,3120.74,3108.66,2991.79
196,3.0,pos,3,approach,cake27_crop.jpg,20.0,False,left,1.0,195.0,1,3124.54,1.0,20.0,DON'T EAT                                    EAT,3122.75,3108.66,2991.79
197,3.0,pos,3,avoid,meat23_crop.jpg,20.0,True,left,1.0,196.0,3,3126.56,1.0,20.0,DON'T EAT                                    EAT,3124.77,3108.66,2991.79
198,3.0,pos,3,approach,cake4_crop.jpg,20.0,False,left,1.0,197.0,1,3128.58,1.0,20.0,DON'T EAT                                    EAT,3126.79,3108.66,2991.79
199,3.0,pos,3,approach,cake14_crop.jpg,20.0,False,left,1.0,198.0,1,3130.59,1.0,20.0,DON'T EAT                                    EAT,3128.8,3108.66,2991.79
200,3.0,pos,3,approach,cake12_crop.jpg,20.0,False,left,1.0,199.0,1,3132.61,1.0,20.0,DON'T EAT                                    EAT,3130.82,3108.66,2991.79
201,3.0,neg,1,approach,insect21_crop.jpg,21.0,False,right,1.0,200.0,1,3150.36,1.0,21.0,DON'T EAT                                    EAT,3148.57,3144.55,2991.79
202,3.0,neg,1,approach,insect1_crop.jpg,21.0,False,right,1.0,201.0,1,3152.41,1.0,21.0,DON'T EAT                                    EAT,3150.62,3144.55,2991.79
203,3.0,neg,1,approach,insect26_crop.jpg,21.0,False,right,1.0,202.0,1,3154.43,1.0,21.0,DON'T EAT                                    EAT,3152.64,3144.55,2991.79
204,3.0,neg,1,approach,insect9_crop.jpg,21.0,False,right,1.0,203.0,1,3156.44,1.0,21.0,DON'T EAT                                    EAT,3154.65,3144.55,2991.79
205,3.0,neg,1,approach,insect8_crop.jpg,21.0,False,right,1.0,204.0,1,3158.46,1.0,21.0,DON'T EAT                                    EAT,3156.67,3144.55,2991.79
206,3.0,pos,1,avoid,meat14_crop.jpg,21.0,True,right,1.0,205.0,3,3160.48,1.0,21.0,DON'T EAT                                    EAT,3158.69,3144.55,2991.79
207,3.0,neg,1,approach,insect22_crop.jpg,21.0,False,right,1.0,206.0,1,3162.49,1.0,21.0,DON'T EAT                                    EAT,3160.7,3144.55,2991.79
208,3.0,neg,1,approach,insect36_crop.jpg,21.0,False,right,1.0,207.0,1,3164.51,1.0,21.0,DON'T EAT                                    EAT,3162.72,3144.55,2991.79
209,3.0,neg,1,avoid,fungus12_crop.jpg,21.0,True,right,1.0,208.0,3,3166.53,1.0,21.0,DON'T EAT                                    EAT,3164.73,3144.55,2991.79
210,3.0,neg,1,approach,insect10_crop.jpg,21.0,False,right,1.0,209.0,1,3168.54,1.0,21.0,DON'T EAT                                    EAT,3166.75,3144.55,2991.79
211,3.0,pos,1,approach,cake33_crop.jpg,22.0,True,right,1.0,210.0,1,3188.06,1.0,22.0,DON'T EAT                                    EAT,3186.27,3182.25,2991.79
212,3.0,pos,1,avoid,meat19_crop.jpg,22.0,False,right,1.0,211.0,3,3190.08,1.0,22.0,DON'T EAT                                    EAT,3188.28,3182.25,2991.79
213,3.0,pos,1,avoid,meat25_crop.jpg,22.0,False,right,1.0,212.0,3,3192.09,1.0,22.0,DON'T EAT                                    EAT,3190.3,3182.25,2991.79
214,3.0,pos,1,avoid,meat3_crop.jpg,22.0,False,right,1.0,213.0,3,3194.11,1.0,22.0,DON'T EAT                                    EAT,3192.32,3182.25,2991.79
215,3.0,pos,1,avoid,meat23_crop.jpg,22.0,False,right,1.0,214.0,3,3196.13,1.0,22.0,DON'T EAT                                    EAT,3194.33,3182.25,2991.79
216,3.0,pos,1,avoid,meat11_crop.jpg,22.0,False,right,1.0,215.0,3,3198.14,1.0,22.0,DON'T EAT                                    EAT,3196.35,3182.25,2991.79
217,3.0,pos,1,avoid,meat17_crop.jpg,22.0,False,right,1.0,216.0,3,3200.16,1.0,22.0,DON'T EAT                                    EAT,3198.37,3182.25,2991.79
218,3.0,pos,1,avoid,meat26_crop.jpg,22.0,False,right,1.0,217.0,3,3202.18,1.0,22.0,DON'T EAT                                    EAT,3200.38,3182.25,2991.79
219,3.0,pos,1,avoid,meat34_crop.jpg,22.0,False,right,1.0,218.0,3,3204.19,1.0,22.0,DON'T EAT                                    EAT,3202.4,3182.25,2991.79
220,3.0,neg,1,approach,insect7_crop.jpg,22.0,True,right,1.0,219.0,1,3206.21,1.0,22.0,DON'T EAT                                    EAT,3204.42,3182.25,2991.79
221,3.0,neg,1,approach,insect2_crop.jpg,23.0,False,left,1.0,220.0,1,3225.63,1.0,23.0,DON'T EAT                                    EAT,3223.83,3219.81,2991.79
222,3.0,neg,1,approach,insect33_crop.jpg,23.0,False,left,1.0,221.0,1,3227.64,1.0,23.0,DON'T EAT                                    EAT,3225.85,3219.81,2991.79
223,3.0,neg,1,avoid,fungus34_crop.jpg,23.0,True,left,1.0,222.0,3,3229.66,1.0,23.0,DON'T EAT                                    EAT,3227.86,3219.81,2991.79
224,3.0,neg,1,approach,insect31_crop.jpg,23.0,False,left,1.0,223.0,1,3231.67,1.0,23.0,DON'T EAT                                    EAT,3229.88,3219.81,2991.79
225,3.0,neg,1,approach,insect28_crop.jpg,23.0,False,left,1.0,224.0,1,3233.69,1.0,23.0,DON'T EAT                                    EAT,3231.9,3219.81,2991.79
226,3.0,neg,1,approach,insect14_crop.jpg,23.0,False,left,1.0,225.0,1,3235.71,1.0,23.0,DON'T EAT                                    EAT,3233.91,3219.81,2991.79
227,3.0,neg,1,approach,insect10_crop.jpg,23.0,False,left,1.0,226.0,1,3237.72,1.0,23.0,DON'T EAT                                    EAT,3235.93,3219.81,2991.79
228,3.0,neg,1,approach,insect11_crop.jpg,23.0,False,left,1.0,227.0,1,3239.74,1.0,23.0,DON'T EAT                                    EAT,3237.95,3219.81,2991.79
229,3.0,neg,1,approach,insect35_crop.jpg,23.0,False,left,1.0,228.0,1,3241.76,1.0,23.0,DON'T EAT                                    EAT,3239.96,3219.81,2991.79
230,3.0,pos,1,avoid,meat37_crop.jpg,23.0,True,left,1.0,229.0,3,3243.77,1.0,23.0,DON'T EAT                                    EAT,3241.98,3219.81,2991.79
231,3.0,pos,2,approach,cake31_crop.jpg,24.0,False,right,1.0,230.0,1,3260.74,1.0,24.0,DON'T EAT                                    EAT,3258.95,3254.93,2991.79
232,3.0,pos,2,approach,cake10_crop.jpg,24.0,False,right,1.0,231.0,1,3262.76,1.0,24.0,DON'T EAT                                    EAT,3260.96,3254.93,2991.79
233,3.0,pos,2,approach,cake27_crop.jpg,24.0,False,right,1.0,232.0,1,3264.77,1.0,24.0,DON'T EAT                                    EAT,3262.98,3254.93,2991.79
234,3.0,pos,2,approach,cake18_crop.jpg,24.0,False,right,1.0,233.0,1,3266.79,1.0,24.0,DON'T EAT                                    EAT,3265.0,3254.93,2991.79
235,3.0,neg,2,avoid,fungus37_crop.jpg,24.0,True,right,1.0,234.0,3,3268.81,1.0,24.0,DON'T EAT                                    EAT,3267.01,3254.93,2991.79
236,3.0,pos,2,approach,cake36_crop.jpg,24.0,False,right,1.0,235.0,1,3270.82,1.0,24.0,DON'T EAT                                    EAT,3269.03,3254.93,2991.79
237,3.0,pos,2,approach,cake22_crop.jpg,24.0,False,right,1.0,236.0,1,3272.84,1.0,24.0,DON'T EAT                                    EAT,3271.04,3254.93,2991.79
238,3.0,pos,2,approach,cake20_crop.jpg,24.0,False,right,1.0,237.0,1,3274.86,1.0,24.0,DON'T EAT                                    EAT,3273.06,3254.93,2991.79
239,3.0,pos,2,approach,cake1_crop.jpg,24.0,False,right,1.0,238.0,1,3276.87,1.0,24.0,DON'T EAT                                    EAT,3275.08,3254.93,2991.79
240,3.0,pos,2,avoid,meat16_crop.jpg,24.0,True,right,1.0,239.0,1,3278.89,1.0,24.0,DON'T EAT                                    EAT,3277.09,3254.93,2991.79
241,4.0,neg,0,avoid,fungus3_crop.jpg,25.0,True,right,1.0,240.0,1,3365.65,1.0,25.0,DON'T EAT                                    EAT,3363.86,3359.84,3348.81
242,4.0,pos,0,approach,cake19_crop.jpg,25.0,False,right,1.0,241.0,1,3367.67,1.0,25.0,DON'T EAT                                    EAT,3365.87,3359.84,3348.81
243,4.0,pos,0,approach,cake35_crop.jpg,25.0,False,right,1.0,242.0,1,3369.69,1.0,25.0,DON'T EAT                                    EAT,3367.89,3359.84,3348.81
244,4.0,pos,0,avoid,meat8_crop.jpg,25.0,True,right,1.0,243.0,3,3371.7,1.0,25.0,DON'T EAT                                    EAT,3369.91,3359.84,3348.81
245,4.0,pos,0,approach,cake2_crop.jpg,25.0,False,right,1.0,244.0,1,3373.72,1.0,25.0,DON'T EAT                                    EAT,3371.92,3359.84,3348.81
246,4.0,pos,0,approach,cake4_crop.jpg,25.0,False,right,1.0,245.0,1,3375.74,1.0,25.0,DON'T EAT                                    EAT,3373.94,3359.84,3348.81
247,4.0,pos,0,approach,cake5_crop.jpg,25.0,False,right,1.0,246.0,1,3377.75,1.0,25.0,DON'T EAT                                    EAT,3375.95,3359.84,3348.81
248,4.0,pos,0,approach,cake38_crop.jpg,25.0,False,right,1.0,247.0,1,3379.77,1.0,25.0,DON'T EAT                                    EAT,3377.97,3359.84,3348.81
249,4.0,pos,0,approach,cake34_crop.jpg,25.0,False,right,1.0,248.0,1,3381.79,1.0,25.0,DON'T EAT                                    EAT,3379.99,3359.84,3348.81
250,4.0,pos,0,approach,cake28_crop.jpg,25.0,False,right,1.0,249.0,1,3383.8,1.0,25.0,DON'T EAT                                    EAT,3382.0,3359.84,3348.81
251,4.0,pos,2,approach,cake24_crop.jpg,26.0,False,left,1.0,250.0,1,3402.99,1.0,26.0,DON'T EAT                                    EAT,3401.19,3397.17,3348.81
252,4.0,neg,2,avoid,fungus6_crop.jpg,26.0,True,left,1.0,251.0,3,3404.99,1.0,26.0,DON'T EAT                                    EAT,3403.2,3397.17,3348.81
253,4.0,pos,2,approach,cake26_crop.jpg,26.0,False,left,1.0,252.0,1,3407.01,1.0,26.0,DON'T EAT                                    EAT,3405.22,3397.17,3348.81
254,4.0,pos,2,approach,cake40_crop.jpg,26.0,False,left,1.0,253.0,1,3409.03,1.0,26.0,DON'T EAT                                    EAT,3407.24,3397.17,3348.81
255,4.0,pos,2,approach,cake16_crop.jpg,26.0,False,left,1.0,254.0,1,3411.04,1.0,26.0,DON'T EAT                                    EAT,3409.25,3397.17,3348.81
256,4.0,pos,2,approach,cake9_crop.jpg,26.0,False,left,1.0,255.0,1,3413.06,1.0,26.0,DON'T EAT                                    EAT,3411.27,3397.17,3348.81
257,4.0,pos,2,approach,cake31_crop.jpg,26.0,False,left,1.0,256.0,1,3415.08,1.0,26.0,DON'T EAT                                    EAT,3413.29,3397.17,3348.81
258,4.0,pos,2,avoid,meat17_crop.jpg,26.0,True,left,1.0,257.0,3,3417.09,1.0,26.0,DON'T EAT                                    EAT,3415.3,3397.17,3348.81
259,4.0,pos,2,approach,cake32_crop.jpg,26.0,False,left,1.0,258.0,3,3419.11,1.0,26.0,DON'T EAT                                    EAT,3417.32,3397.17,3348.81
260,4.0,pos,2,approach,cake20_crop.jpg,26.0,False,left,1.0,259.0,1,3421.13,1.0,26.0,DON'T EAT                                    EAT,3419.34,3397.17,3348.81
261,4.0,pos,3,avoid,meat6_crop.jpg,27.0,True,right,1.0,260.0,3,3440.71,1.0,27.0,DON'T EAT                                    EAT,3438.92,3434.9,3348.81
262,4.0,neg,3,approach,insect37_crop.jpg,27.0,False,right,1.0,261.0,1,3442.73,1.0,27.0,DON'T EAT                                    EAT,3440.93,3434.9,3348.81
263,4.0,neg,3,approach,insect24_crop.jpg,27.0,False,right,1.0,262.0,1,3444.74,1.0,27.0,DON'T EAT                                    EAT,3442.95,3434.9,3348.81
264,4.0,neg,3,approach,insect30_crop.jpg,27.0,False,right,1.0,263.0,1,3446.76,1.0,27.0,DON'T EAT                                    EAT,3444.97,3434.9,3348.81
265,4.0,neg,3,approach,insect5_crop.jpg,27.0,False,right,1.0,264.0,1,3448.78,1.0,27.0,DON'T EAT                                    EAT,3446.98,3434.9,3348.81
266,4.0,neg,3,approach,insect15_crop.jpg,27.0,False,right,1.0,265.0,1,3450.79,1.0,27.0,DON'T EAT                                    EAT,3449.0,3434.9,3348.81
267,4.0,neg,3,avoid,fungus33_crop.jpg,27.0,True,right,1.0,266.0,3,3452.81,1.0,27.0,DON'T EAT                                    EAT,3451.02,3434.9,3348.81
268,4.0,neg,3,approach,insect6_crop.jpg,27.0,False,right,1.0,267.0,1,3454.83,1.0,27.0,DON'T EAT                                    EAT,3453.03,3434.9,3348.81
269,4.0,neg,3,approach,insect12_crop.jpg,27.0,False,right,1.0,268.0,1,3456.84,1.0,27.0,DON'T EAT                                    EAT,3455.05,3434.9,3348.81
270,4.0,neg,3,approach,insect18_crop.jpg,27.0,False,right,1.0,269.0,1,3458.86,1.0,27.0,DON'T EAT                                    EAT,3457.07,3434.9,3348.81
271,4.0,neg,3,approach,insect1_crop.jpg,28.0,False,left,1.0,270.0,1,3475.99,1.0,28.0,DON'T EAT                                    EAT,3474.2,3470.18,3348.81
272,4.0,neg,3,approach,insect40_crop.jpg,28.0,False,left,1.0,271.0,1,3478.01,1.0,28.0,DON'T EAT                                    EAT,3476.22,3470.18,3348.81
273,4.0,neg,3,approach,insect16_crop.jpg,28.0,False,left,1.0,272.0,1,3480.02,1.0,28.0,DON'T EAT                                    EAT,3478.23,3470.18,3348.81
274,4.0,neg,3,approach,insect21_crop.jpg,28.0,False,left,1.0,273.0,1,3482.04,1.0,28.0,DON'T EAT                                    EAT,3480.25,3470.18,3348.81
275,4.0,neg,3,approach,insect7_crop.jpg,28.0,False,left,1.0,274.0,1,3484.06,1.0,28.0,DON'T EAT                                    EAT,3482.26,3470.18,3348.81
276,4.0,neg,3,approach,insect22_crop.jpg,28.0,False,left,1.0,275.0,1,3486.07,1.0,28.0,DON'T EAT                                    EAT,3484.28,3470.18,3348.81
277,4.0,neg,3,approach,insect3_crop.jpg,28.0,False,left,1.0,276.0,1,3488.09,1.0,28.0,DON'T EAT                                    EAT,3486.3,3470.18,3348.81
278,4.0,neg,3,approach,insect17_crop.jpg,28.0,False,left,1.0,277.0,1,3490.11,1.0,28.0,DON'T EAT                                    EAT,3488.31,3470.18,3348.81
279,4.0,neg,3,avoid,fungus3_crop.jpg,28.0,True,left,1.0,278.0,3,3492.12,1.0,28.0,DON'T EAT                                    EAT,3490.33,3470.18,3348.81
280,4.0,pos,3,avoid,meat25_crop.jpg,28.0,True,left,1.0,279.0,3,3494.14,1.0,28.0,DON'T EAT                                    EAT,3492.35,3470.18,3348.81
281,4.0,pos,0,approach,cake13_crop.jpg,29.0,False,left,1.0,280.0,1,3510.99,1.0,29.0,DON'T EAT                                    EAT,3509.2,3505.18,3348.81
282,4.0,pos,0,avoid,meat6_crop.jpg,29.0,True,left,1.0,281.0,3,3513.01,1.0,29.0,DON'T EAT                                    EAT,3511.21,3505.18,3348.81
283,4.0,pos,0,approach,cake6_crop.jpg,29.0,False,left,1.0,282.0,1,3515.02,1.0,29.0,DON'T EAT                                    EAT,3513.23,3505.18,3348.81
284,4.0,pos,0,approach,cake28_crop.jpg,29.0,False,left,1.0,283.0,1,3517.04,1.0,29.0,DON'T EAT                                    EAT,3515.25,3505.18,3348.81
285,4.0,pos,0,approach,cake5_crop.jpg,29.0,False,left,1.0,284.0,1,3519.06,1.0,29.0,DON'T EAT                                    EAT,3517.26,3505.18,3348.81
286,4.0,neg,0,avoid,fungus9_crop.jpg,29.0,True,left,1.0,285.0,3,3521.07,1.0,29.0,DON'T EAT                                    EAT,3519.28,3505.18,3348.81
287,4.0,pos,0,approach,cake36_crop.jpg,29.0,False,left,1.0,286.0,1,3523.09,1.0,29.0,DON'T EAT                                    EAT,3521.3,3505.18,3348.81
288,4.0,pos,0,approach,cake8_crop.jpg,29.0,False,left,1.0,287.0,1,3525.11,1.0,29.0,DON'T EAT                                    EAT,3523.31,3505.18,3348.81
289,4.0,pos,0,approach,cake25_crop.jpg,29.0,False,left,1.0,288.0,1,3527.12,1.0,29.0,DON'T EAT                                    EAT,3525.33,3505.18,3348.81
290,4.0,pos,0,approach,cake3_crop.jpg,29.0,False,left,1.0,289.0,1,3529.14,1.0,29.0,DON'T EAT                                    EAT,3527.35,3505.18,3348.81
291,4.0,pos,0,approach,cake33_crop.jpg,30.0,True,left,1.0,290.0,1,3548.79,1.0,30.0,DON'T EAT                                    EAT,3546.99,3542.98,3348.81
292,4.0,neg,0,avoid,fungus36_crop.jpg,30.0,False,left,1.0,291.0,3,3550.81,1.0,30.0,DON'T EAT                                    EAT,3549.01,3542.98,3348.81
293,4.0,neg,0,avoid,fungus11_crop.jpg,30.0,False,left,1.0,292.0,3,3552.82,1.0,30.0,DON'T EAT                                    EAT,3551.03,3542.98,3348.81
294,4.0,neg,0,avoid,fungus33_crop.jpg,30.0,False,left,1.0,293.0,3,3554.84,1.0,30.0,DON'T EAT                                    EAT,3553.04,3542.98,3348.81
295,4.0,neg,0,avoid,fungus2_crop.jpg,30.0,False,left,1.0,294.0,3,3556.86,1.0,30.0,DON'T EAT                                    EAT,3555.06,3542.98,3348.81
296,4.0,neg,0,avoid,fungus29_crop.jpg,30.0,False,left,1.0,295.0,3,3558.87,1.0,30.0,DON'T EAT                                    EAT,3557.08,3542.98,3348.81
297,4.0,neg,0,avoid,fungus8_crop.jpg,30.0,False,left,1.0,296.0,3,3560.89,1.0,30.0,DON'T EAT                                    EAT,3559.09,3542.98,3348.81
298,4.0,neg,0,approach,insect25_crop.jpg,30.0,True,left,1.0,297.0,1,3562.91,1.0,30.0,DON'T EAT                                    EAT,3561.11,3542.98,3348.81
299,4.0,neg,0,avoid,fungus16_crop.jpg,30.0,False,left,1.0,298.0,3,3564.92,1.0,30.0,DON'T EAT                                    EAT,3563.13,3542.98,3348.81
300,4.0,neg,0,avoid,fungus14_crop.jpg,30.0,False,left,1.0,299.0,3,3566.94,1.0,30.0,DON'T EAT                                    EAT,3565.14,3542.98,3348.81
301,4.0,neg,3,avoid,fungus38_crop.jpg,31.0,False,right,1.0,300.0,3,3584.22,1.0,31.0,DON'T EAT                                    EAT,3582.43,3578.41,3348.81
302,4.0,neg,3,avoid,fungus1_crop.jpg,31.0,False,right,1.0,301.0,3,3586.24,1.0,31.0,DON'T EAT                                    EAT,3584.44,3578.41,3348.81
303,4.0,neg,3,avoid,fungus32_crop.jpg,31.0,False,right,1.0,302.0,3,3588.26,1.0,31.0,DON'T EAT                                    EAT,3586.46,3578.41,3348.81
304,4.0,neg,3,avoid,fungus15_crop.jpg,31.0,False,right,1.0,303.0,3,3590.27,1.0,31.0,DON'T EAT                                    EAT,3588.48,3578.41,3348.81
305,4.0,pos,3,approach,cake15_crop.jpg,31.0,True,right,1.0,304.0,1,3592.29,1.0,31.0,DON'T EAT                                    EAT,3590.49,3578.41,3348.81
306,4.0,neg,3,avoid,fungus27_crop.jpg,31.0,False,right,1.0,305.0,3,3594.31,1.0,31.0,DON'T EAT                                    EAT,3592.51,3578.41,3348.81
307,4.0,neg,3,avoid,fungus21_crop.jpg,31.0,False,right,1.0,306.0,3,3596.32,1.0,31.0,DON'T EAT                                    EAT,3594.52,3578.41,3348.81
308,4.0,neg,3,avoid,fungus39_crop.jpg,31.0,False,right,1.0,307.0,3,3598.34,1.0,31.0,DON'T EAT                                    EAT,3596.54,3578.41,3348.81
309,4.0,neg,3,approach,insect14_crop.jpg,31.0,True,right,1.0,308.0,1,3600.36,1.0,31.0,DON'T EAT                                    EAT,3598.56,3578.41,3348.81
310,4.0,neg,3,avoid,fungus25_crop.jpg,31.0,False,right,1.0,309.0,3,3602.37,1.0,31.0,DON'T EAT                                    EAT,3600.57,3578.41,3348.81
311,4.0,neg,0,avoid,fungus38_crop.jpg,32.0,True,left,1.0,310.0,3,3620.3,1.0,32.0,DON'T EAT                                    EAT,3618.51,3614.49,3348.81
312,4.0,neg,0,approach,insect6_crop.jpg,32.0,False,left,1.0,311.0,1,3622.32,1.0,32.0,DON'T EAT                                    EAT,3620.52,3614.49,3348.81
313,4.0,neg,0,approach,insect12_crop.jpg,32.0,False,left,1.0,312.0,1,3624.34,1.0,32.0,DON'T EAT                                    EAT,3622.54,3614.49,3348.81
314,4.0,neg,0,approach,insect20_crop.jpg,32.0,False,left,1.0,313.0,1,3626.35,1.0,32.0,DON'T EAT                                    EAT,3624.56,3614.49,3348.81
315,4.0,pos,0,avoid,meat36_crop.jpg,32.0,True,left,1.0,314.0,3,3628.37,1.0,32.0,DON'T EAT                                    EAT,3626.57,3614.49,3348.81
316,4.0,neg,0,approach,insect38_crop.jpg,32.0,False,left,1.0,315.0,1,3630.39,1.0,32.0,DON'T EAT                                    EAT,3628.59,3614.49,3348.81
317,4.0,neg,0,approach,insect24_crop.jpg,32.0,False,left,1.0,316.0,1,3632.4,1.0,32.0,DON'T EAT                                    EAT,3630.61,3614.49,3348.81
318,4.0,neg,0,approach,insect5_crop.jpg,32.0,False,left,1.0,317.0,1,3634.42,1.0,32.0,DON'T EAT                                    EAT,3632.62,3614.49,3348.81
319,4.0,neg,0,approach,insect37_crop.jpg,32.0,False,left,1.0,318.0,1,3636.44,1.0,32.0,DON'T EAT                                    EAT,3634.64,3614.49,3348.81
320,4.0,neg,0,approach,insect26_crop.jpg,32.0,False,left,1.0,319.0,1,3638.45,1.0,32.0,DON'T EAT                                    EAT,3636.66,3614.49,3348.81
