TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3736.699117694112, 3756.692166101704)
2,index,right,1.0,1.0,(3760.7309513388536, 3780.721323247537)
3,middle,left,1.0,2.0,(3784.746118367235, 3804.7404704625224)
4,middle,right,1.0,3.0,(3808.7779332973114, 3828.769607686292)
5,ring,left,1.0,4.0,(3832.7930900628126, 3852.7887461476457)
6,ring,right,1.0,5.0,(3856.80828667244, 3876.797890676171)
7,pinky,left,1.0,6.0,(3880.82345581377, 3900.8170496632847)
8,pinky,right,1.0,7.0,(3904.855276780836, 3924.8461793408205)
