subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-048,1,2,FALSE,right,avoid,neg,fungus14_crop.jpg,1,1,TRUE,0,2,1654.8887,48,EAT                                    DON'T EAT,1653.877,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1011.6999999999534
sub-048,2,2,FALSE,right,avoid,neg,fungus4_crop.jpg,1,1,TRUE,1,2,1656.742,48,EAT                                    DON'T EAT,1655.8953,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,846.7000000001863
sub-048,3,2,TRUE,right,approach,neg,insect22_crop.jpg,1,1,TRUE,2,1,1658.9906,48,EAT                                    DON'T EAT,1657.9132,1649.8569,1639.2172,right,1,left,left,eat,eat,avoid,neg,avoid-neg,1,1,1077.4000000001397
sub-048,4,2,FALSE,right,avoid,neg,fungus32_crop.jpg,1,1,TRUE,3,2,1660.9028,48,EAT                                    DON'T EAT,1659.9346,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,968.1999999999534
sub-048,5,2,FALSE,right,avoid,neg,fungus13_crop.jpg,1,1,TRUE,4,2,1662.7549,48,EAT                                    DON'T EAT,1661.9521,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,802.8000000000466
sub-048,6,2,TRUE,right,approach,pos,cake18_crop.jpg,1,1,TRUE,5,1,1664.8278,48,EAT                                    DON'T EAT,1663.9686,1649.8569,1639.2172,right,1,left,left,eat,eat,avoid,neg,avoid-neg,1,1,859.2000000001863
sub-048,7,2,FALSE,right,avoid,neg,fungus17_crop.jpg,1,1,TRUE,6,2,1666.8254,48,EAT                                    DON'T EAT,1665.9869,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,838.4999999997672
sub-048,8,2,FALSE,right,avoid,neg,fungus10_crop.jpg,1,1,TRUE,7,2,1668.7845,48,EAT                                    DON'T EAT,1668.0052,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,779.3000000000466
sub-048,9,2,FALSE,right,avoid,neg,fungus31_crop.jpg,1,1,TRUE,8,2,1671.8823,48,EAT                                    DON'T EAT,1670.0232,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,1859.0999999998603
sub-048,10,2,FALSE,right,avoid,neg,fungus34_crop.jpg,1,1,TRUE,9,2,1672.901,48,EAT                                    DON'T EAT,1672.042,1649.8569,1639.2172,right,2,right,right,not_eat,not_eat,avoid,neg,avoid-neg,1,1,859
sub-048,11,2,FALSE,right,avoid,pos,meat32_crop.jpg,1,2,TRUE,10,2,1691.3173,48,EAT                                    DON'T EAT,1690.1732,1686.1537,1639.2172,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,1144.1000000000931
