TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,RT
27,2,False,left,approach,neg,insect27_crop.jpg,1,3,1.0,26.0,57.0,3.0,DON'T EAT                                    EAT,1835.5399,1819.4098,1733.7006,2,1836.6099
28,2,False,left,approach,neg,insect19_crop.jpg,1,3,1.0,27.0,57.0,3.0,DON'T EAT                                    EAT,1837.5576,1819.4098,1733.7006,2,1838.4143
29,2,False,left,approach,neg,insect17_crop.jpg,1,3,1.0,28.0,57.0,3.0,DON'T EAT                                    EAT,1839.5765,1819.4098,1733.7006,2,1840.1946
30,2,False,left,approach,neg,insect23_crop.jpg,1,3,1.0,29.0,57.0,3.0,DON'T EAT                                    EAT,1841.5948,1819.4098,1733.7006,2,1842.579
31,2,False,right,approach,pos,cake32_crop.jpg,1,4,1.0,30.0,57.0,4.0,DON'T EAT                                    EAT,1858.3755,1854.355,1733.7006,2,1859.3923
32,2,True,right,avoid,pos,meat17_crop.jpg,1,4,1.0,31.0,57.0,4.0,DON'T EAT                                    EAT,1860.3934,1854.355,1733.7006,1,1861.7566
33,2,False,right,approach,pos,cake14_crop.jpg,1,4,1.0,32.0,57.0,4.0,DON'T EAT                                    EAT,1862.4116,1854.355,1733.7006,2,1863.2053
34,2,False,right,approach,pos,cake30_crop.jpg,1,4,1.0,33.0,57.0,4.0,DON'T EAT                                    EAT,1864.4305,1854.355,1733.7006,2,1865.2058
35,2,True,right,avoid,neg,fungus36_crop.jpg,1,4,1.0,34.0,57.0,4.0,DON'T EAT                                    EAT,1866.4489,1854.355,1733.7006,1,1867.2345
36,2,False,right,approach,pos,cake7_crop.jpg,1,4,1.0,35.0,57.0,4.0,DON'T EAT                                    EAT,1868.4673,1854.355,1733.7006,2,1869.1583
37,2,False,right,approach,pos,cake15_crop.jpg,1,4,1.0,36.0,57.0,4.0,DON'T EAT                                    EAT,1870.4851,1854.355,1733.7006,1,1871.4926
38,2,False,right,approach,pos,cake38_crop.jpg,1,4,1.0,37.0,57.0,4.0,DON'T EAT                                    EAT,1872.504,1854.355,1733.7006,2,1873.2168
39,2,False,right,approach,pos,cake27_crop.jpg,1,4,1.0,38.0,57.0,4.0,DON'T EAT                                    EAT,1874.5219,1854.355,1733.7006,2,1875.1869
40,2,False,right,approach,pos,cake24_crop.jpg,1,4,1.0,39.0,57.0,4.0,DON'T EAT                                    EAT,1876.5405,1854.355,1733.7006,2,1877.117
41,2,False,right,avoid,neg,fungus39_crop.jpg,1,5,1.0,40.0,57.0,5.0,DON'T EAT                                    EAT,1895.9398,1891.9362,1733.7006,1,1897.1372
42,2,False,right,avoid,neg,fungus38_crop.jpg,1,5,1.0,41.0,57.0,5.0,DON'T EAT                                    EAT,1897.9584,1891.9362,1733.7006,1,1898.7754
43,2,False,right,avoid,neg,fungus31_crop.jpg,1,5,1.0,42.0,57.0,5.0,DON'T EAT                                    EAT,1899.9768,1891.9362,1733.7006,1,1900.9098
44,2,True,right,approach,neg,insect26_crop.jpg,1,5,1.0,43.0,57.0,5.0,DON'T EAT                                    EAT,1901.995,1891.9362,1733.7006,2,1902.7921
45,2,False,right,avoid,neg,fungus20_crop.jpg,1,5,1.0,44.0,57.0,5.0,DON'T EAT                                    EAT,1904.0134,1891.9362,1733.7006,1,1904.7788
46,2,False,right,avoid,neg,fungus5_crop.jpg,1,5,1.0,45.0,57.0,5.0,DON'T EAT                                    EAT,1906.0317,1891.9362,1733.7006,1,1906.9858
47,2,False,right,avoid,neg,fungus37_crop.jpg,1,5,1.0,46.0,57.0,5.0,DON'T EAT                                    EAT,1908.0502,1891.9362,1733.7006,1,1909.1067
48,2,False,right,avoid,neg,fungus30_crop.jpg,1,5,1.0,47.0,57.0,5.0,DON'T EAT                                    EAT,1910.0682,1891.9362,1733.7006,1,1910.8439
49,2,True,right,approach,pos,cake6_crop.jpg,1,5,1.0,48.0,57.0,5.0,DON'T EAT                                    EAT,1912.0868,1891.9362,1733.7006,2,1912.8198
50,2,False,right,avoid,neg,fungus1_crop.jpg,1,5,1.0,49.0,57.0,5.0,DON'T EAT                                    EAT,1914.1051,1891.9362,1733.7006,1,1914.8695
51,2,True,right,avoid,pos,meat23_crop.jpg,1,6,1.0,50.0,57.0,6.0,DON'T EAT                                    EAT,1930.2686,1926.2483,1733.7006,1,1931.486
52,2,False,right,approach,neg,insect18_crop.jpg,1,6,1.0,51.0,57.0,6.0,DON'T EAT                                    EAT,1932.2863,1926.2483,1733.7006,2,1933.0819
53,2,False,right,approach,neg,insect32_crop.jpg,1,6,1.0,52.0,57.0,6.0,DON'T EAT                                    EAT,1934.3052,1926.2483,1733.7006,2,1934.9226
54,2,False,right,approach,neg,insect8_crop.jpg,1,6,1.0,53.0,57.0,6.0,DON'T EAT                                    EAT,1936.3232,1926.2483,1733.7006,2,1936.9323
55,2,False,right,approach,neg,insect14_crop.jpg,1,6,1.0,54.0,57.0,6.0,DON'T EAT                                    EAT,1938.3419,1926.2483,1733.7006,2,1938.8873
56,2,False,right,approach,neg,insect17_crop.jpg,1,6,1.0,55.0,57.0,6.0,DON'T EAT                                    EAT,1940.3601,1926.2483,1733.7006,2,1940.895
57,2,False,right,approach,neg,insect25_crop.jpg,1,6,1.0,56.0,57.0,6.0,DON'T EAT                                    EAT,1942.3787,1926.2483,1733.7006,2,1942.8396
58,2,True,right,avoid,neg,fungus3_crop.jpg,1,6,1.0,57.0,57.0,6.0,DON'T EAT                                    EAT,1944.3967,1926.2483,1733.7006,1,1945.1627
59,2,False,right,approach,neg,insect10_crop.jpg,1,6,1.0,58.0,57.0,6.0,DON'T EAT                                    EAT,1946.4153,1926.2483,1733.7006,2,1947.2139
60,2,False,right,approach,neg,insect28_crop.jpg,1,6,1.0,59.0,57.0,6.0,DON'T EAT                                    EAT,1948.4333,1926.2483,1733.7006,2,1949.1879
61,1,False,right,approach,neg,insect21_crop.jpg,1,7,1.0,60.0,57.0,7.0,DON'T EAT                                    EAT,1966.1984,1962.1781,1733.7006,2,1967.2245
62,1,False,right,approach,neg,insect9_crop.jpg,1,7,1.0,61.0,57.0,7.0,DON'T EAT                                    EAT,1968.2169,1962.1781,1733.7006,2,1969.0254
63,1,True,right,avoid,neg,fungus40_crop.jpg,1,7,1.0,62.0,57.0,7.0,DON'T EAT                                    EAT,1970.2351,1962.1781,1733.7006,1,1971.2394
64,1,False,right,approach,neg,insect4_crop.jpg,1,7,1.0,63.0,57.0,7.0,DON'T EAT                                    EAT,1972.2533,1962.1781,1733.7006,2,1972.9349
65,1,False,right,approach,neg,insect30_crop.jpg,1,7,1.0,64.0,57.0,7.0,DON'T EAT                                    EAT,1974.2717,1962.1781,1733.7006,2,1975.036
66,1,False,right,approach,neg,insect16_crop.jpg,1,7,1.0,65.0,57.0,7.0,DON'T EAT                                    EAT,1976.29,1962.1781,1733.7006,2,1976.9796
