TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(5034.679716600105, 5054.680121400161)
2,index,right,1.0,1.0,(5058.699433499947, 5078.699495000066)
3,middle,left,1.0,2.0,(5082.719301200006, 5102.7193291999865)
4,middle,right,1.0,3.0,(5106.738968600053, 5126.739072000142)
5,ring,left,1.0,4.0,(5130.75888790004, 5150.758985500084)
6,ring,right,1.0,5.0,(5154.77923320001, 5174.779823800083)
7,pinky,left,1.0,6.0,(5178.799188600155, 5198.799725100165)
8,pinky,right,1.0,7.0,(5202.818834000034, 5222.81906010001)
