TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(2698.896582199999, 2718.8972084000015)
2,index,right,1.0,1.0,(2722.9336124, 2742.9336779000005)
3,middle,left,1.0,2.0,(2746.970126, 2766.9707019000016)
4,middle,right,1.0,3.0,(2771.0068533000012, 2791.006967699999)
5,ring,left,1.0,4.0,(2795.0266015000016, 2815.0269167000006)
6,ring,right,1.0,5.0,(2819.0633363000015, 2839.063519899999)
7,pinky,left,1.0,6.0,(2843.100046200001, 2863.1002219)
8,pinky,right,1.0,7.0,(2867.1366237, 2887.137002899999)
