TrialNumber,finger,hand,ran,order,hand_localiser_onset
1,index,left,1.0,0.0,(3280.960409199819, 3300.9611840997823)
2,index,right,1.0,1.0,(3304.980009299936, 3324.980354699772)
3,middle,left,1.0,2.0,(3329.0169450999238, 3349.0170652999077)
4,middle,right,1.0,3.0,(3353.0535968998447, 3373.053672999842)
5,ring,left,1.0,4.0,(3377.0903402999975, 3397.090383599978)
6,ring,right,1.0,5.0,(3401.1269535999745, 3421.1272362999152)
7,pinky,left,1.0,6.0,(3425.1469193999656, 3445.1471834999975)
8,pinky,right,1.0,7.0,(3449.1834410999436, 3469.184233299922)
